Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2053,0,-195.077,45.4342,145.228,-260.595,41.749,142.733,-325.794,37.6685,146.535,-388.66,28.9002,142.428,-436.284,38.1491,153.106,-497.043,31.0703,151.202,-565.82,23.6833,146.924,,,,-718.079,32.058,158.278,-802.621,20.9099,153.103,-193.632,62.2613,136.089,324.657,82.7079,117.369,-867.933,36.6938,156.607,1064.69,108.23,129.134
2054,0,-194.301,45.6649,145.194,-259.474,41.5053,142.858,-324.816,38.2181,146.813,-387.497,28.2531,142.267,-435.384,38.3221,153.532,-496.171,31.5296,150.933,-564.89,23.7159,147.233,-641.794,29.5481,155.21,-716.735,31.365,157.948,-801.379,20.6781,152.934,-193.632,62.2806,136.095,324.665,82.7505,117.381,-867.942,36.7127,156.607,1064.7,108.175,129.123
2055,0,-192.952,45.1072,144.699,-258.436,42.0004,142.723,-323.415,37.9457,147.177,-386.632,28.2586,141.922,-434.287,39.0077,153.633,-494.947,30.7112,150.687,-563.875,24.5638,147.397,,,,-715.707,30.9578,157.905,-799.928,20.3165,152.755,-193.633,62.2835,136.095,324.641,82.7387,117.385,-867.933,36.6945,156.607,1064.67,108.184,129.12
2056,0,-191.995,45.8862,144.527,-257.231,41.49,142.962,-322.487,38.4226,147.145,-385.681,27.6271,141.698,-433.014,39.9747,153.657,-493.92,30.3231,150.604,-562.908,24.1221,147.498,-639.453,30.0859,155.782,,,,-799.282,20.3131,152.728,-193.633,62.2828,136.095,324.639,82.7083,117.384,-867.953,36.721,156.62,1064.69,108.17,129.121
2057,0,-191.146,46.0911,144.34,-256.438,41.8582,142.964,-321.425,38.4645,147.091,-384.754,27.8611,141.257,-432.244,40.4786,153.756,-492.993,30.1344,149.78,-561.796,24.7488,147.697,-638.321,30.4373,155.389,-713.455,30.7015,157.493,-798.082,20.4374,152.499,-193.628,62.3254,136.086,324.635,82.7007,117.363,-867.943,36.7152,156.607,1064.67,108.186,129.12
2058,0,-189.824,46.4153,144.088,-255.306,41.3205,142.989,-320.645,38.4832,147.224,-383.759,27.1989,140.569,-431.125,39.7723,154.064,-492.012,29.6228,149.478,-560.793,24.7394,147.968,-637.474,30.9077,155.932,-712.42,29.6726,156.903,-796.89,19.7987,152.343,-193.633,62.2869,136.095,324.652,82.6995,117.352,-867.942,36.714,156.607,1064.69,108.23,129.134
2059,0,-189.08,46.8418,143.806,-254.469,41.4288,142.945,-319.511,38.9681,147.254,-383.131,27.3147,140.461,-430.397,40.0623,154.186,-491.302,29.7229,149.375,-559.709,24.3049,148.741,,,,,,,-796.148,20.1605,152.283,-193.632,62.281,136.095,324.651,82.7204,117.362,-867.943,36.7025,156.62,1064.69,108.235,129.136
2060,0,-188.065,46.9776,143.546,-253.628,41.8674,142.875,-318.737,38.7349,147.184,-382.075,26.6419,140.158,-429.613,40.907,154.597,-490.229,29.011,149.008,-558.922,25.5963,148.578,-635.36,31.5543,156.803,-710.325,29.5368,156.779,-794.996,19.9839,151.835,-193.632,62.2823,136.095,324.675,82.735,117.363,-867.944,36.6927,156.621,1064.67,108.189,129.121
2061,0,-186.979,46.3856,142.967,-252.645,41.533,142.89,-317.883,38.8079,147.173,-381.446,26.7781,140.053,-428.55,40.4136,154.443,-489.566,29.1102,148.845,-558.142,25.9597,148.755,-634.447,32.12,156.751,-709.639,29.6131,156.575,-794.162,19.7403,152.1,-193.633,62.2827,136.095,324.657,82.7105,117.353,-867.942,36.713,156.607,1064.7,108.173,129.096
2062,0,-186.325,47.5158,142.965,-251.937,41.9235,143.216,-317.128,39.385,147.329,-380.73,27.0492,139.936,-427.899,40.6998,154.609,-488.591,28.7506,148.8,-557.573,26.0069,149.185,-633.626,31.9754,156.535,-708.531,29.6195,156.242,-793.186,19.7031,151.902,-193.606,62.2744,136.094,324.674,82.6599,117.346,-867.944,36.6943,156.62,1064.69,108.169,129.121
2063,0,-185.663,47.8182,142.857,-251.096,41.7532,142.845,-316.209,39.0019,147.526,-379.724,26.6462,139.848,-427.006,40.9707,154.674,-487.888,28.7283,148.64,-556.693,26.6234,149.593,-632.978,31.8147,157.219,-708.131,29.639,156.133,-792.343,19.4477,151.984,-193.606,62.2733,136.094,324.668,82.6849,117.351,-867.952,36.7323,156.607,1064.68,108.191,129.095
2064,0,-185.02,47.8802,142.901,-250.231,41.7506,143.059,-315.373,39.3305,147.576,-379.33,26.7147,139.819,-426.176,40.9069,154.628,-487.144,28.5111,148.352,-555.449,26.7947,149.722,,,,-707.457,29.6618,155.962,-791.498,19.8643,151.832,-193.606,62.2738,136.094,324.643,82.6998,117.352,-867.941,36.7273,156.594,1064.67,108.186,129.12
2065,0,-183.935,47.6001,142.628,-249.627,42.148,143.169,-314.8,39.9949,147.554,-378.273,26.0674,139.722,-425.483,41.2911,154.6,-486.15,28.0916,148.206,-555.028,27.2161,149.805,-631.447,32.6519,157.751,,,,-790.821,19.75,151.806,-193.606,62.2739,136.094,324.635,82.7008,117.363,-867.942,36.7145,156.607,1064.66,108.175,129.113
2066,0,-183.724,47.9597,142.36,-248.735,42.136,143.018,-313.776,39.0585,147.526,-377.716,25.9476,139.615,-424.607,40.8619,154.761,-485.767,28.4256,148.009,-554.277,27.5828,150.037,,,,,,,-790.041,19.5366,151.729,-193.632,62.2821,136.095,324.636,82.6986,117.361,-867.933,36.6934,156.607,1064.7,108.234,129.109
2067,0,-182.399,48.6725,142.209,-248.151,41.7686,143.028,-313.214,39.2236,147.454,-377.108,26.8545,139.542,-423.888,40.939,154.546,-484.745,27.8655,147.727,-553.481,27.6233,150.353,-629.734,32.5238,157.579,,,,-789.392,20.0288,151.682,-193.633,62.2831,136.095,324.662,82.6964,117.34,-867.934,36.6834,156.608,1064.67,108.18,129.115
2068,0,-181.79,48.6383,142.063,-247.393,41.9501,143.043,-312.838,39.7105,147.641,-376.308,25.9011,139.438,-423.364,41.1451,154.878,-484.3,27.8531,147.547,-552.975,27.5799,150.561,-628.859,32.8831,157.632,,,,-788.608,19.3827,151.746,-193.633,62.2827,136.095,324.666,82.6648,117.333,-867.942,36.7127,156.607,1064.67,108.183,129.119
2069,0,-181.409,48.6058,141.518,-246.781,42.3371,142.949,-312.081,39.0576,147.248,-375.719,26.0308,139.269,-422.508,41.4073,154.825,-483.713,27.7305,147.236,-552.223,28.6253,150.665,-628.246,33.028,157.407,-704.377,27.1003,154.633,-787.976,20.0124,151.586,-193.632,62.2826,136.095,324.67,82.6969,117.362,-867.954,36.7142,156.62,1064.69,108.17,129.121
2070,0,-180.782,48.7481,141.4,-246.068,42.028,143.064,-311.081,39.3554,147.11,-375.1,26.7013,139.267,-421.792,41.2797,154.817,-483.152,27.4738,147.054,-551.93,28.7317,150.724,,,,-703.633,27.0859,154.077,-787.199,19.7587,151.593,-193.606,62.2744,136.094,324.645,82.711,117.361,-867.944,36.7051,156.608,1064.69,108.169,129.121
2071,0,-180.156,48.6856,141.577,-245.363,41.983,143.039,-310.74,39.6354,147.068,-374.462,26.1851,139.409,-421.233,41.6149,154.856,-482.345,27.8099,146.982,-550.973,28.2118,150.789,-626.904,32.782,157.332,-702.704,26.811,154.018,-786.6,19.7416,151.968,-193.606,62.2733,136.094,324.656,82.7106,117.354,-867.943,36.7045,156.608,1064.69,108.158,129.114
2072,0,-179.35,47.8871,141.121,-244.971,42.051,143.122,-309.843,39.3758,147.104,-373.8,25.8266,139.35,-420.73,41.8923,154.891,-481.862,27.0337,146.696,-550.42,28.7848,150.887,,,,-702.673,26.3538,154.177,-785.788,20.1546,151.724,-193.635,62.305,136.077,324.646,82.7045,117.367,-867.942,36.7138,156.607,1064.69,108.168,129.121
2073,0,-179.453,48.1982,140.781,-244.347,42.5234,143.254,-308.975,39.4576,147.099,-373.316,26.3322,139.173,-419.934,41.2879,154.8,-481.349,27.0435,146.734,-549.912,29.4427,151.332,-625.53,32.4142,157.354,,,,-785.25,19.7227,151.937,-193.633,62.2855,136.095,324.629,82.7036,117.377,-867.943,36.7054,156.608,1064.67,108.175,129.113
2074,0,-178.841,47.8532,140.566,-243.675,42.1038,143.169,-308.647,39.9524,147.246,-372.809,26.5003,139.125,-419.456,41.2591,154.742,-480.689,27.4062,146.626,-549.397,29.6737,151.471,-624.901,32.2556,157.72,,,,-784.495,20.0881,151.948,-193.606,62.2735,136.094,324.635,82.6996,117.365,-867.952,36.7331,156.607,1064.66,108.173,129.113
2075,0,-178.284,47.6737,140.408,-243.149,42.1454,143.217,-308.11,39.8906,147.381,-371.973,25.9039,139.188,-418.951,41.8743,154.597,-480.316,26.6964,146.505,-548.794,29.7952,151.919,,,,,,,-783.776,20.1001,152.335,-193.606,62.2731,136.094,324.652,82.7004,117.355,-867.953,36.724,156.619,1064.66,108.174,129.113
2076,0,-177.935,47.7521,140.376,-242.662,42.3577,143.271,-307.64,39.5729,147.173,-371.565,26.0413,139.13,-418.272,41.4336,154.567,-479.554,26.3604,146.438,-548.326,29.1919,151.741,-623.624,31.589,157.654,-700.431,25.0724,153.036,-783.316,19.6316,151.994,-193.606,62.2738,136.094,324.637,82.6969,117.363,-867.943,36.705,156.608,1064.67,108.185,129.12
2077,0,-177.463,47.5185,140.282,-242.322,42.6799,143.348,-307.109,39.488,147.057,-371.221,26.5741,139.092,-417.696,41.0839,154.499,-478.941,27.2773,146.337,-547.597,29.9387,151.736,,,,-699.975,25.0096,152.745,-782.673,20.3777,151.991,-193.606,62.2739,136.094,324.64,82.7108,117.374,-867.939,36.7215,156.625,1064.67,108.187,129.121
2078,0,-176.999,47.0288,140.121,-241.908,42.9428,143.358,-306.698,39.8902,147.401,-370.745,26.7684,139.027,-417.288,41.3436,154.501,-478.615,27.7233,146.189,-547.295,30.7302,151.61,,,,-699.522,24.4315,152.471,-782.345,20.8571,152.048,-193.606,62.2738,136.094,324.636,82.6988,117.361,-867.942,36.7149,156.607,1064.66,108.175,129.113
2079,0,-176.681,46.9761,139.945,-241.382,42.5134,143.32,-306.147,40.1586,147.45,-370.061,26.2611,139.006,-416.854,41.8971,154.402,-477.979,26.8626,146.1,-546.914,30.6518,151.685,,,,-699.077,24.0689,152.455,-781.75,20.3968,151.971,-193.606,62.2738,136.094,324.657,82.7098,117.353,-867.942,36.714,156.607,1064.67,108.185,129.12
2080,0,-176.357,46.9419,139.661,-240.897,42.1518,143.374,-305.678,40.138,147.494,-369.675,26.0614,138.979,-416.292,41.3535,154.4,-477.658,26.2267,145.827,-546.101,29.9661,151.78,,,,-698.748,24.3003,152.448,-780.965,20.5364,152.091,-193.606,62.2738,136.094,324.635,82.6988,117.362,-867.943,36.7025,156.62,1064.69,108.17,129.122
2081,0,-176.131,46.8199,139.673,-240.607,42.3516,143.419,-305.339,39.9771,147.825,-369.418,26.2097,138.968,-415.832,40.7431,154.401,-477.124,26.7013,145.859,-545.711,30.2204,151.991,,,,-698.422,24.4697,152.374,-780.725,21.075,152.096,-193.606,62.2738,136.094,324.666,82.7066,117.338,-867.944,36.6927,156.621,1064.7,108.175,129.096
2082,0,-175.633,46.4035,139.479,-240.399,42.672,143.673,-304.693,39.7851,147.392,-369.122,26.5793,138.981,-415.401,40.9648,154.347,-476.678,27.3097,145.813,-544.959,31.3382,152.119,,,,-697.63,24.3116,152.302,-780.12,20.9136,152.125,-193.606,62.2519,136.088,324.627,82.705,117.381,-867.943,36.7014,156.62,1064.69,108.169,129.121
2083,0,-175.348,46.0906,139.47,-240.212,42.7538,143.673,-304.596,39.8082,147.231,-368.7,26.9096,138.908,-415.021,41.3892,154.273,-476.061,26.8005,145.603,-544.795,31.4415,152.446,,,,-697.573,23.6211,152.399,-779.575,21.8,151.984,-193.606,62.2717,136.094,324.635,82.698,117.361,-867.934,36.682,156.62,1064.69,108.17,129.121
2084,0,-174.825,45.4643,139.175,-239.999,42.7985,143.545,-304.523,40.1379,147.379,-368.262,26.5496,138.788,-414.62,41.3662,154.229,-475.65,26.3506,145.37,-544.288,32.1288,152.706,,,,-696.757,23.5249,151.828,-778.895,21.4216,152.376,-193.606,62.2528,136.088,324.617,82.7226,117.404,-867.934,36.6831,156.608,1064.69,108.17,129.121
