Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16049,0,-261.944,77.0527,343.593,-302.51,76.8625,334.404,-333.484,133.349,334.412,-383.504,86.1583,337.175,,,,-524.711,108.451,341.458,-593.28,65.0276,330.685,-634.732,49.1385,282.639,-661.078,65.6913,331.813,-725.93,63.1302,331.653,-260.18,110.761,324.428,261.309,131.435,317.522,-934.212,77.1826,339.419,434.012,136.581,328.452
16050,0,-262.167,76.542,343.598,-301.767,76.7428,334.237,-332.566,132.987,334.697,-383.049,86.9547,337.583,-451.458,77.8975,331.724,-524.127,109.004,341.303,-592.589,66.1052,331.233,-634.221,48.5297,282.876,-660.745,65.386,331.347,-725.262,63.8151,331.459,-260.195,110.82,324.395,261.311,131.425,317.53,-934.233,77.175,339.415,434.012,136.58,328.452
16051,0,-262.268,75.8579,343.586,-301.052,76.9845,334.133,-331.591,132.813,334.983,-382.558,87.6526,337.821,-450.628,77.2985,331.253,,,,-591.922,66.3204,331.924,-633.328,49.1617,283.416,-660.527,65.1433,330.769,,,,-260.206,110.853,324.393,261.305,131.435,317.53,-934.223,77.0854,339.426,434.006,136.598,328.449
16052,0,-262.208,75.3596,343.545,-300.382,77.1482,334.002,-330.692,132.319,334.95,-382.134,87.9129,338.045,,,,-522.405,107.804,341.382,-591.651,66.5899,332.7,-632.775,49.1786,283.736,-660.345,65.3039,330.312,,,,-260.195,110.822,324.395,261.311,131.425,317.53,-934.212,77.1793,339.419,434.006,136.598,328.449
16053,0,-262.4,74.591,343.46,-299.716,77.6408,333.945,-329.845,131.918,335.372,-381.284,88.148,338.311,-449.214,76.4842,330.254,-521.765,107.567,341.441,-591.076,68.0152,333.164,-632.245,48.8827,284.211,-660.108,64.8452,329.85,-723.979,63.5009,331.377,-260.182,110.768,324.417,261.311,131.425,317.53,-934.207,77.1691,339.42,434.006,136.598,328.449
16054,0,-262.203,74.1111,343.493,-298.938,78.262,333.855,-329.08,131.649,335.545,-380.798,88.83,338.515,-448.449,76.0529,329.87,-520.504,107.228,341.355,-590.546,68.0806,333.998,-631.474,48.9696,284.891,-659.762,64.3785,329.312,-723.236,63.798,331.544,-260.182,110.767,324.417,261.309,131.435,317.523,-934.207,77.1672,339.42,434.006,136.598,328.449
16055,0,-262.501,73.2939,343.508,-298.151,78.8462,333.72,-328.166,131.296,335.837,-380.611,89.2795,338.677,-447.11,76.1314,329.368,-519.663,107.465,341.531,-589.866,68.3817,334.486,-630.912,49.5628,284.907,-659.6,64.2393,328.914,,,,-260.195,110.823,324.385,261.311,131.425,317.53,-934.18,77.076,339.347,434.004,136.599,328.447
16056,0,-262.33,72.7717,343.578,-297.295,79.5058,333.706,-327.736,130.945,336.374,-380.284,89.9357,338.861,-447.021,75.5509,328.928,-518.753,107.503,341.439,-589.276,69.5321,335.141,-630.24,49.4498,285.685,-659.509,63.9287,328.382,,,,-260.191,110.827,324.368,261.309,131.435,317.523,-934.209,77.1966,339.41,434.006,136.598,328.449
