Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:Origin_Other,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.908,-3.17131,272.875,221.156,27.8145,279.633,,,,617.015,58.3396,293.221
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.899,-3.1761,272.885,221.153,27.8053,279.629,,,,617.021,58.3544,293.228
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.912,-3.17622,272.884,221.136,27.7986,279.633,,,,617.021,58.3562,293.222
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.92,-3.13839,272.883,221.147,27.7886,279.622,,,,617.021,58.3562,293.222
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.971,-3.08033,272.923,221.15,27.7755,279.619,,,,617.021,58.3562,293.222
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.021,-3.07195,272.938,221.138,27.7915,279.622,,,,617.015,58.3394,293.221
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.104,-3.05235,273.011,221.136,27.7914,279.617,,,,617.015,58.3392,293.221
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.154,-2.98965,273.036,221.137,27.7855,279.624,,,,617.015,58.3393,293.221
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.196,-2.93889,273.095,221.137,27.7853,279.624,,,,617.015,58.3393,293.221
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.256,-2.84745,273.122,221.138,27.7918,279.622,,,,617.015,58.3378,293.227
45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.297,-2.82101,273.147,221.137,27.7856,279.624,,,,617.015,58.3393,293.221
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.328,-2.74964,273.195,221.141,27.7909,279.623,,,,617.015,58.3393,293.221
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.371,-2.72098,273.226,221.135,27.7923,279.635,,,,617.021,58.356,293.222
48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.39,-2.6813,273.235,221.143,27.8302,279.631,,,,617.021,58.3548,293.228
49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.397,-2.61217,273.227,221.136,27.7997,279.633,,,,617.021,58.3561,293.222
50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.388,-2.61334,273.225,221.134,27.8332,279.631,,,,617.021,58.3547,293.228
51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.365,-2.54373,273.218,221.134,27.7935,279.635,,,,617.021,58.3546,293.228
52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.372,-2.55083,273.181,221.145,27.8227,279.621,,,,617.021,58.3546,293.228
53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.328,-2.51487,273.165,221.165,27.7961,279.62,,,,617.021,58.3561,293.222
54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.303,-2.54336,273.13,221.144,27.8296,279.631,,,,617.021,58.3562,293.222
55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.285,-2.58379,273.087,221.158,27.7962,279.622,,,,617.021,58.3562,293.222
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.247,-2.55754,273.061,221.169,27.7923,279.631,,,,617.021,58.3546,293.228
57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.189,-2.60852,273.023,221.144,27.8299,279.631,,,,617.015,58.3394,293.221
58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.187,-2.65698,273.021,221.144,27.8313,279.631,,,,617.015,58.3392,293.221
59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.157,-2.68182,272.999,221.157,27.7642,279.621,,,,617.021,58.356,293.222
60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.151,-2.78267,272.999,221.143,27.7893,279.611,,,,617.021,58.3563,293.222
61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.115,-2.90094,272.992,221.152,27.7992,279.613,,,,617.021,58.3562,293.222
62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.138,-3.03627,273.011,221.152,27.7614,279.598,,,,617.021,58.3562,293.222
