Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2235,0,-170.987,249.619,651.134,-242.813,238.555,646.999,-317.195,220.285,640.215,-392.212,235.488,656.044,-467.66,219.177,651.451,,,,-612.583,222.096,660.842,-689.664,197.39,649.958,,,,-813.322,208.601,657.067,-134.493,259.152,637.772,427.984,279.276,631.037,,,,,,
2236,0,-169.819,249.921,651.274,-241.648,238.799,647.416,-315.726,219.886,639.941,-391.192,235.478,656.609,-466.508,220.249,651.799,,,,-611.546,221.69,660.742,-688.641,198.314,650.156,,,,-812.281,208.734,657.027,-134.487,259.488,637.806,427.983,279.288,631.007,,,,,,
2237,0,-168.521,249.731,651.312,-240.369,238.946,647.642,-314.678,219.56,639.741,-389.786,234.949,656.579,-465.162,220.025,652.187,-539.812,214.19,653.595,-610.486,222.1,660.963,-687.541,199.115,651.105,,,,-811.151,209.147,657.211,-134.492,259.215,637.777,427.983,279.288,631.007,,,,,,
2238,0,-167.343,249.831,650.967,-239.118,238.943,647.551,-313.511,219.557,639.412,-388.786,235.648,656.574,-464.32,220.604,652.299,-539.012,214.681,653.439,-609.055,222.071,660.942,-686.595,199.389,650.982,,,,-809.699,209.458,657.15,-134.489,259.086,637.775,427.983,279.288,631.007,,,,,,
2239,0,-166.202,250.087,651.206,-238.418,239.857,647.493,-312.383,219.402,639.238,-387.44,235.735,656.533,-462.843,220.558,652.178,,,,-607.836,221.997,660.876,-685.2,199.135,651.101,,,,-808.447,209.656,657.265,-134.49,259.119,637.773,427.983,279.288,631.007,,,,,,
2240,0,-165.024,250.302,651.257,-237.294,240.423,647.304,-311.268,219.513,639.158,-385.952,235.615,656.371,-461.748,221.58,652.571,,,,-606.882,222.25,660.897,-684.164,200.008,651.694,,,,-807.198,209.143,657.574,-134.489,259.127,637.775,427.983,279.288,631.007,,,,,,
2241,0,-163.664,250.297,651.107,-236.041,240.833,647.39,-309.992,219.263,639.082,-384.906,236.318,656.255,-460.811,222.212,653.245,-535.095,212.358,652.4,-605.522,222.138,660.742,-683.099,200.057,652.071,-748.956,198.991,651.936,-805.997,209.338,657.459,-134.488,259.12,637.772,427.984,279.284,631.024,,,,,,
2242,0,-162.51,250.255,651.243,,,,-309.089,219.324,639.26,-383.713,235.753,656.101,-459.796,222.406,653.203,-534.069,211.958,652.276,-604.315,222.466,660.834,-682.184,200.969,652.017,,,,-805.028,210.462,657.192,-134.49,259.098,637.775,427.983,279.288,631.007,,,,,,
