Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
816,0,-153.317,64.5614,265.379,,,,-273.698,31.8268,265.646,-328.877,8.83028,257.77,-396.607,9.04526,269.709,-459.386,-1.33559,268.789,-535.866,-20.6557,271.533,-622.11,-24.7823,280.59,,,,-796.984,-57.6803,265.054,-160.486,74.462,250.83,199.709,123.064,249.141,,,,,,
817,0,-149.446,63.8568,264.8,,,,-270.808,33.4649,265.515,-324.768,9.52125,256.366,-392.868,9.07439,269.751,-455.72,-1.67273,268.214,-532.537,-20.662,271.246,-618.238,-24.7282,280.461,,,,-793.654,-56.3719,265.211,-160.297,74.1734,250.696,199.711,123.074,249.142,,,,,,
818,0,-145.827,64.0678,263.875,,,,,,,-321.853,10.0798,255.468,,,,-452.321,-1.6693,267.715,-529.255,-21.1978,271.123,-614.81,-24.2725,280.186,-706.197,-47.9345,271.403,-790.269,-55.2565,265.684,-160.253,74.0496,250.62,199.709,123.064,249.141,,,,,,
819,0,-142.225,66.4827,262.832,,,,-264.476,37.2203,266.438,-318.443,10.158,254.706,-387.056,9.86244,270.424,-447.942,-2.59994,266.879,-525.87,-21.796,271.044,-611.018,-24.1271,280.331,-702.508,-47.0715,271.347,-786.594,-54.7617,265.76,-160.275,73.9839,250.6,199.709,123.068,249.156,,,,,,
820,0,-138.929,66.0837,262.478,,,,-261.066,39.1575,267.16,-315.955,9.89741,255.074,-383.105,10.193,269.95,-444.743,-2.45778,266.098,-522.294,-19.8476,270.62,-607.296,-23.948,280.235,-699.125,-46.6011,271.556,-783.304,-54.3482,265.841,-160.358,73.9703,250.528,199.709,123.068,249.156,,,,,,
821,0,-135.587,65.684,262.028,,,,-258.026,40.5567,267.723,-313.547,9.27018,255.153,-378.888,10.5703,271.241,-441.37,-2.37217,265.6,-518.757,-17.9822,270.516,-603.064,-24.8558,280.368,-695.758,-46.4095,271.299,,,,-160.359,73.9571,250.526,199.685,123.081,249.158,,,,,,
822,0,-132.252,65.8433,261.314,,,,-253.044,39.8155,267.49,-310.462,10.7857,255.469,-374.869,9.83477,270.814,-437.952,-2.18923,265.331,-515.669,-17.8898,271.067,-599.736,-24.1271,280.297,-691.366,-45.3271,272.632,,,,-160.413,73.9255,250.469,199.685,123.082,249.158,,,,,,
823,0,-128.995,65.3325,260.622,,,,-248.03,39.0382,267.755,-307.384,12.0831,255.705,-370.96,9.90423,270.258,-434.407,-2.34597,265.924,-512.715,-17.4619,271.66,-595.908,-24.2277,280.156,-688.553,-43.5544,273.187,,,,-160.447,73.6943,250.259,199.685,123.081,249.158,,,,,,
