Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
43540,0,-285.571,-2.20544,633.286,-359.158,-17.9319,630.119,-430.852,-22.1231,632.858,-510.239,-24.0377,636.555,-582.709,-25.611,638.374,-663.441,-45.9602,631.031,-736.327,-35.4401,643.735,-809.714,-38.0168,644.254,-878.954,-57.8594,629.001,-924.374,-61.8443,624.562,-218.213,5.23042,616.754,518.377,50.2752,609.976,-995.151,-31.7318,643.973,,,
43541,0,-283.042,-2.20083,633.25,-356.706,-17.3316,630.299,-428.052,-21.6727,632.453,,,,-580.257,-25.2614,638.394,-661.291,-45.3596,631.453,-734.17,-36.6351,642.943,-807.385,-37.3805,643.98,-876.872,-56.1365,630.137,-922.611,-62.4754,624.091,-218.212,5.23314,616.742,518.382,50.2953,609.984,-995.146,-31.6342,643.927,,,
43542,0,-280.381,-2.07663,633.009,-354.502,-16.8031,630.23,-425.765,-23.1675,632.109,,,,-577.654,-24.8046,638.453,-658.735,-43.8963,631.922,-731.787,-37.68,641.959,-804.278,-36.7592,643.836,-874.962,-54.9053,631.589,-920.805,-63.0972,623.621,-218.192,5.24628,616.744,518.382,50.2966,609.985,-995.103,-31.5981,643.709,,,
43543,0,-278.098,-1.75268,632.912,-351.785,-16.3668,630.837,,,,,,,-575.207,-24.8907,638.296,-656.554,-43.546,632.427,,,,-801.981,-36.7338,643.816,-872.766,-53.2495,632.829,-918.719,-62.8777,622.742,-218.195,5.2407,616.709,518.382,50.2962,609.984,-995.052,-31.5114,643.487,,,
43544,0,-275.674,-1.64011,632.815,-349.6,-14.9612,630.916,-420.603,-24.8194,631.086,,,,-572.534,-24.5871,638.196,-654.118,-42.6941,632.903,,,,-798.986,-36.7123,644.017,-870.677,-51.9402,633.932,-916.713,-63.4798,622.635,-218.187,5.25444,616.724,518.382,50.2962,609.984,-995.04,-31.4571,643.392,,,
43545,0,-273.517,-0.780724,632.835,-347.439,-13.9437,630.674,-417.85,-25.8749,630.855,,,,-570.135,-24.2576,638.087,-651.937,-41.6307,633.689,,,,-796.416,-35.5894,644.2,-868.572,-50.7055,634.99,-914.768,-63.7136,622.479,-218.17,5.311,616.714,518.384,50.305,610.008,-995.027,-31.4126,643.368,,,
43546,0,-270.893,-1.25302,633.09,-344.835,-13.4284,631.415,-415.524,-26.4422,630.198,-495.263,-23.4305,636.277,-567.507,-23.8798,637.888,-649.518,-40.8929,634.068,-722.891,-42.2577,638.99,-793.728,-35.8141,644.225,-866.288,-49.3783,635.953,-912.649,-63.1201,622.41,-218.16,5.32708,616.73,518.384,50.3054,610.009,-995.032,-31.4153,643.346,,,
43547,0,-268.694,-0.897721,632.865,-343.052,-12.7153,631.685,-413.713,-26.2018,630.079,-492.29,-23.0593,635.968,-565.234,-24.1698,637.947,-647.33,-39.7159,634.696,-720.78,-43.3774,637.811,-791.016,-34.9653,644.092,-864.126,-48.4323,636.82,-910.316,-63.2005,622.22,-218.183,5.36098,616.731,518.384,50.3052,610.009,-995.035,-31.4206,643.325,,,
