Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
28899,0,-524.036,-42.8573,295.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28900,0,-520.223,-44.1198,294.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28901,0,-517.016,-46.9043,294.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28902,0,-512.977,-49.1874,293.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28903,0,-510.236,-51.3591,293.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28904,0,-507.014,-53.9579,292.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28905,0,-503.989,-56.4115,291.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28906,0,-500.342,-58.193,290.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28907,0,-496.694,-59.656,289.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28908,0,-492.912,-61.5333,288.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
