Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2475,0,-212.85,54.9801,149.694,-219.777,39.8768,141.378,-282.673,51.717,149.044,-339.482,23.5838,135.363,-386.277,25.8446,138.517,-440.261,27.7941,145.919,-494.291,25.1757,145.435,-557.872,16.8044,135.302,-622.524,34.4939,155.057,-692.575,16.2154,139.168,-192.005,62.6888,135.175,288.326,79.1656,117.829,,,,1027.66,94.4057,129.566
2476,0,-212.923,55.139,149.676,-219.777,39.8772,141.378,-282.673,51.717,149.044,-339.478,23.6084,135.357,-386.278,25.8417,138.518,-440.274,27.8708,145.904,-494.299,25.1716,145.436,-557.873,16.8004,135.302,-622.525,34.5004,155.055,-692.594,16.2231,139.143,-191.961,62.6693,135.082,288.295,79.1833,117.829,,,,1027.66,94.4079,129.548
2477,0,-212.874,55.109,149.674,-219.777,39.8772,141.378,-282.673,51.717,149.044,-339.445,23.6185,135.355,-386.268,25.8544,138.511,-440.274,27.8879,145.901,-494.263,25.2237,145.426,-557.857,16.9255,135.284,-622.534,34.4699,155.057,-692.549,16.225,139.157,-191.979,62.682,135.06,288.287,79.1525,117.83,,,,1027.66,94.416,129.547
2478,0,-212.807,55.1346,149.639,-219.777,39.8771,141.378,-282.68,51.7216,149.004,-339.441,23.6311,135.351,-386.28,25.8418,138.485,-440.268,27.9071,145.899,-494.26,25.2415,145.423,-557.851,16.9715,135.277,-622.524,34.4903,155.055,-692.563,16.2817,139.139,-191.931,62.6493,135.06,288.277,79.123,117.819,,,,1027.68,94.4475,129.556
2479,0,-212.724,55.11,149.64,-219.777,39.877,141.378,-282.675,51.7219,149.041,-339.452,23.614,135.36,-386.239,25.8949,138.506,-440.231,27.9439,145.888,-494.261,25.2387,145.424,-557.817,17.021,135.276,-622.54,34.4607,155.001,-692.567,16.2638,139.134,-191.93,62.6436,135.059,288.286,79.1543,117.83,,,,1027.66,94.4067,129.566
2480,0,-212.741,55.2,149.703,-219.777,39.877,141.378,-282.673,51.7171,149.045,-339.443,23.6152,135.364,-386.238,25.9092,138.473,-440.229,27.9501,145.887,-494.261,25.2349,145.424,-557.815,17.03,135.266,-622.524,34.4899,155.053,-692.564,16.2874,139.13,-191.93,62.6457,135.06,288.31,79.1318,117.84,,,,1027.65,94.3959,129.565
2481,0,-212.69,55.2131,149.687,-219.733,39.9249,141.368,-282.673,51.7157,149.044,-339.444,23.6166,135.355,-386.24,25.9065,138.472,-440.235,27.924,145.891,-494.261,25.2342,145.424,-557.816,17.0254,135.275,-622.526,34.4245,155.01,-692.564,16.2932,139.13,-191.906,62.6708,135.038,288.325,79.1314,117.839,,,,1027.66,94.4077,129.548
2482,0,-212.538,55.144,149.646,-219.77,39.9081,141.413,-282.673,51.7164,149.044,-339.441,23.6302,135.351,-386.24,25.9027,138.473,-440.235,27.9177,145.891,-494.261,25.2345,145.424,-557.817,17.0217,135.277,-622.521,34.4086,155.007,-692.545,16.2616,139.152,-191.932,62.5965,135.033,288.289,79.1482,117.842,,,,1027.66,94.4123,129.546
