Trajectories
150
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
27617,0,-141.394,255.628,650.944,-214.545,249.099,649.977,-290.965,262.149,652.045,-361.698,230.826,653.98,-435.061,221.951,652.996,-508.397,232.265,659.585,-585.378,241.722,658.682,-655.438,215.341,659.913,,,,-787.177,207.223,656.364,-135.914,265.199,633.701,321.022,282.755,633.031,,,,,,
27618,0,-139.119,255.372,650.552,-212.203,248.8,649.946,-288.179,262.265,652.186,-359.59,231.846,653.874,-432.647,221.362,652.42,-506.126,232.172,659.703,-583.254,241.428,658.734,-653.416,216.409,659.708,,,,-784.503,207.295,656.217,-135.89,265.157,633.7,321.022,282.756,633.032,,,,,,
27619,0,-136.711,255.583,650.033,-209.542,248.809,649.848,-285.941,262.038,652.147,-357.429,233.415,654,-430.416,221.298,651.748,-503.461,231.53,659.704,-580.309,240.523,659.025,-651.732,218.542,659.702,,,,-782.287,207.477,656.15,-135.889,265.155,633.7,321.022,282.755,633.032,,,,,,
27620,0,-133.987,256.238,649.574,-207.099,248.549,649.717,-283.45,261.492,652.062,-355.369,234.826,654.27,-428.228,221.054,651.449,-501.176,231.299,659.779,-578.283,240.321,658.931,-649.472,219.765,660.089,,,,-780.085,207.403,656.075,-135.888,265.186,633.701,321.022,282.749,633.024,,,,,,
27621,0,-132.09,256.431,648.82,-204.692,248.645,649.615,-281.104,261.245,651.994,-353.382,236.276,654.595,-425.599,220.082,651.008,-498.964,231.067,659.574,-575.853,239.675,658.998,-647.651,220.948,660.039,,,,-777.572,207.229,656.179,-135.912,265.217,633.701,320.999,282.765,633.019,,,,,,
27622,0,-129.647,256.356,647.977,-202.421,248.701,649.552,-278.68,260.457,652.277,-351.232,237.37,654.59,-423.699,220.336,650.619,-496.288,231.038,659.249,-573.691,239.315,659.434,-645.537,221.719,659.879,-714.762,199.908,654.664,-775.496,207.855,655.762,-135.886,265.194,633.677,320.999,282.775,633.034,,,,,,
27623,0,-127.549,257.565,647.407,-200.023,248.306,649.596,-276.448,259.818,652.363,-349.338,238.707,654.696,-421.689,219.609,650.241,-494.106,230.745,659.329,-571.778,239.153,659.629,-643.832,222.798,659.838,-711.944,200.624,654.324,-773.355,207.75,655.573,-135.874,265.312,633.667,320.999,282.775,633.034,,,,,,
27624,0,,,,-197.957,248.986,649.797,-274.132,258.742,652.212,-347.766,240.233,654.649,-419.273,219.422,649.862,-491.815,230.729,659.287,-569.369,237.898,659.907,-642.139,224.2,660.072,,,,-771.427,206.473,655.644,-135.845,265.312,633.636,320.999,282.765,633.019,,,,,,
27625,0,-122.941,257.431,645.787,-195.256,248.337,649.676,-272.068,258.444,652.815,-345.965,241.115,655.092,-417.074,219.111,649.489,-489.572,230.592,659.282,-567.172,236.904,659.873,,,,-708.091,199.797,654.022,,,,-135.813,265.283,633.574,320.991,282.733,633.034,,,,,,
27626,0,-121.376,258.504,644.924,-193.282,248.183,649.466,-270.012,257.927,652.785,-344.101,242.581,655.378,-415.03,218.783,649.019,-487.454,230.52,659.344,-565.407,236.59,659.923,-639.033,226.661,660.43,-706.006,199.818,654.47,,,,-135.802,265.354,633.557,320.991,282.733,633.034,,,,,,
27627,0,-119.5,258.726,644.066,-191.424,248.566,649.445,-267.769,256.781,652.723,-342.227,243.65,655.246,-412.968,218.837,648.782,-485.591,230.786,659.255,,,,,,,-703.938,200.156,654.104,,,,-135.79,265.622,633.563,321.022,282.755,633.032,,,,,,
27628,0,-117.454,258.601,643.375,-189.072,248.035,649.32,-265.563,256.001,652.763,-340.716,244.674,655.204,-410.827,218.989,648.684,-483.645,230.752,659.035,-561.499,235.65,660.314,-635.857,230.174,659.697,,,,,,,-135.793,265.61,633.525,321.022,282.75,633.046,,,,,,
27629,0,-115.352,258.928,642.649,-186.738,247.614,649.379,-263.541,255.549,652.93,-339.172,246.431,655.232,-409.004,219.028,648.419,-481.352,230.162,659.056,,,,,,,,,,-729.946,126.782,665.14,-135.794,265.622,633.522,320.999,282.783,633.05,,,,,,
27630,0,-113.858,259.893,642.377,-185.033,247.753,649.646,-261.741,255.073,652.994,-337.622,247.615,655.271,-407.185,218.782,648.306,-479.381,230.147,659.161,,,,-632.489,231.208,659.526,,,,-728.327,126.658,664.684,-135.797,265.715,633.522,320.976,282.798,633.067,,,,,,
27631,0,-112.407,260.594,642.173,-183.212,247.337,649.84,-259.959,254.335,652.903,-335.933,248.82,655.208,-405.194,219.048,648.142,-477.308,229.515,659.289,-555.197,235.437,660.503,-631.034,232.641,659.518,,,,-726.789,126.382,664.264,-135.789,265.689,633.536,320.976,282.798,633.067,,,,,,
27632,0,-110.852,261.174,641.781,-181.479,247.179,649.83,-258.21,253.67,652.785,-334.39,250.018,655.042,-403.364,219.606,648.074,-475.395,229.544,659.182,-553.698,234.618,660.537,-629.655,233.818,659.504,,,,-725.23,126.352,664.817,-135.79,265.688,633.519,320.991,282.729,633.049,,,,,,
27633,0,-109.265,262.186,641.402,-179.674,247.169,649.831,-256.473,252.905,652.588,-332.962,251.611,654.762,-402.009,219.95,648.237,-473.619,229.573,659.015,-551.82,234.499,660.58,-628.441,235.687,659.632,,,,-723.596,126.011,663.901,-135.766,265.675,633.518,320.999,282.773,633.034,,,,,,
27634,0,-107.676,262.648,641.084,-177.881,246.933,650.21,-254.652,252.274,652.53,-331.415,252.606,654.603,-400.408,220.697,648.499,-471.844,229.569,658.894,-549.913,234.455,660.607,-627.292,237.102,659.523,,,,-721.9,125.806,663.771,-135.787,265.638,633.51,320.999,282.775,633.034,,,,,,
27635,0,-106.259,263.209,640.806,-176.263,246.817,650.327,-252.869,251.614,652.707,-329.817,253.723,654.373,-398.381,220.465,648.511,-470.235,229.433,658.78,-548.103,234.372,660.589,-625.733,238.11,659.333,,,,-720.283,125.695,663.69,-135.817,265.645,633.48,320.999,282.769,633.049,,,,,,
27636,0,-104.84,263.694,640.833,-174.494,246.757,650.417,-251.443,250.748,652.843,-328.456,254.209,654.591,-396.374,220.496,648.656,-468.566,229.289,658.598,-546.383,234.387,660.652,-624.112,238.388,659.144,,,,-718.736,125.694,663.756,-135.814,265.568,633.445,320.991,282.724,633.02,,,,,,
27637,0,-103.416,264.225,640.636,-172.914,246.504,650.719,-249.662,250.269,652.627,-326.986,255.331,654.197,-394.789,220.413,648.493,-466.887,229.248,658.443,-544.79,233.708,660.796,-621.965,237.725,658.917,,,,-717.36,125.726,662.55,-135.817,265.455,633.378,321,282.764,633.019,,,,,,
27638,0,-102.173,264.93,640.541,-171.29,246.208,650.975,-248.102,249.782,652.505,-325.559,255.952,654.334,,,,-465.073,229.377,658.665,-543.004,233.452,660.793,-620.281,237.665,658.748,,,,-744.521,199.946,651.846,-135.816,265.293,633.345,320.991,282.739,633.02,,,,,,
27639,0,-100.745,265.322,640.397,-169.566,246.251,651.06,-246.635,249.139,652.444,-323.958,257.079,654.25,-391.688,221.773,649.271,-463.248,229.455,658.799,-541.203,233.509,660.759,-619.061,238.802,658.577,-682.204,204.174,654.738,-742.886,199.744,651.617,-135.84,265.226,633.334,320.993,282.744,633.023,,,,,,
27640,0,-99.4717,265.842,640.301,-168.01,246.109,651.072,-245.188,248.644,652.337,-322.649,258.145,653.991,-390.215,222.611,649.449,-461.636,229.321,658.763,-539.473,233.39,660.706,-617.522,239.344,658.378,-680.492,204.905,654.705,-741.3,199.656,651.393,-135.859,265.38,633.352,321.014,282.716,632.988,,,,,,
27641,0,-98.015,266.169,640.322,-166.312,246.294,651.709,-243.912,248.36,652.276,-321.227,258.503,654.022,-388.736,222.751,649.602,-460.078,229.205,658.709,-537.788,233.232,660.613,-615.966,239.424,658.228,-679.293,205.316,654.845,-739.771,199.598,651.151,-135.861,265.345,633.356,321.014,282.709,633.002,,,,,,
27642,0,-97.1487,267.248,640.576,-164.756,246.396,651.919,-242.653,247.741,652.211,-319.767,259.013,653.834,-386.979,223.204,650.049,-458.457,229.026,658.518,-536.091,233.202,660.484,-614.57,239.769,658.096,-678.393,206.787,654.86,-738.288,199.537,650.973,-135.859,265.308,633.353,321.014,282.713,633.01,,,,,,
27643,0,-95.6055,267.519,640.761,-163.143,246.518,651.868,-240.942,247.215,652.159,-318.196,260.047,653.708,-385.84,223.059,650.39,-456.921,228.851,658.271,-534.658,233.175,660.614,-612.801,239.633,657.868,-676.365,206.554,655.464,-736.933,199.18,650.904,-135.855,265.396,633.365,320.992,282.724,633.019,,,,,,
27644,0,-93.7634,267.542,640.837,-161.624,246.866,651.892,-239.045,246.108,652.115,-316.693,260.633,653.428,-384.046,224.252,650.37,-455.516,228.766,658.093,-533.307,233.403,660.596,-611.542,240.331,657.752,-674.823,206.476,655.37,-735.532,199.061,650.758,-135.841,265.74,633.419,320.999,282.768,633.026,,,,,,
27645,0,-92.3175,268.049,640.953,-159.957,247.163,651.757,-237.399,245.081,652.074,-315.31,260.866,653.301,-382.748,224.682,650.753,-454.069,228.463,658.025,-531.88,233.208,660.6,-610.359,240.888,657.655,,,,-734.022,199.078,650.576,-135.862,265.706,633.414,320.999,282.775,633.034,,,,,,
27646,0,-90.879,268.537,640.912,-158.313,247.634,651.577,-235.722,244.672,652.029,-314.053,261.214,653.209,-381.302,225.249,651.078,-452.614,227.795,657.754,-530.408,233.651,660.618,-609.036,241.4,657.674,-672.066,207.842,655.403,-732.485,199.117,650.563,-135.895,265.856,633.45,320.999,282.769,633.049,,,,,,
27647,0,-89.2534,268.629,641.109,,,,-234.724,243.677,651.673,-312.63,261.472,653.073,-379.832,225.432,651.205,-451.092,227.606,657.488,,,,-607.735,241.418,657.789,-670.818,208.341,655.599,-730.92,199.113,650.38,-135.909,266.07,633.498,320.999,282.774,633.034,,,,,,
27648,0,-87.6819,268.841,641.262,-155.108,248.926,651.358,-233.246,243.737,651.609,-310.995,261.192,653.142,-378.564,225.923,651.369,-449.713,226.922,657.266,,,,-606.343,241.614,657.663,-669.314,208.724,656.027,-729.288,198.878,649.995,-135.902,266.156,633.516,321,282.769,633.026,,,,,,
27649,0,-85.8329,268.688,641.238,-153.879,249.716,651.443,-232.01,243.104,651.843,-309.328,260.66,653.12,-377.147,226.58,651.443,-448.124,226.565,657.206,,,,-605.17,242.617,657.635,-667.832,209.407,655.884,-727.961,198.534,649.922,-135.909,266.082,633.508,320.991,282.724,633.02,,,,,,
27650,0,-84.4155,268.864,641.246,-152.258,250.014,651.273,-230.298,242.801,651.559,-307.919,260.49,653.084,-376.286,227.406,651.886,-446.91,226.76,656.966,,,,-603.674,242.468,657.451,-666.532,210.015,656.111,-726.372,198.03,649.922,-135.908,266.1,633.508,321,282.764,633.019,,,,,,
27651,0,-82.934,268.872,641.225,-150.946,250.609,651.22,-228.835,242.32,651.406,-306.745,260.837,653.062,-374.84,227.417,652.187,-445.838,226.8,656.973,,,,-602.292,242.265,657.411,-665.921,211.568,656.224,-724.883,197.861,649.812,-135.895,266.281,633.543,321.005,282.751,633.001,,,,,,
27652,0,-81.8327,269.313,641.807,-149.392,251.067,650.94,-227.436,242.305,651.274,-305.189,260.123,653.092,-373.425,227.854,652.357,-444.398,225.845,656.651,,,,-601.023,242.293,657.335,-664.182,211.237,656.178,-723.238,197.829,649.662,-135.905,266.574,633.6,320.99,282.804,633.017,,,,,,
27653,0,-80.5595,269.265,642.133,-148.376,252.306,650.631,-226.139,242.088,651.101,-303.787,260.046,653.207,-372.034,228.443,652.396,-443.012,225.508,656.144,,,,-599.757,242.47,657.291,-662.473,211.048,656.637,-721.593,197.878,649.416,-135.908,266.59,633.602,321.007,282.802,633.033,,,,,,
27654,0,-79.0301,269.195,642.22,-146.907,252.418,650.243,-224.761,241.542,650.192,-302.455,260.127,653.19,-371.233,229.568,652.738,-441.496,224.936,655.581,-518.762,233.441,660.359,-598.093,242.194,657.462,-661.32,211.772,656.548,-720.31,197.369,649.32,-135.889,266.58,633.611,320.99,282.803,633.04,,,,,,
27655,0,-77.4438,268.981,642.35,-145.538,252.375,649.857,-223.196,241.464,650.617,-301.165,259.239,653.099,-369.737,229.977,653.123,-440.874,225.329,655.26,-517.224,233.467,660.284,-596.669,241.753,657.569,-660.09,212.408,656.396,-718.875,197.012,649.409,-135.867,266.624,633.589,321.007,282.801,633.033,,,,,,
27656,0,-75.8383,268.599,643.272,-144.171,252.74,649.738,-221.914,241.206,650.762,-299.842,259.314,653.15,-368.389,230.224,653.325,-439.51,224.861,655.051,-515.79,234.055,660.298,-595.366,241.571,657.438,,,,-717.322,196.632,649.106,-135.844,266.601,633.575,320.99,282.8,633.032,,,,,,
27657,0,-74.7458,268.744,643.479,-142.745,252.991,649.252,-220.547,241.272,650.728,-298.754,259.245,653.425,-367.226,230.834,653.501,-437.77,224.148,654.846,-514.519,234.302,660.255,-594.06,241.757,657.36,-657.959,213.642,656.685,-716.007,196.8,648.856,-135.843,266.525,633.557,320.99,282.791,633.017,,,,,,
27658,0,-73.5388,268.94,643.855,-141.536,253.014,648.878,-219.03,241.246,650.474,-297.239,258.851,653.406,-365.845,231.444,653.707,-436.922,223.853,654.769,-513.316,233.838,660.248,-592.734,241.889,657.312,-656.921,214.549,656.621,-714.68,197.511,649.139,-135.86,266.52,633.546,321.013,282.786,633.015,,,,,,
27659,0,-72.0371,268.846,644.206,-140.475,253.281,648.007,-217.844,241.289,650.278,-295.765,258.051,653.533,-364.982,232.673,653.97,-435.643,223.872,654.505,-512.026,233.919,660.225,-591.828,242.157,657.431,,,,-713.259,197.585,648.79,-135.879,266.545,633.557,321.005,282.74,633.03,,,,,,
27660,0,-70.5424,268.805,644.437,-138.955,253.486,647.634,-216.378,241.316,650.121,-294.109,257.687,653.675,-363.512,232.664,654.203,-434.083,222.861,654.216,-510.608,234.456,660.199,-590.308,241.751,657.725,-654.262,215.797,657.24,-711.775,197.527,648.58,-135.896,266.549,633.548,321.005,282.739,633.03,,,,,,
