Trajectories
150
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8363,0,-130.382,330.845,674.664,-203.426,337.142,669.894,-278.281,330.191,677.535,-352.834,323.568,681.992,-428.818,320.289,681.951,-498.961,342.493,673.254,-567.296,321.524,687.683,-647.019,314.004,685.432,,,,-777.735,307.538,681.403,-137.11,316.215,659.835,248.083,313.696,661.075,,,,,,
8364,0,-129.483,330.599,674.572,-202.535,337.681,669.851,-276.913,330.034,677.725,-351.659,323.582,681.937,-427.632,320.038,681.901,-497.926,342.259,673.459,-566.475,321.933,687.518,-645.912,313.777,685.536,,,,-776.767,308.153,681.716,-137.107,316.238,659.862,248.087,313.687,661.075,,,,,,
8365,0,-128.282,330.614,674.258,-201.672,336.984,669.876,-275.966,328.706,678.097,-351.235,323.616,681.394,-426.623,319.466,681.938,-496.837,342.308,673.53,-565.361,322.396,687.314,-644.86,313.892,685.435,,,,,,,-137.123,316.331,659.857,248.087,313.688,661.075,,,,,,
8366,0,-127.446,330.263,674.363,-200.681,337.339,670.098,-274.969,329.354,677.657,-349.878,323.929,681.861,,,,-496.06,342.115,673.522,-564.486,322.787,687.37,-643.883,313.623,685.52,,,,,,,-137.107,316.222,659.88,248.087,313.688,661.075,,,,,,
8367,0,,,,-199.582,336.94,670.054,-273.762,329.466,677.76,-348.856,324.588,681.781,-424.73,318.93,681.86,-495.311,342.152,673.624,,,,-642.61,313.366,685.688,,,,,,,-137.127,316.233,659.879,248.087,313.688,661.075,,,,,,
8368,0,-125.497,329.772,673.933,-198.629,336.876,670.185,-272.926,329.513,677.878,-348.036,325.45,681.696,,,,-494.122,341.756,673.984,-562.611,322.99,687.054,-641.853,313.375,685.622,,,,,,,-137.127,316.242,659.879,248.087,313.688,661.075,,,,,,
8369,0,-124.681,330.161,673.763,-197.756,336.662,670.192,-271.965,329.516,677.874,-347.013,326.306,681.142,-422.854,318.235,681.622,-493.193,341.236,674.081,,,,-641.083,312.808,685.33,,,,,,,-137.125,316.263,659.903,248.092,313.679,661.065,,,,,,
8370,0,-123.954,329.591,673.725,-196.895,336.826,670.486,-270.789,329.002,677.764,-346.353,325.867,681.338,-421.905,317.643,681.406,-492.211,341.241,674.065,,,,-640.095,313.053,685.407,,,,,,,-137.124,316.266,659.905,248.087,313.688,661.075,,,,,,
8371,0,-122.865,329.783,673.664,-196.008,336.082,670.473,-270.073,329.269,677.936,-345.502,326.378,681.278,-421.195,317.379,681.765,-491.523,341.065,674.062,-559.719,324.578,686.819,,,,,,,,,,-137.125,316.264,659.903,248.085,313.693,661.056,,,,,,
