Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_95:Head_M1,,,Snake_95:M2,,,Snake_95:M3,,,Snake_95:M4,,,Snake_95:M5,,,Snake_95:M6,,,Snake_95:M7,,,Snake_95:M8,,,Snake_95:M9,,,Snake_95:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2406,0,-180.288,112.713,841.285,-242.955,118.454,841.32,-307.309,115.041,842.484,-371.141,133.459,850.858,-437.001,139.597,850.594,-503.748,106.636,843.631,-574.148,132.322,852.346,-640.264,139.485,850.187,-710.911,106.425,844.063,-776.052,116.823,848.655,-131.637,142.923,835.438,96.2448,135.441,834.002,,,,835.68,136.86,851.641
2407,0,-178.935,112.674,841.35,-241.701,117.694,840.563,-305.604,115.009,842.382,-369.495,133.313,850.956,-435.493,140.269,850.443,-501.799,107.31,844.15,-572.174,131.154,852.545,-638.289,139.696,850.014,,,,-774.201,115.946,848.526,-131.636,142.925,835.438,96.2447,135.441,834.002,,,,835.68,136.86,851.641
2408,0,-178.024,113.551,841.543,-240.467,117.054,840.185,-304.065,115.184,842.311,-367.934,132.918,850.949,-433.7,140.683,850.172,-500.623,108.05,844.423,-570.507,130.026,852.518,-636.27,140.278,849.685,-707.23,108.148,844.876,-772.427,115.308,848.426,-131.637,142.924,835.438,96.2447,135.441,834.002,,,,835.697,136.829,851.628
2409,0,-176.433,113.131,841.617,,,,-302.429,115.247,842.24,-366.347,132.171,851.019,-431.876,140.407,850.061,-498.907,108.247,844.479,-568.806,130.164,852.866,-634.143,140.869,849.434,-705.416,108.562,845.252,-770.75,115.329,848.413,-131.64,142.962,835.456,96.2447,135.441,834.002,,,,835.698,136.83,851.634
2410,0,-175.197,113.289,842.007,-237.87,115.245,838.872,-300.842,115.983,842.385,-364.695,131.347,851.011,-430.22,140.177,849.878,-496.988,108.423,844.796,-566.931,129.34,852.991,-632.388,140.887,849.233,-704.057,109.833,845.629,-768.93,115.293,848.311,-131.637,143.015,835.443,96.2428,135.446,833.989,,,,835.696,136.831,851.64
2411,0,-173.939,114.204,842.24,-236.562,114.569,838.434,-299.129,116.269,842.48,-362.907,130.383,850.981,-428.457,140.866,849.601,-495.743,109.735,845.017,-565.116,128.28,852.834,-630.516,141.109,849.059,-702.237,110.735,846.158,-767.194,114.829,848.27,-131.638,143.01,835.459,96.2447,135.442,834.002,,,,835.679,136.854,851.648
2412,0,-171.904,114.145,842.25,-235.115,113.863,837.757,-297.249,115.976,842.784,-361.068,129.566,850.901,-426.793,141.119,849.527,-494.178,109.971,845.29,-563.341,127.185,852.821,-628.92,141.298,848.961,-700.531,110.915,846.373,,,,-131.637,143.06,835.446,96.2459,135.44,834.003,,,,835.679,136.848,851.642
2413,0,-170.44,115.41,843.002,-233.804,113.805,836.909,-295.383,116.024,842.835,-359.339,128.26,850.849,-425.066,141.233,849.56,-492.713,111.5,845.828,-561.742,126.297,852.89,-627.07,141.613,849,-698.996,111.81,846.753,,,,-131.636,143.062,835.446,96.2448,135.441,834.002,,,,835.68,136.849,851.648
