Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.243,-9.77804,273.297,337.775,26.5863,277.237,,,,733.591,54.054,292.055
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.241,-9.78302,273.298,337.771,26.5836,277.264,,,,733.629,54.0325,292.048
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.271,-9.71988,273.308,337.779,26.5837,277.263,,,,733.592,54.0665,292.054
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.243,-9.77273,273.297,337.759,26.6206,277.239,,,,733.59,54.0546,292.055
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.242,-9.76407,273.297,337.783,26.5877,277.235,,,,733.589,54.0612,292.045
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.27,-9.69229,273.289,337.776,26.6232,277.215,,,,733.589,54.0615,292.045
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.248,-9.64664,273.282,337.782,26.5925,277.224,,,,733.615,54.0332,292.047
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.251,-9.70777,273.276,337.761,26.5911,277.254,,,,733.589,54.0496,292.045
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.251,-9.62176,273.263,337.793,26.5922,277.226,,,,733.589,54.0507,292.045
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.221,-9.70578,273.289,337.793,26.5854,277.235,,,,733.603,54.0499,292.046
45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.247,-9.63884,273.282,337.786,26.5532,277.237,,,,733.589,54.0503,292.045
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.221,-9.70874,273.289,337.792,26.5957,277.215,,,,733.59,54.0429,292.056
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.251,-9.62344,273.264,337.785,26.5592,277.226,,,,733.615,54.0328,292.047
48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.249,-9.63974,273.281,337.792,26.5889,277.225,,,,733.603,54.0493,292.046
49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.247,-9.65032,273.283,337.792,26.5907,277.225,,,,733.604,54.0425,292.057
50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.247,-9.65064,273.283,337.785,26.5582,277.226,,,,733.63,54.0247,292.058
51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.22,-9.71576,273.29,337.785,26.557,277.226,,,,733.591,54.053,292.055
52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.245,-9.66129,273.284,337.775,26.6162,277.225,,,,733.59,54.0434,292.056
53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.248,-9.64582,273.282,337.768,26.5867,277.227,,,,733.591,54.0536,292.055
54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.248,-9.64802,273.282,337.762,26.5837,277.253,,,,733.616,54.0257,292.057
55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.245,-9.74892,273.295,337.785,26.558,277.227,,,,733.604,54.0414,292.057
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.242,-9.76593,273.297,337.758,26.5848,277.226,,,,733.59,54.0429,292.056
57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.243,-9.76027,273.296,337.771,26.5578,277.254,,,,733.604,54.0531,292.056
58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.245,-9.78106,273.315,337.776,26.5843,277.225,,,,733.589,54.0613,292.045
59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.241,-9.78573,273.299,337.776,26.586,277.225,,,,733.59,54.0432,292.056
60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.268,-9.71847,273.291,337.769,26.6224,277.241,,,,733.604,54.0741,292.045
61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.245,-9.74841,273.295,337.783,26.6257,277.214,,,,733.604,54.0751,292.045
62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.244,-9.78325,273.316,337.793,26.593,277.225,,,,733.59,54.0752,292.043
63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.243,-9.76345,273.297,337.774,26.6198,277.224,,,,733.587,54.0677,292.034
64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.276,-9.65365,273.269,337.782,26.5992,277.214,,,,733.603,54.0608,292.046
65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.69691,273.289,337.782,26.5978,277.214,,,,733.601,54.0804,292.034
66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.271,-9.69081,273.289,337.793,26.5924,277.226,,,,733.604,54.0751,292.044
67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68605,273.288,337.778,26.5973,277.23,,,,733.591,54.0675,292.054
68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68574,273.288,337.761,26.5919,277.254,,,,733.589,54.0614,292.045
69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68609,273.288,337.792,26.5901,277.225,,,,733.603,54.0499,292.046
70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68617,273.288,337.776,26.5858,277.236,,,,733.59,54.0426,292.056
71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68616,273.288,337.779,26.5543,277.251,,,,733.59,54.0427,292.056
72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68615,273.288,337.793,26.584,277.236,,,,733.59,54.0424,292.055
73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68615,273.288,337.784,26.6131,277.234,,,,733.59,54.0427,292.056
74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68615,273.288,337.793,26.5864,277.235,,,,733.59,54.0427,292.056
75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68615,273.288,337.786,26.5772,277.247,,,,733.59,54.0427,292.056
76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-9.68615,273.288,337.784,26.6122,277.234,,,,733.59,54.0427,292.056
77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.269,-9.69261,273.29,337.769,26.612,277.262,,,,733.604,54.0422,292.057
78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.271,-9.68729,273.288,337.751,26.612,277.263,,,,733.59,54.0426,292.056
79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.273,-9.711,273.307,337.786,26.5539,277.237,,,,733.59,54.0428,292.056
80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.294,-9.69802,273.322,337.78,26.5526,277.251,,,,733.59,54.0748,292.044
