Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.148,-9.09109,273.018,283.106,28.0694,276.811,-816.611,-54.5235,287.343,679.034,57.9585,291.609
13283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.148,-9.09374,273.02,283.105,28.0707,276.811,-816.611,-54.5234,287.343,679.034,57.9585,291.609
13284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.157,-9.05351,273.018,283.098,28.0368,276.812,-816.64,-54.462,287.329,679.034,57.9585,291.609
13285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.125,-9.01792,273.008,283.106,28.0692,276.811,-816.637,-54.4684,287.348,679.034,57.9585,291.609
13286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.13,-9.02378,273.017,283.105,28.0708,276.811,-816.637,-54.4695,287.348,679.034,57.9585,291.609
13287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.138,-8.98656,273.017,283.105,28.0703,276.811,-816.637,-54.4695,287.348,679.035,57.9587,291.616
13288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.133,-8.9724,273.007,283.105,28.0703,276.811,-816.64,-54.4611,287.329,679.034,57.9602,291.603
13289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.133,-8.9724,273.033,283.105,28.0703,276.811,-816.637,-54.4692,287.348,679.034,57.9602,291.603
