Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_94:Head_M1,,,Snake_94:M2,,,Snake_94:M3,,,Snake_94:M4,,,Snake_94:M5,,,Snake_94:M6,,,Snake_94:M7,,,Snake_94:M8,,,Snake_94:M9,,,Snake_94:Vent_M10,,,Branch:OriginEnd,,Branch:TargetEnd,,Branch:OriginOther,,Branch:TargetOther,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
5161,0,-158.318,30.8777,370.238,-245.488,29.74,369.169,-326.595,50.9747,374.254,-408.334,35.78,379.089,,,,,,,,,,,,,-808.004,31.9931,381.767,,,,,,,353.758,34.7311,348.64,-825.535,43.4331,373.248,751.26,21.3417,358.451
5162,0,-156.942,30.4591,370.159,,,,-325.482,51.2827,374.138,-407.427,35.3506,379.025,-477.367,67.049,373.154,,,,-633.771,48.3212,384.384,,,,-807.346,32.4467,381.843,,,,,,,353.769,34.7255,348.626,-825.535,43.4331,373.248,751.266,21.3536,358.452
5163,0,-156.37,30.229,369.991,-244.08,28.6918,368.981,-325.299,52.2405,374.278,-406.737,35.3235,379.074,-476.527,66.1107,373.316,,,,,,,-715.735,70.7399,372.277,-806.626,32.7744,381.782,,,,,,,353.758,34.7308,348.639,-825.535,43.4331,373.248,751.276,21.3334,358.453
5164,0,-155.624,30.743,369.839,-243.584,28.6143,368.981,-324.709,52.6934,374.334,-405.899,35.0002,378.989,-475.842,66.1115,373.587,,,,-632.5,48.8152,384.503,,,,-805.783,33.135,381.716,,,,,,,353.757,34.7313,348.64,-825.535,43.4331,373.248,751.276,21.333,358.453
5165,0,-154.747,30.2584,369.837,-242.841,27.9533,368.911,-323.944,52.9375,374.386,-405.232,34.8713,379.08,,,,,,,,,,-714.315,70.5297,372.388,-805.088,33.8347,382.077,,,,,,,353.757,34.7311,348.64,-825.535,43.4331,373.248,751.26,21.3416,358.451
5166,0,-153.856,30.2725,369.769,-242.454,27.652,368.692,-323.286,53.2787,374.378,-404.519,34.7992,379.149,,,,,,,,,,,,,-804.624,34.18,382.081,,,,,,,353.758,34.7311,348.64,-825.5,43.4781,373.357,751.255,21.3466,358.45
5167,0,-153.553,30.8129,369.664,-242.028,27.2503,368.529,-322.449,53.1902,374.387,-403.773,34.4796,379.034,,,,,,,,,,-712.955,70.5259,372.296,,,,,,,,,,353.758,34.7311,348.64,-825.519,43.4381,373.355,751.266,21.3536,358.452
5168,0,-152.569,30.7575,369.651,-241.036,26.0634,368.774,-321.607,53.1348,374.417,-403.085,34.324,379.035,,,,,,,,,,,,,-802.911,35.1075,382.21,,,,,,,353.769,34.7256,348.626,-825.502,43.4021,373.36,751.255,21.3467,358.45
