Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
14980,0,-280.206,193.706,306.748,-288.771,187.485,296.024,-299.707,146.412,278.05,-315.772,164.984,287.583,-344.495,180.343,293.078,-349.027,134.658,251.206,-391.266,155.98,290.59,,,,-459.529,134.605,267.894,,,,-273.144,186.231,273.398,278.848,249.875,258.076,-943.483,110.669,290.101,1010.03,334.379,273.727
14981,0,-280.173,193.669,306.723,-288.48,186.996,296.23,-299.752,146.488,278.041,-315.846,164.819,287.662,-344.531,180.508,293.066,-348.944,134.778,251.224,-391.236,155.827,290.607,,,,-459.574,134.693,267.771,,,,-273.144,186.231,273.398,278.873,249.856,258.074,-943.481,110.635,290.116,1010.03,334.379,273.727
14982,0,-280.171,193.466,306.743,-288.555,186.855,296.302,-299.772,146.536,278.035,-315.983,164.607,287.567,-344.264,180.359,293.097,-348.884,134.832,251.232,-391.189,155.761,290.605,,,,-459.695,134.771,267.715,,,,-273.144,186.231,273.398,278.835,249.867,258.057,-943.483,110.649,290.104,1010.02,334.337,273.713
14983,0,-280.142,193.08,306.755,-288.777,186.897,296.358,-299.769,146.577,278.002,-316.119,163.465,287.884,-343.894,180.031,293.108,-348.864,134.933,251.236,-391.166,155.704,290.64,,,,-459.739,134.894,267.631,,,,-273.144,186.231,273.398,278.849,249.872,258.057,-943.48,110.689,290.096,1010.03,334.368,273.723
14984,0,-280.404,193.088,306.565,,,,-299.776,146.651,278.002,-316.128,163.531,287.603,-343.977,180.251,293.097,-348.864,135.228,251.244,-391.15,155.623,290.647,,,,-459.815,135.031,267.601,,,,-273.144,186.231,273.398,278.848,249.875,258.076,-943.484,110.655,290.104,1010.02,334.34,273.714
14985,0,-280.246,192.795,306.78,,,,-299.788,146.727,277.958,-316.248,164.046,287.524,-343.707,180.309,293.214,-348.877,135.396,251.222,-391.133,155.537,290.68,,,,-459.893,135.154,267.571,,,,-273.141,186.221,273.389,278.848,249.869,258.057,-943.483,110.65,290.104,1010.03,334.37,273.724
14986,0,-280.144,192.522,306.794,,,,-299.775,146.857,277.936,-316.336,164.492,287.491,-343.489,180.158,293.21,-348.87,135.565,251.19,-391.084,155.308,290.659,,,,,,,,,,-273.169,186.258,273.396,278.834,249.871,258.076,-943.485,110.667,290.092,,,
14987,0,-280.127,192.454,306.797,,,,-299.798,147.016,277.939,-316.39,164.624,287.49,-343.322,180.131,293.237,-348.869,135.688,251.191,-391.076,155.18,290.69,-433.633,135.053,264.18,,,,,,,-273.145,186.235,273.398,278.848,249.875,258.076,-943.485,110.669,290.092,,,
