Trajectories
150
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
9741,0,-233.594,-10.4059,247.916,-292.804,4.39895,244.666,-369.894,5.72448,244.367,-433.211,-32.1325,244.142,-502.313,-4.61317,250.734,-565.041,15.1543,241.079,,,,-704.584,3.06373,251.257,,,,,,,-173.812,-6.80944,232.391,180.615,-5.24268,230.587,-848.42,-11.8304,247.466,353.1,-9.31265,240.215
9742,0,-230.55,-10.5569,248.029,-289.838,2.8529,244.995,-367.242,7.60948,243.825,-430.098,-31.4878,244.525,-500.005,-6.62208,250.924,-562.771,16.1942,240.271,,,,,,,,,,,,,-173.825,-6.71671,232.391,180.614,-5.24032,230.577,-848.384,-11.8698,247.502,353.09,-9.33535,240.203
9743,0,-227.293,-10.6233,247.973,-286.888,1.32411,245.356,-364.836,9.19585,243.065,-427.376,-30.8765,245.255,-497.751,-8.64065,251.049,-560.454,17.2243,239.748,,,,-700.045,0.455954,252.368,,,,,,,-173.85,-6.63941,232.404,180.621,-5.26251,230.588,-848.401,-11.7382,247.478,353.089,-9.33662,240.203
9744,0,-224.01,-10.814,247.837,-283.959,0.0192611,245.492,-362.187,10.7952,242.439,-424.83,-30.3347,245.955,-495.63,-10.7462,251.227,-558.231,18.4409,239.321,,,,-697.624,-0.74736,252.475,,,,,,,-173.854,-6.57602,232.415,180.619,-5.26359,230.583,-848.402,-11.7223,247.479,353.089,-9.33602,240.203
9745,0,-220.664,-10.9558,247.913,-280.78,-0.994705,245.579,-359.441,12.3632,241.544,-421.702,-28.89,246.536,-493.311,-12.3357,251.161,-556.064,18.2432,238.256,,,,-695.191,-1.69675,253.032,,,,,,,-173.896,-6.55895,232.503,180.59,-5.28144,230.577,-848.4,-11.6895,247.473,353.089,-9.33736,240.212
9746,0,-217.47,-11.2537,247.625,-277.936,-2.06671,245.649,-356.491,13.7684,240.916,-419.265,-27.8599,247.203,-490.865,-13.8868,250.876,-553.514,18.7688,237.899,,,,-693.056,-2.88005,253.285,,,,,,,-173.942,-6.53017,232.525,180.604,-5.29232,230.582,-848.429,-11.6019,247.46,353.086,-9.32726,240.211
9747,0,-214.332,-11.5236,247.479,-274.991,-3.15824,245.973,-353.648,15.2444,240.228,-416.389,-26.5874,248.076,,,,-551.474,18.9267,237.401,,,,-690.667,-4.01752,253.483,,,,,,,-173.95,-6.47583,232.528,180.555,-5.24724,230.576,-848.425,-11.5835,247.487,353.089,-9.33701,240.212
9748,0,-211.391,-11.8973,247.427,-272.63,-4.55839,245.825,-350.919,16.2698,239.362,-413.816,-25.0234,248.862,,,,-548.831,19.0841,237.29,,,,-688.775,-5.26777,253.497,,,,,,,-173.92,-6.41012,232.533,180.582,-5.30864,230.581,-848.421,-11.5789,247.522,353.087,-9.31893,240.213
9749,0,-208.533,-12.0302,247.374,-270.705,-6.2004,245.642,-348.274,17.5006,239.031,-411.362,-23.2685,249.569,,,,-546.792,18.9924,237.046,,,,-686.379,-6.09261,253.294,,,,,,,-173.964,-6.40745,232.482,180.593,-5.32804,230.597,-848.428,-11.5323,247.545,353.075,-9.34375,240.219
