Trajectories
150
,,Snake_95:Head_M1,,,Snake_95:M2,,,Snake_95:M3,,,Snake_95:M4,,,Snake_95:M5,,,Snake_95:M6,,,Snake_95:M7,,,Snake_95:M8,,,Snake_95:M9,,,Snake_95:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
12497,0,-247.89,92.2812,360.276,-312.599,88.3888,356.65,-377.494,83.1985,357.208,-441.382,82.5855,359.471,-489.453,77.0436,355.225,-556.246,84.5057,364.814,-624.058,82.2221,364.575,-699.513,74.3227,358.826,-773.582,80.9281,364.414,-861.277,77.7442,362.597,-200.667,109.282,348.386,181.652,125.598,341.648,-995.084,96.5498,368.25,920.435,138.062,352.544
12498,0,-246.277,92.0496,360.333,-311.379,85.5147,356.833,-375.888,83.2728,357.05,,,,-487.925,76.9478,355.11,-554.658,84.5223,364.796,-622.494,82.3847,364.666,-698.086,73.6909,357.909,-772.064,81.0307,364.318,-859.659,77.8948,363.12,-200.718,109.247,348.381,181.651,125.596,341.648,-995.058,96.6101,368.243,920.458,137.986,352.572
12499,0,-245.121,92.8357,360.284,-309.576,84.7364,356.62,-374.263,83.8602,356.843,-438.363,83.8184,360.043,,,,-553.258,84.7536,364.927,-621.368,81.2926,364.956,-696.662,73.2713,357.63,-770.55,81.1312,364.195,-858.241,77.9953,363.293,-200.719,109.246,348.381,181.652,125.59,341.676,-995.058,96.6127,368.242,921.252,136.52,352.954
12500,0,-243.141,91.9737,360.401,-307.921,84.4503,356.062,-372.693,83.3515,356.717,,,,,,,-551.589,85.6373,364.658,,,,-695.287,72.5036,356.524,-769.011,81.1742,364.108,-856.947,78.4486,363.596,-200.718,109.247,348.381,181.651,125.591,341.66,-995.058,96.6103,368.243,921.248,136.491,352.965
12501,0,-241.872,92.7992,360.383,-306.52,84.8705,355.282,-370.858,83.1036,356.592,-435.036,84.8185,360.722,-483.205,77.1092,354.009,-550.039,84.92,364.765,,,,-693.85,71.7576,356.144,-767.472,81.4685,364.247,-855.573,78.9885,363.805,-200.713,109.254,348.361,181.64,125.555,341.661,-995.058,96.6265,368.228,921.252,136.505,352.954
12502,0,-240.467,92.9979,360.372,,,,-369.224,82.9055,356.66,-433.55,85.0105,360.773,-481.726,76.9904,353.649,-548.414,84.5359,364.873,,,,-692.391,71.3912,355.721,-765.99,81.611,364.798,-854.067,79.1361,363.981,-200.737,109.194,348.356,181.651,125.592,341.66,-995.049,96.5857,368.244,921.252,136.506,352.954
12503,0,-238.565,92.0957,360.379,-303.728,84.5471,354.937,-367.775,83.5546,356.715,-432.124,85.3587,360.993,-480.442,76.3692,353.438,-546.777,85.0788,365.367,-614.415,82.6973,364.958,-690.853,71.2427,355.413,-764.428,82.2127,364.874,-852.48,79.1127,364.102,-200.69,109.265,348.364,181.648,125.598,341.663,-995.049,96.5816,368.245,921.252,136.506,352.954
12504,0,-236.805,92.0267,360.285,-302.251,85.2227,354.657,-366.062,83.8904,356.932,-430.721,85.7878,361.42,,,,-545.032,86.6664,365.382,,,,-689.232,70.7897,354.781,-762.893,82.1472,364.796,-850.925,79.511,364.326,-200.688,109.223,348.362,181.64,125.555,341.661,-995.04,96.5928,368.229,921.252,136.506,352.954
12505,0,-236.13,92.7976,359.978,-300.804,86.0873,354.509,-364.479,83.2276,357.358,-429.267,86.1895,361.851,-477.642,76.3921,353.648,-543.389,86.8258,365.243,-610.712,81.5125,364.897,-687.736,71.3419,354.313,-761.251,82.4702,364.612,-849.416,80.123,364.396,-200.698,109.207,348.347,181.651,125.59,341.66,-995.036,96.5712,368.245,921.248,136.505,352.965
12506,0,-234.372,92.294,360.317,-299.585,85.0073,354.357,-363.002,84.1899,357.723,-427.79,86.9877,361.772,-476.137,76.1294,353.558,-541.733,86.148,365.251,,,,-686.112,71.2219,354.093,-759.63,82.3714,364.693,-847.85,80.8519,364.424,-200.698,109.207,348.347,181.649,125.594,341.68,-995.027,96.5437,368.247,921.248,136.505,352.965
12507,0,-232.795,91.8522,360.187,-298.366,84.2233,354.233,-361.491,84.3206,357.915,-426.205,86.4438,361.877,-474.493,76.0171,353.638,-540.156,86.1378,365.82,-607.289,81.4784,364.939,-684.485,71.1566,354.112,-758.062,83.6451,364.733,-846.216,81.186,364.499,-200.698,109.21,348.334,181.65,125.591,341.66,-995.058,96.6063,368.243,921.254,136.519,352.967
12508,0,-231.112,91.8126,360.214,-297.052,84.1761,354.189,-360.114,85.1306,358.047,-424.709,87.3862,362.245,-473.13,76.799,353.559,-538.522,87.1492,365.991,,,,-682.579,71.6928,354.142,-756.279,83.1218,365.241,-844.537,81.2562,364.636,-200.709,109.301,348.367,181.652,125.588,341.676,-995.036,96.5737,368.244,921.254,136.519,352.967
12509,0,-229.925,92.575,360.134,-295.503,84.1744,353.975,-358.199,85.9841,358.221,-423.079,87.873,362.486,-471.366,77.2687,353.738,-536.715,87.4839,365.86,-603.987,81.1228,364.46,-681.202,71.3273,353.997,-754.603,83.4386,365.321,-842.874,81.3471,364.801,-200.696,109.26,348.337,181.63,125.606,341.668,-995.036,96.5685,368.245,921.246,136.493,352.953
12510,0,-228.42,93.0504,360.057,-294.062,83.6953,353.882,-356.573,85.5153,358.207,-421.485,87.4882,362.489,-469.708,77.6251,354.398,-535.033,87.2047,365.867,-602.449,82.2215,363.926,-679.519,71.3396,354.062,-753.002,83.3787,365.31,-841.193,81.5401,364.868,-200.697,109.257,348.336,181.632,125.6,341.664,-995.027,96.5443,368.247,921.253,136.518,352.967
12511,0,-226.843,93.4832,360.055,-292.212,83.6343,353.628,-355.106,85.8538,358.195,-420.409,87.8456,362.433,-468.188,78.3342,354.765,-533.475,87.0603,365.896,-600.908,81.9282,363.884,-677.882,70.8516,354.173,-751.246,83.9175,365.202,-839.472,81.7618,364.825,-200.697,109.257,348.337,181.629,125.604,341.668,-995.049,96.5807,368.245,921.254,136.519,352.967
12512,0,-224.882,92.4904,360.02,-290.618,83.4549,353.524,-353.225,85.3447,358.422,-418.892,87.7188,362.361,-466.589,78.1381,354.99,-531.949,87.7435,366.302,-599.278,81.5959,363.86,-676.132,70.8878,354.052,-749.516,84.5294,365.442,-837.76,81.8545,364.743,-200.67,109.324,348.341,181.651,125.588,341.676,-995.058,96.6269,368.228,921.248,136.506,352.965
12513,0,-222.988,92.367,359.828,-288.991,83.6835,353.405,-351.651,85.5142,358.714,-416.992,87.2936,362.061,-464.858,78.3362,355.243,-530.251,88.4188,366.333,-597.574,81.6011,363.793,-674.513,70.8442,353.979,-747.771,84.7576,365.544,-836.096,81.9021,364.718,-200.709,109.353,348.353,181.65,125.595,341.68,-995.055,96.6373,368.245,921.254,136.518,352.967
12514,0,-221.909,92.9748,359.91,-287.49,83.4998,353.324,-349.848,86.3388,358.722,-415.311,86.7295,362.139,-463.52,79.2077,355.563,-528.476,88.3206,366.233,-595.867,82.188,363.352,-672.822,71.1374,353.823,-746.062,84.7193,365.733,-834.354,82.0053,364.708,-200.71,109.352,348.353,181.652,125.59,341.677,-995.051,96.6313,368.279,921.246,136.493,352.953
12515,0,-220.781,93.4768,359.87,-285.803,83.8331,353.26,-348.284,87.3811,358.849,-413.553,86.7273,361.564,-461.737,79.2667,355.679,-526.747,87.4624,366.13,-594.175,82.316,363.112,-671.179,71.6425,353.852,-744.36,84.6569,365.613,,,,-200.708,109.404,348.387,181.652,125.59,341.676,-995.077,96.5724,368.287,921.246,136.492,352.952
12516,0,-218.99,93.0452,359.813,-284.265,83.9593,353.216,-346.759,86.6779,358.985,-411.789,87.5494,361.467,-460.257,79.3847,355.975,-524.974,87.3956,365.931,-592.409,81.4313,363.39,-669.376,71.6585,353.707,-742.71,84.6393,365.47,,,,-200.699,109.459,348.413,181.652,125.59,341.676,-995.052,96.6418,368.265,921.252,136.506,352.954
12517,0,-217.128,92.8839,359.45,-282.506,83.6622,353.324,-345.233,87.7582,359.406,-410.392,86.8451,361.231,-458.894,80.0892,356.403,-523.368,86.9027,365.779,-590.852,80.8811,363.074,-667.755,72.2719,354.106,-741.021,84.6969,365.391,,,,-200.686,109.466,348.429,181.652,125.59,341.676,-995.051,96.6341,368.278,921.252,136.506,352.954
12518,0,-215.303,92.4937,359.473,-281.123,84.2427,353.266,-343.415,88.4107,359.682,-408.685,87.1767,360.815,-457.376,80.1062,356.777,-521.756,86.7931,365.543,-589.258,80.5067,362.592,-666.134,72.3221,354.436,-739.34,84.9097,365.541,,,,-200.69,109.44,348.417,181.652,125.59,341.676,-995.077,96.5887,368.272,921.253,136.521,352.967
12519,0,-212.921,91.1212,359.184,-279.592,84.0136,353.483,-341.709,88.1751,359.698,,,,-456.095,80.8677,357.175,-520.413,86.6727,365.102,-587.579,80.5567,362.172,-664.486,72.4933,354.648,-737.658,84.9486,365.619,,,,-200.611,109.494,348.367,181.652,125.59,341.676,-995.078,96.5691,368.286,921.252,136.517,352.962
12520,0,-211.627,92.2269,358.832,-277.694,84.3059,353.518,-340.117,88.4874,359.596,-405.272,84.4813,360.103,-454.452,81.2403,357.659,-519.363,85.92,365.233,-585.967,80.2581,361.986,-662.843,72.7965,354.8,-735.995,85.3209,365.731,,,,-200.561,109.511,348.349,181.65,125.583,341.676,-995.095,96.6014,368.286,921.248,136.505,352.965
12521,0,-210.23,91.6999,358.65,-276.034,84.7472,353.601,-338.495,88.8918,359.466,,,,-453.098,81.8661,358.159,-517.862,85.8264,365.229,-584.349,79.6666,361.896,-661.307,73.2721,355.171,-734.366,85.4684,365.905,,,,-200.654,109.423,348.258,181.652,125.588,341.676,-995.086,96.5982,368.284,921.248,136.505,352.965
12522,0,-208.436,91.6236,358.455,-274.529,84.7533,353.541,-336.855,88.4741,359.576,-402.037,83.1866,359.814,-451.583,82.1818,358.578,,,,-582.69,79.4684,361.769,-659.886,72.952,355.58,-732.841,84.9652,365.986,,,,-200.823,109.267,348.141,181.65,125.581,341.676,-995.069,96.6448,368.293,921.254,136.519,352.967
12523,0,-207.051,91.7872,358.015,-272.747,84.8225,353.684,-335.256,88.0611,359.659,-400.605,83.5124,359.309,-450.001,82.8056,359.149,-514.827,84.9713,364.944,-581.24,79.6282,361.9,-658.213,73.3526,355.787,-731.126,85.2566,366.081,-819.61,80.2267,364.008,-200.891,109.213,348.178,181.65,125.581,341.676,-995.051,96.633,368.279,921.252,136.506,352.955
12524,0,-205.455,92.212,357.83,-271.302,84.56,353.778,-333.779,88.9332,359.687,-399.321,84.1898,358.865,-448.535,83.3892,359.449,,,,-579.586,80.5112,361.662,-656.878,73.4894,356.246,-729.594,85.0839,366.151,-817.999,80.0326,363.874,-201.015,109.109,348.127,181.639,125.545,341.677,-995.051,96.6302,368.279,921.252,136.506,352.954
12525,0,-203.717,91.7065,357.248,-269.886,84.5577,353.606,-332.102,88.8431,359.522,-397.894,83.8377,358.715,-447.07,83.6003,360.022,-511.615,86.6006,363.534,-578.031,80.3025,361.799,-655.341,74.4096,356.82,-727.864,85.5155,366.087,-816.361,79.8934,363.712,-201.03,109.098,348.141,181.645,125.581,341.683,-995.051,96.6304,368.279,921.252,136.506,352.954
12526,0,-202.156,91.6112,357.157,-268.34,84.518,353.474,-330.532,88.1758,359.722,-396.223,83.5765,358.364,-445.573,84.5197,360.549,-510.365,84.5968,363.096,-576.443,79.8557,361.712,-653.855,74.1287,356.914,-726.331,85.477,365.994,-814.73,79.763,363.476,-201.003,109.127,348.159,181.651,125.583,341.688,-995.051,96.6306,368.279,921.252,136.506,352.954
12527,0,-200.655,91.0648,356.829,-267.012,85.2859,353.343,-329.145,88.8821,359.673,-394.629,82.7382,358.134,-444.235,84.7744,360.991,-508.48,82.2097,362.634,-574.889,79.4477,361.644,-652.404,74.8557,357.326,-725.5,84.2939,366.358,-813.025,79.7825,363.148,-201.037,109.104,348.161,181.652,125.588,341.676,-995.051,96.6306,368.279,921.252,136.506,352.954
12528,0,-198.83,90.8214,356.564,-265.397,85.271,353.549,-327.701,88.3486,359.677,-393.055,82.3994,358.052,-442.841,85.7556,361.604,-507.173,81.4521,362.203,-573.623,79.8046,361.572,-651.023,75.8008,357.916,,,,-811.698,79.1764,362.958,-201.084,109.078,348.163,181.645,125.583,341.683,-995.077,96.5727,368.286,921.233,136.493,352.962
12529,0,-197.606,91.7472,356.348,-263.792,84.8614,353.874,-326.03,88.0487,359.442,-391.625,82.8759,357.881,-441.494,85.3244,361.653,,,,-572.228,80.0092,361.617,-649.56,75.9339,358.101,,,,-810.325,78.3869,362.859,-201.18,108.963,348.15,181.651,125.593,341.66,-995.078,96.5839,368.273,921.233,136.492,352.961
12530,0,-195.881,91.4342,355.871,-262.39,85.5642,353.84,-324.607,87.6647,359.354,-390.038,82.8887,357.724,-439.996,86.1341,362.165,-505.156,81.7632,360.958,-570.838,79.6724,361.689,-648.229,75.879,358.812,,,,-808.835,77.9588,362.516,-200.999,109.172,348.334,181.65,125.583,341.676,-995.077,96.5875,368.272,921.252,136.516,352.962
12531,0,-194.543,91.6906,355.466,-260.976,85.3075,353.814,-323.12,88.5685,359.02,-388.376,82.7035,357.428,-438.399,86.3722,362.541,-504.045,81.7637,360.442,-569.159,79.5697,362.001,-647.095,76.4023,359.099,-720.172,82.8511,365.432,-807.361,77.8728,362.052,-201.138,109.013,348.418,181.649,125.586,341.659,-995.068,96.5611,368.274,921.252,136.517,352.962
12532,0,,,,-259.39,85.9513,353.798,-321.573,88.2417,358.648,-386.942,81.8717,357.283,-437.158,87.1265,362.557,-502.839,81.6325,360.115,-568.074,79.9168,361.94,-645.879,76.7501,359.336,,,,-805.999,78.3961,361.851,-201.02,109.162,348.451,181.652,125.59,341.676,-995.075,96.5713,368.21,921.256,136.531,352.98
12533,0,-191.256,92.7031,354.516,-258.06,85.6497,353.684,-320.504,86.784,358.273,-385.626,82.4774,357.081,-435.491,87.5613,363.135,-501.771,79.8452,359.869,-566.666,79.932,361.892,-644.543,77.4834,359.75,-717.599,84.7772,364.603,-804.589,77.9524,361.766,-201.194,108.948,348.394,181.656,125.587,341.663,-995.063,96.5473,368.255,921.251,136.526,352.975
12534,0,-190.515,92.8485,354.388,-256.624,86.0199,353.646,-320.036,86.7963,358.667,-384.424,82.0307,357.061,-434.401,87.7612,363.475,-500.77,79.7813,359.735,-565.515,80.2623,362.08,-643.605,77.8575,360.172,,,,-803.486,77.6995,361.797,-201.361,108.692,348.272,181.65,125.583,341.676,-995.062,96.5095,368.253,921.256,136.532,352.98
12535,0,-189.294,92.8729,354.041,-255.526,85.9131,353.728,,,,-383.046,81.3594,356.938,-433.142,87.8867,363.504,-499.651,80.0394,359.029,-564.077,80.9213,362.176,-642.321,78.2257,360.483,,,,-802.098,77.6072,361.651,-201.461,108.587,348.283,181.651,125.577,341.661,-995.055,96.4958,368.24,921.25,136.519,352.978
12536,0,-188.007,93.7637,353.966,-254.191,86.5965,354.05,,,,-381.776,82.162,357.049,-432.101,88.5511,363.48,-498.339,79.4655,358.565,-562.958,80.8537,362.708,-641.214,78.6645,361.236,-713.156,79.3006,363.603,-800.578,77.5581,361.503,-201.204,108.874,348.322,181.649,125.582,341.665,-995.064,96.5233,368.269,921.246,136.503,352.96
12537,0,-187.042,94.0376,353.77,-253.154,86.1719,354.201,-316.424,85.9946,357.639,-380.566,81.6573,357.278,-430.5,88.3889,363.781,-497.457,78.2579,358.141,-561.865,81.1361,362.64,-639.845,79.2043,361.3,-712.644,79.5987,363.469,-799.567,77.5441,361.263,-201.258,108.772,348.296,181.628,125.599,341.667,-995.055,96.4989,368.24,921.252,136.516,352.962
12538,0,-185.968,94.1167,353.782,-252.179,86.3587,354.348,,,,-379.607,81.8639,357.257,-429.441,88.8679,364.086,-496.395,77.8768,358.025,-560.702,81.2765,362.667,-639.062,79.3188,361.644,,,,-798.442,77.4453,361.38,-200.964,109.098,348.33,181.64,125.589,341.67,-995.063,96.5212,368.238,921.248,136.506,352.965
12539,0,-185.426,93.9734,353.352,-251.261,86.5487,354.361,,,,-378.53,81.6772,357.301,-428.46,89.1878,364,-495.352,77.1789,357.882,-559.68,81.453,362.692,-637.784,79.8249,361.962,-711.004,79.2703,361.954,-797.054,77.5076,361.251,-201.109,108.907,348.292,181.624,125.594,341.646,-995.088,96.4527,368.26,921.246,136.493,352.953
12540,0,-184.315,94.7415,353.321,-250.276,86.6344,354.392,-313.733,85.4126,358.092,-377.559,81.8829,357.462,-427.576,89.3097,364.116,-494.607,77.2136,357.019,-558.703,81.9006,362.663,-636.74,80.4074,362.37,-710.137,79.1872,361.551,-795.999,77.0808,361.228,-200.956,109.034,348.305,181.632,125.598,341.664,-995.112,96.4982,368.244,921.254,136.518,352.967
12541,0,-182.836,93.5691,353.322,-249.379,87.3645,354.415,-311.718,84.7551,357.433,-376.466,82.1651,357.083,-426.589,89.116,364.146,-493.591,76.7568,356.926,-557.676,81.798,362.751,-635.752,80.1174,362.413,-709.659,79.2662,361.516,-795.11,77.22,361.128,-200.93,109.083,348.205,181.632,125.6,341.664,-995.109,96.5005,368.275,921.254,136.519,352.967
