Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1404,0,-212.065,49.0205,148.9,-276.708,45.5623,146.133,-339.597,29.9424,139.111,,,,-448.745,43.1777,156.628,-513.157,32.7857,153.287,-581.147,18.6436,143.504,-656.445,32.8538,157.987,-735.983,21.2653,151.956,,,,-193.631,62.3511,136.068,324.681,82.6194,117.296,,,,1064.64,108.127,129.098
1405,0,-210.1,49.0927,148.793,-274.937,46.1553,146.235,-337.506,30.3274,140.175,,,,-446.942,43.1853,156.596,-511.81,33.4445,153.878,-579.348,18.2223,143.229,,,,-734.207,22.2625,152.507,,,,-193.631,62.3511,136.068,324.642,82.6654,117.347,,,,1064.64,108.127,129.098
1406,0,-208.181,48.8462,148.621,-273.124,47.0432,146.258,-335.979,30.7956,140.496,-395.897,31.8818,146.735,-444.549,43.7668,156.572,-509.782,34.3845,154.305,-577.437,17.8334,142.487,,,,-732.618,23.0398,153.004,-813.168,20.8475,153.922,-193.631,62.3511,136.068,324.647,82.6555,117.335,,,,1064.64,108.127,129.099
1407,0,-206.128,48.4291,148.249,-271.155,46.7838,146.286,-334.111,31.3257,141.302,-394.422,31.284,145.764,-443.216,43.2587,156.701,-507.857,34.8606,154.472,-575.534,17.4838,141.903,,,,-730.507,24.5152,153.664,-811.259,21.6853,153.042,-193.631,62.3511,136.068,324.619,82.6666,117.35,,,,1064.65,108.138,129.106
1408,0,-204.068,48.2451,148.307,-269.19,46.6062,146.252,-332.368,31.8174,141.518,-392.993,29.9937,145.129,-441.261,43.6479,156.912,,,,-573.648,17.2991,141.346,,,,-728.858,24.4312,153.895,-810.103,20.2765,152.256,-193.629,62.3635,136.091,324.655,82.6568,117.332,,,,1064.64,108.128,129.099
1409,0,-201.992,47.9505,147.882,-267.256,46.5128,145.983,-330.583,32.9066,142.321,-391.658,29.2206,144.087,-439.484,43.888,157.059,-504.146,35.4612,154.717,-571.634,17.2386,140.891,,,,-726.6,25.1882,154.4,-808.793,19.0181,151.939,-193.625,62.4287,136.089,324.658,82.6394,117.322,,,,1064.66,108.17,129.112
1410,0,-200.041,47.6835,147.508,-265.416,47.3135,146.073,-328.491,33.0447,142.847,-390.016,28.2528,143.056,-437.552,44.0251,156.904,-502.37,36.4142,154.475,-569.747,16.8314,140.52,,,,-725.109,25.5496,154.748,-807.3,18.4387,151.182,-193.63,62.3703,136.091,324.633,82.6799,117.329,,,,1064.64,108.132,129.1
1411,0,-198.259,47.4103,147.016,-263.52,47.6994,146.056,-327.009,33.7148,143.462,-388.588,27.9329,142.416,-435.585,44.0762,156.719,-500.621,38.1492,154.675,-567.862,16.6043,140.183,-642.179,32.8573,158.505,-723.234,26.6521,155.249,-805.762,17.554,150.412,-193.631,62.3491,136.068,324.641,82.6669,117.348,,,,1064.64,108.125,129.097
