Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13613,0,-399.06,-161.041,266.75,-497.937,-149.004,266.638,-583.579,-184.155,267.556,-674.914,-178.43,278.467,-775.492,-154.133,265.91,,,,,,,,,,,,,,,,-209.576,-135.786,246.871,,,,-882.667,-186.131,267.219,661.075,-64.7404,262.86
13614,0,-394.56,-162.58,266.637,-493.693,-146.932,266.686,-579.432,-183.388,267.768,-670.004,-179.808,278.357,-771.331,-153.787,266.486,,,,,,,,,,,,,,,,-209.527,-135.929,246.857,,,,-882.667,-186.13,267.219,661.075,-64.7409,262.86
13615,0,-390.326,-161.28,266.577,-489.343,-145.477,266.788,-575.022,-182.606,267.943,-665.302,-180.943,278.724,-766.542,-154.891,266.862,,,,,,,,,,,,,,,,-209.494,-136.129,246.875,,,,-882.637,-186.194,267.209,661.062,-64.7307,262.853
13616,0,-385.763,-161.433,266.364,-484.897,-144.061,267.191,-570.75,-181.528,267.637,-660.335,-181.697,278.742,-762.039,-155.842,267.392,,,,,,,,,,,,,,,,-209.48,-136.323,246.848,,,,-882.632,-186.204,267.199,661.062,-64.7305,262.853
13617,0,-380.911,-161.352,266.267,-479.897,-144,267.253,-566.611,-180.047,267.936,,,,-757.577,-156.176,268.319,,,,,,,,,,,,,,,,-209.436,-136.491,246.819,,,,-882.599,-186.268,267.217,661.059,-64.7037,262.854
13618,0,-376.363,-161.7,266.298,-475.262,-143.28,267.575,-562.324,-178.039,267.924,,,,-753.304,-157,269.21,,,,,,,,,,,,,,,,-209.415,-136.592,246.802,,,,-882.601,-186.271,267.188,661.051,-64.7111,262.853
13619,0,-371.459,-161.429,266.182,-469.987,-144.628,267.723,,,,,,,-748.918,-158.003,269.871,,,,,,,,,,,,,,,,-209.398,-136.702,246.792,,,,-882.568,-186.335,267.205,661.052,-64.7165,262.844
13620,0,-366.506,-161.709,266.01,-464.609,-144.85,267.229,,,,,,,-744.367,-159.568,270.528,,,,,,,,,,,,,,,,-209.367,-136.836,246.776,,,,-882.553,-186.44,267.192,661.042,-64.7386,262.843
