Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.809,58.5621,293.283
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.808,58.5614,293.304
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.826,58.5758,293.285
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.805,58.5727,293.31
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.813,58.5728,293.303
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.816,58.578,293.291
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.813,58.5727,293.303
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.816,58.5794,293.284
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.82,58.5584,293.284
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.815,58.5794,293.284
