Trajectories
150
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
14140,0,-157.676,-147.611,142.311,-225.373,-164.427,151.752,-308.309,-177.648,163.555,-379.973,-212.998,154.144,-457.238,-182.224,168.1,,,,-617.436,-216.539,160.042,,,,,,,-768.486,-156.743,157.729,-127.591,-181.881,143.301,134.052,-184.814,148.199,-803.387,-182.998,166.044,307.258,-188.437,158.86
14141,0,-151.57,-147.937,140.923,,,,-302.494,-177.132,163.969,-374.545,-210.396,155.301,-452.703,-185.296,166.923,,,,-612.677,-216.447,159.342,,,,,,,-764.445,-154.561,156.796,-127.572,-181.921,143.287,134.041,-184.82,148.207,-803.845,-183.715,165.85,307.257,-188.439,158.861
14142,0,-146.067,-148.733,139.305,,,,-295.88,-176.831,164.089,-370.261,-208.708,156.477,-448.141,-187.779,165.879,,,,-607.691,-217.078,158.748,,,,,,,-760.118,-152.505,156.103,-127.577,-181.928,143.286,134.041,-184.82,148.207,-803.259,-183.27,165.984,307.251,-188.445,158.853
14143,0,-140.484,-149.589,138.246,,,,-290.185,-175.476,164.107,-365.16,-205.787,157.795,-443.682,-191.095,164.512,,,,-602.554,-217.682,158.497,,,,,,,,,,-127.595,-181.911,143.257,134.064,-184.828,148.198,-803.002,-182.842,165.736,307.26,-188.433,158.851
14144,0,-134.205,-149.863,137.376,,,,-283.838,-175.016,163.734,-359.821,-203.141,159.028,-439.065,-193.312,163.505,,,,-597.959,-216.72,158.438,,,,,,,,,,-127.627,-181.908,143.318,134.052,-184.814,148.199,-802.794,-182.702,165.607,307.257,-188.438,158.852
14145,0,-128.758,-150.753,136.768,-199.663,-152.621,144.272,-277.586,-174.323,163.445,-354.583,-200.448,160.287,,,,,,,-592.268,-216.302,159.102,,,,,,,,,,-127.622,-181.844,143.222,134.052,-184.817,148.192,-803.08,-183.58,165.52,307.265,-188.428,158.836
14146,0,-122.906,-151.603,136.423,-194.071,-151.253,142.107,-271.871,-173.755,163.014,-349.579,-198.011,160.97,-430.775,-202.901,162.386,,,,-587.092,-215.866,160.332,-637.107,-199.835,166.386,,,,,,,-127.776,-181.907,143.212,134.052,-184.812,148.199,-803.046,-183.981,165.447,307.257,-188.437,158.852
14147,0,-117.486,-152.352,135.74,-188.549,-150.514,140.214,-265.87,-172.706,161.985,-344.125,-195.558,162.005,-424.88,-201.809,160.389,,,,-582.196,-215.153,161.287,-632.861,-201.956,165.623,,,,,,,-127.618,-181.725,143.291,134.064,-184.828,148.198,-803.014,-183.869,165.369,307.253,-188.442,158.853
14148,0,-111.294,-152.735,134.989,,,,-260.032,-171.989,160.966,-339.059,-192.884,162.688,-420.23,-204.282,159.534,,,,-577.312,-213.659,162.558,-628.64,-204.462,164.91,,,,-734.109,-148.536,154.995,-127.654,-181.646,143.305,134.065,-184.829,148.198,-802.981,-183.789,165.354,307.254,-188.441,158.853
14149,0,-105.766,-154.139,134.203,,,,-254.322,-170.691,159.828,-333.787,-190.518,163.69,-415.255,-206.569,159.042,-496.863,-169.866,170.406,-572.226,-210.104,163.424,-624.137,-206.422,164.813,,,,-729.883,-149.481,155.562,-127.671,-181.555,143.308,134.054,-184.835,148.206,-802.947,-183.713,165.344,307.255,-188.439,158.852
14150,0,-100.178,-155.491,133.147,,,,-249.069,-169.513,158.805,-328.334,-188.655,164.304,-409.819,-207.565,158.926,-491.96,-170.005,169.298,-567.394,-208.04,163.989,-619.64,-208.679,164.575,,,,-725.315,-150.863,156.113,-127.685,-181.465,143.323,134.052,-184.814,148.199,-802.93,-183.551,165.385,307.263,-188.431,158.835
14151,0,-94.6507,-157.109,132.142,,,,-243.449,-167.587,157.244,-322.738,-187.292,165.514,-404.847,-208.851,158.701,-486.533,-170.247,168.599,-562.673,-205.708,164.777,-614.714,-210.279,163.911,,,,,,,-127.679,-181.368,143.329,134.051,-184.813,148.199,-802.839,-183.341,165.626,307.257,-188.437,158.852
14152,0,-89.3947,-159.345,131.15,,,,-238.244,-165.828,155.717,-316.939,-186.472,166.659,-399.98,-209.591,158.5,-481.386,-171.12,167.692,-558.703,-203.016,165.541,,,,,,,-717.078,-155.389,157.717,-127.703,-181.289,143.329,134.052,-184.814,148.199,-802.74,-183.19,165.763,307.254,-188.44,158.852
14153,0,-84.4104,-161.727,130.427,-155.365,-148.866,133.753,-232.947,-163.974,154.201,-310.512,-185.874,167.396,-394.554,-209.119,158.92,-477.011,-172.673,167.256,-553.966,-199.211,165.884,,,,,,,,,,-127.708,-181.23,143.312,134.052,-184.814,148.199,-803.593,-182.855,165.78,307.258,-188.435,158.852
14154,0,-80.0093,-165.036,129.703,-149.905,-148.846,132.671,-227.984,-161.996,152.686,-303.782,-185.851,167.802,-388.845,-208.034,159.12,-471.781,-174.144,167.098,-550.04,-196.311,166.268,,,,,,,-709.457,-160.53,161.204,-127.687,-181.129,143.326,134.052,-184.814,148.199,-803.65,-182.875,165.774,307.257,-188.438,158.852
14155,0,-75.1274,-168.245,129.007,-144.686,-149.194,131.149,-222.735,-159.967,150.815,-297.417,-185.19,167.674,-383.65,-207.059,159.328,-466.562,-175.943,166.922,-546.237,-194.016,167.188,,,,-654.099,-189.704,167.679,,,,-127.677,-181.07,143.332,134.052,-184.814,148.199,-802.7,-182.966,165.717,307.262,-188.432,158.836
14156,0,-70.7796,-172.295,128.686,-139.17,-149.545,129.888,-217.949,-157.827,148.782,-292.314,-185.07,166.893,-378.17,-205.47,159.741,-462.137,-178.384,166.983,-541.937,-191.748,168.174,,,,,,,,,,-127.671,-181.016,143.321,134.064,-184.828,148.198,-803.604,-182.857,165.77,307.252,-188.444,158.853
14157,0,-67.0668,-176.91,127.937,-134.219,-150.523,128.407,-212.796,-155.267,147.165,-286.717,-183.937,165.722,-373.276,-205.128,160.156,-458.049,-181.603,166.719,-537.737,-188.801,168.567,,,,,,,,,,-127.685,-180.966,143.323,134.052,-184.814,148.199,-802.732,-182.946,165.83,307.27,-188.456,158.836
14158,0,-63.6789,-181.493,127.079,-129.081,-151.693,127.427,-208.024,-152.816,145.038,-281.424,-182.315,164.496,-367.768,-204.335,160.438,-453.12,-184.22,166.525,-533.564,-186.133,168.399,,,,,,,,,,-127.644,-180.887,143.307,134.051,-184.813,148.199,-802.746,-183.018,165.69,307.262,-188.464,158.853
14159,0,-60.4391,-185.991,126.228,-124.541,-153.916,126.3,-203.358,-150.62,143.179,-276.381,-180.417,163.767,-362.612,-203.731,160.821,-447.662,-186.443,166.2,-529.228,-184.688,169.369,,,,,,,,,,-127.657,-180.831,143.306,134.052,-184.814,148.199,-802.736,-183.058,165.628,307.264,-188.462,158.852
14160,0,-57.3657,-190.48,125.408,-120.574,-157.023,125.473,-198.668,-148.571,141.598,-271.359,-178.611,163.18,-357.379,-202.925,160.903,-442.651,-189.017,165.247,-524.091,-183.095,170.279,,,,-634.309,-199.788,164.455,-687.35,-175.001,166.222,-127.636,-180.784,143.288,134.064,-184.828,148.198,-802.721,-183.121,165.673,307.262,-188.464,158.861
14161,0,-54.3162,-194.861,124.55,-116.808,-160.513,124.332,-194.261,-146.559,140.401,-266.54,-176.822,162.697,-352.452,-202.261,161.236,,,,-519.625,-182.59,170.222,,,,-629.886,-200.916,163.66,-682.898,-175.583,166.587,-127.6,-180.712,143.294,134.052,-184.814,148.199,-802.926,-184.659,163.424,307.258,-188.437,158.87
14162,0,-51.372,-198.919,123.672,-113.923,-164.961,123.105,-190.312,-145.275,138.944,-261.881,-175.501,162.062,-347.878,-201.522,161.613,,,,-514.9,-181.909,170.663,,,,-625.884,-202.067,163.313,-678.931,-177.157,167.005,-127.624,-180.735,143.298,134.051,-184.813,148.199,-803.094,-183.55,165.118,307.264,-188.462,158.852
14163,0,-48.8006,-203.03,122.346,-111.416,-169.833,122.063,-185.36,-143.878,138.188,-257.312,-174.264,161.401,-343.007,-200.806,162.476,,,,-510.153,-181.822,170.276,,,,-621.72,-203.583,162.548,-674.651,-179.033,166.758,-127.622,-180.69,143.266,134.052,-184.814,148.199,-802.929,-183.341,165.104,307.258,-188.438,158.861
14164,0,-46.5165,-206.743,121.598,-109.342,-174.799,120.953,-180.945,-143.349,137.049,-252.847,-173.267,160.592,-338.444,-200.543,163.48,-424.255,-199.966,161.993,-505.791,-182.151,169.829,,,,-617.227,-205.355,161.911,-670.19,-180.949,166.835,-127.578,-180.655,143.229,134.052,-184.814,148.199,-802.69,-183.359,165.175,307.269,-188.435,158.852
14165,0,-44.4055,-210.327,120.688,-107.267,-178.929,119.874,-176.434,-143.275,136.067,-248.624,-172.051,159.837,-333.748,-199.483,163.736,-420.403,-202.175,161.261,-501.63,-182.681,169.631,,,,-613.041,-206.819,160.862,-665.651,-182.84,166.8,-127.582,-180.619,143.229,134.064,-184.828,148.198,-802.8,-183.134,165.322,307.257,-188.438,158.851
14166,0,-42.3892,-213.731,119.371,-105.315,-182.884,118.229,-172.141,-143.409,134.813,-244.421,-170.655,158.982,-329.8,-198.115,164.319,-416.559,-204.391,160.636,-497.491,-183.664,169.363,-548.182,-196.211,165.522,-608.668,-208.154,159.497,-661.502,-185.407,166.522,-127.577,-180.654,143.23,134.052,-184.814,148.199,-802.775,-183.617,164.828,307.263,-188.465,158.86
14167,0,-39.662,-216.515,118.529,-103.497,-186.71,116.635,-167.484,-142.928,134.147,-240.496,-169.334,158.06,,,,-412.934,-205.992,159.947,-493.435,-184.411,169.173,-544.249,-195.005,165.646,-604.242,-209.573,158.229,-657.523,-187.746,166.568,-127.555,-180.651,143.212,134.048,-184.814,148.211,-802.836,-183.792,164.658,307.261,-188.468,158.86
14168,0,-37.6905,-219.772,117.088,-101.635,-190.319,115.202,-163.767,-143.491,132.839,-236.274,-167.38,157.129,-321.36,-196.191,164.862,-408.595,-206.588,159.586,-489.442,-184.554,169.362,-541.067,-194.755,165.874,-600.332,-210.714,157.073,-653.218,-189.736,165.801,-127.527,-180.633,143.213,134.064,-184.828,148.198,-802.86,-183.845,164.638,307.277,-188.458,158.852
14169,0,-35.261,-222.283,116.133,-99.8867,-193.873,113.71,-159.848,-144.054,131.699,-232.378,-165.416,156.307,-317.846,-195.044,164.519,-404.966,-207.513,159.254,-485.858,-185.398,169.657,-538.065,-193.672,165.674,-596.178,-211.443,155.91,,,,-127.532,-180.672,143.222,134.052,-184.814,148.199,-802.842,-183.871,164.617,307.261,-188.466,158.852
14170,0,-33.5651,-225.035,114.727,-98.0525,-196.861,112.194,-155.888,-144.68,130.537,-229.685,-164.641,155.57,-313.933,-193.25,164.759,-401.514,-208.132,158.941,-482.291,-186.193,169.644,-534.511,-193.16,166.025,-592.561,-211.487,155.372,,,,-127.521,-180.725,143.22,134.051,-184.813,148.199,-802.845,-183.949,164.603,307.287,-188.423,158.854
14171,0,-31.4894,-227.139,113.242,-96.4586,-200.11,110.56,-152.717,-145.654,129.426,-226.507,-163.157,154.685,-310.718,-191.935,164.712,-398.069,-208.325,158.666,-478.994,-186.887,169.534,-531.282,-192.24,166.758,,,,,,,-127.527,-180.778,143.217,134.064,-184.828,148.198,-802.853,-183.974,164.566,307.277,-188.457,158.854
14172,0,-28.9814,-228.472,111.81,-95.0126,-203.01,108.778,-148.808,-146.11,128.317,-223.072,-161.896,153.65,-307.081,-190.429,164.735,-394.759,-208.379,158.572,-475.704,-187.757,169.258,-527.72,-191.317,167.528,,,,,,,-127.528,-180.867,143.213,134.065,-184.829,148.198,-802.844,-184.094,164.58,307.281,-188.453,158.853
14173,0,-26.7609,-230.273,110.713,-93.3676,-205.612,107.205,-145.333,-146.865,127.068,-219.917,-160.328,152.698,-303.452,-188.771,164.112,-391.485,-208.327,158.437,-472.715,-188.48,169.162,-524.724,-189.568,168.203,,,,,,,-127.496,-180.897,143.215,134.052,-184.814,148.199,-802.868,-184.095,164.583,307.262,-188.466,158.851
14174,0,-25.3136,-231.825,109.253,-92.1341,-208.154,105.717,-142.503,-147.85,125.829,-216.981,-159.098,151.68,-300.306,-187.876,163.771,-388.305,-208.056,158.312,-469.909,-188.925,168.753,-522.017,-188.96,168.432,,,,-633.932,-201.553,160.773,-127.501,-180.947,143.213,134.051,-184.813,148.199,-802.844,-184.101,164.581,307.261,-188.466,158.85
14175,0,-23.659,-233.556,107.72,-91.2979,-210.749,103.833,-139.72,-148.684,124.423,-214.528,-157.944,150.79,-297.259,-187.019,163.718,-385.242,-207.84,158.471,-467.13,-189.324,168.507,-518.898,-187.352,168.828,,,,-631.325,-202.215,159.997,-127.535,-181.022,143.197,134.079,-184.838,148.188,-802.84,-184.087,164.602,307.261,-188.467,158.851
14176,0,-22.3856,-234.767,106.232,-90.0898,-212.528,102.269,-137.356,-149.824,122.995,-211.816,-156.52,149.895,-294.552,-186.115,163.97,-382.579,-207.906,158.54,-464.189,-189.128,167.427,-516.599,-186.778,168.689,,,,-629.26,-203.234,159.513,-127.548,-181.084,143.227,134.076,-184.833,148.177,-802.864,-184.175,164.603,307.259,-188.435,158.851
14177,0,-21.133,-235.97,104.794,-89.5998,-214.565,100.759,-135.434,-150.725,121.54,-209.632,-155.779,149.253,-292.317,-185.735,164.176,-379.521,-207.428,158.682,-461.878,-190.112,166.969,-514.051,-186.324,168.412,,,,-627.03,-203.726,158.884,-127.547,-181.13,143.238,134.062,-184.826,148.179,-802.86,-184.238,164.61,307.256,-188.439,158.851
14178,0,-20.1266,-237.13,103.452,-88.7035,-215.922,98.9007,-133.659,-151.633,119.832,-207.41,-154.555,148.298,-289.91,-185.354,163.887,-377.467,-207.374,158.758,-459.575,-190.41,166.652,-511.543,-185.096,168.17,,,,-624.854,-204.169,158.476,-127.534,-181.179,143.237,134.061,-184.829,148.21,-802.909,-184.301,164.585,307.257,-188.44,158.859
