Trajectories
150
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
18119,0,-359.393,197.993,708.888,-431.766,192.848,705.433,-507.405,202.762,708.222,-574.81,162.02,705.676,,,,-723.298,159.76,711.742,-788.367,141.679,705.312,-868.235,150.506,714.455,,,,-993.234,144.185,710.472,-336.645,206.357,690.906,298.584,267.937,684.237,,,,,,
18120,0,-357.434,197.999,708.611,-429.808,192.473,705.389,-505.724,203.083,708.298,-573.197,162.382,706.058,,,,-721.307,160.23,711.367,-786.845,142.132,705.706,-866.264,150.404,714.752,,,,-991.487,143.653,710.071,-336.644,206.356,690.916,298.603,267.961,684.242,,,,,,
18121,0,-355.827,198.651,708.538,-427.734,191.039,704.651,-503.909,203.178,708.606,-571.42,162.751,706.229,,,,-719.233,161.006,711.643,-785.04,142.847,706.248,-864.438,150.263,714.603,,,,-989.752,143.494,709.917,-336.642,206.357,690.915,298.604,267.963,684.242,,,,,,
18122,0,-354,198.962,708.423,-426.883,191.469,704.758,-502.228,203.207,708.569,-569.959,163.735,706.328,,,,-717.406,161.165,712.276,-783.405,143.352,706.439,-862.495,149.693,714.305,,,,-987.729,142.46,709.873,-336.644,206.355,690.916,298.629,267.977,684.231,,,,,,
18123,0,-352.074,199.11,708.107,-424.805,191.343,705.193,-500.235,202.816,708.528,-568.279,164.189,706.721,,,,-715.386,161.46,712.315,-781.464,144.11,706.903,-860.417,149.144,714.275,,,,-985.953,141.325,709.779,-336.644,206.353,690.915,298.589,267.946,684.227,,,,,,
18124,0,-350.221,198.995,707.785,-422.594,190.685,704.982,-498.274,203.398,708.531,-566.58,164.953,707.109,,,,-713.615,162.532,712.005,-779.82,144.089,707.002,-858.565,148.64,714.122,,,,-984.242,140.917,709.661,-336.644,206.353,690.915,298.604,267.94,684.24,,,,,,
18125,0,-348.281,199.035,707.428,-420.782,190.8,704.881,-496.411,203.192,708.423,-565.014,165.866,707.212,,,,-712.068,162.698,711.992,-777.792,144.463,707.769,-856.874,148.528,713.912,,,,-982.218,140.437,709.531,-336.646,206.352,690.917,298.564,267.909,684.234,,,,,,
18126,0,-346.262,199.099,707.522,-418.926,190.452,704.857,-494.73,203.029,708.535,-563.26,166.694,707.346,,,,-710.315,162.914,712.173,-776.228,144.889,707.947,,,,,,,-980.126,139.657,709.398,-336.663,206.342,690.914,298.588,267.943,684.227,,,,,,
18127,0,-344.451,199.756,707.669,-416.741,189.596,704.828,-492.846,202.968,708.494,-561.653,167.809,707.814,,,,-708.497,163.196,712.523,-774.488,145.865,708.581,-853.342,146.636,713.157,,,,-978.311,139.567,709.218,-336.645,206.348,690.927,298.565,267.904,684.236,,,,,,
18128,0,-342.63,199.952,707.634,-414.753,188.993,704.676,-490.962,202.914,708.434,-560.054,168.341,707.865,,,,-706.644,163.589,712.858,-773.007,146.64,708.918,-851.158,146.295,712.025,,,,-976.502,139.597,709.026,-336.674,206.384,690.983,298.608,267.948,684.228,,,,,,
18129,0,-340.551,200.019,707.14,-412.788,188.989,704.523,-489.1,202.78,708.392,-558.769,169.689,708.069,,,,-704.736,163.891,712.606,-771.084,147.605,708.847,-849.631,145.61,711.706,,,,-974.529,139.129,708.882,-336.698,206.366,690.982,298.605,267.942,684.24,,,,,,
18130,0,-338.687,200.014,706.93,-411.16,189.315,704.428,-487.133,202.416,708.304,-557.151,170.577,708.214,,,,-702.867,164.126,712.456,-769.214,147.514,709.545,-848.17,145.057,711.585,,,,-972.554,138.456,708.775,-336.692,206.377,690.983,298.563,267.905,684.208,,,,,,
18131,0,-337.041,200.165,706.352,-409.233,189.17,704.36,-485.058,201.911,708.247,-555.479,171.929,708.38,,,,-701.137,164.085,712.278,-767.518,147.875,709.757,-846.667,144.337,711.102,,,,-970.793,138.188,708.627,-336.694,206.362,690.959,298.588,267.944,684.226,,,,,,
18132,0,-335.571,200.611,706.058,-407.451,189.055,704.251,-483.362,201.087,708.236,-554.362,172.923,708.703,,,,-699.241,164.859,712.964,-765.717,148.707,709.815,,,,,,,,,,-336.695,206.366,690.986,298.609,267.951,684.227,,,,,,
18133,0,-333.735,200.78,705.443,-405.751,188.933,704.262,-481.547,201.245,708.394,-552.824,173.65,708.815,,,,-697.704,165.622,713.134,-764.136,149.428,710.094,-843.627,143.665,709.74,,,,,,,-336.69,206.378,690.982,298.622,268.006,684.238,,,,,,
18134,0,-331.709,201.77,705.464,-404.015,188.776,704.282,-479.691,200.877,708.177,-551.725,174.917,708.795,,,,-696.061,165.52,713.06,-762.527,149.638,710.56,-841.927,141.766,709.303,,,,,,,-336.676,206.384,690.985,298.643,267.993,684.257,,,,,,
18135,0,-330.086,202.017,705.353,-402.216,188.546,704.13,-478.163,200.543,708.385,-550.176,176.01,708.897,,,,-694.202,165.702,712.987,-760.723,150.233,710.662,-840.344,140.785,708.804,,,,,,,-336.692,206.381,690.973,298.602,267.981,684.234,,,,,,
18136,0,-328.484,202.528,705.108,-401.067,189.403,704.086,-476.542,200.418,708.562,-548.982,177.185,709.25,,,,-692.389,165.815,712.824,-759.001,150.189,710.873,-838.777,140.158,708.003,,,,,,,-336.69,206.378,690.982,298.591,267.951,684.236,,,,,,
18137,0,-327.195,203.146,704.974,-399.3,189.343,703.751,-474.912,200.316,708.435,-547.55,178.581,709.335,,,,-690.702,165.534,712.747,-757.653,150.875,711.097,-837.358,139.848,707.577,,,,-960.375,138.559,708.168,-336.659,206.469,690.945,298.578,267.918,684.223,,,,,,
18138,0,-325.65,203.276,704.395,-397.601,189.378,703.691,-473.42,199.943,708.347,-546.134,178.818,709.269,,,,-688.271,164.832,713.071,-756.012,151.107,711.298,-835.954,138.587,706.895,,,,-958.918,139.337,708.029,-336.674,206.431,690.934,298.584,267.935,684.237,,,,,,
18139,0,-324.159,203.49,703.99,-395.958,189.459,703.854,-471.719,199.463,708.323,-544.951,180.122,709.513,,,,-687.246,166.142,712.95,-754.411,151.719,711.761,-834.263,137.614,706.439,,,,,,,-336.689,206.427,690.933,298.587,267.937,684.247,,,,,,
