Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:Origin_End,,,Branch:Target_End,,,Branch:Origin_Other,,,Branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.146,156.65,648.782,309.541,121.876,641.93,-1023.23,194.964,674.589,706.609,106.147,649.459
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.137,156.644,648.774,309.544,121.88,641.958,-1023.11,194.965,674.605,706.591,106.148,649.467
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.137,156.644,648.774,309.544,121.879,641.94,-1023.06,195.022,674.61,706.626,106.021,649.495
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.117,156.646,648.762,309.548,121.879,641.922,-1022.97,195.012,674.752,706.595,106.117,649.472
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.129,156.59,648.786,309.54,121.88,641.945,-999.909,180.165,679.393,706.624,106.027,649.49
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.128,156.553,648.76,309.559,121.881,641.955,-999.85,180.042,679.393,706.625,106.022,649.482
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.136,156.543,648.742,309.559,121.881,641.955,-999.77,180.014,679.408,706.625,106.009,649.494
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.136,156.501,648.754,309.546,121.881,641.953,-999.677,180.054,679.397,706.593,106.132,649.461
