Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16658,0,-244.325,157.948,373.839,-298.791,147.607,358.898,-291.273,110.325,340.121,-238.514,87.1117,303.966,-260.549,60.0133,262.757,-257.82,86.4499,326.423,-316.032,74.2476,296.725,-357.559,81.6831,329.455,-394.93,132.921,328.297,-432.256,93.9269,336.248,-259.409,114.517,323.694,302.8,140.88,321.362,-933.539,79.49,339.215,475.386,147.384,331.63
16659,0,-244.355,158.132,373.935,-298.827,147.632,358.889,-291.28,110.391,340.111,-238.514,87.1122,303.967,-260.548,60.0569,262.731,-257.809,86.4869,326.419,-316.049,74.3236,296.712,-357.566,81.6899,329.466,-394.871,132.968,328.31,-432.267,93.9433,336.253,-259.439,114.535,323.689,302.761,140.943,321.355,-933.573,79.5334,339.21,475.386,147.384,331.637
16660,0,-244.348,158.359,374.082,-298.826,147.65,358.903,-290.931,111.112,339.996,-238.534,87.1438,303.957,-260.529,60.0663,262.708,-257.828,86.536,326.391,-316.042,74.356,296.707,-357.575,81.7056,329.455,-394.86,132.999,328.271,-432.272,93.979,336.244,-259.33,114.611,323.714,302.8,140.881,321.362,-933.57,79.5397,339.235,475.386,147.384,331.63
16661,0,-244.278,158.645,374.172,-298.823,147.654,358.905,-291.146,110.969,340.024,-238.505,87.1744,303.973,-260.535,60.1036,262.707,-257.831,86.5413,326.401,-316.007,74.4381,296.699,-357.547,81.768,329.444,-394.879,132.955,328.225,-432.253,93.9923,336.241,-259.324,114.615,323.715,302.803,140.88,321.36,-933.57,79.5389,339.235,475.386,147.384,331.63
16662,0,-244.203,158.998,374.255,-298.819,147.663,358.904,-291.243,110.65,340.078,-238.523,87.211,303.972,-260.534,60.1531,262.705,-257.823,86.5729,326.405,-315.998,74.4723,296.693,-357.537,81.7557,329.443,-394.889,133.024,328.265,-432.228,94.0526,336.232,-259.452,114.568,323.688,302.803,140.881,321.36,-933.531,79.4206,339.219,475.386,147.384,331.63
16663,0,-244.178,159.242,374.321,-298.818,147.668,358.892,-291.273,110.517,340.092,-238.544,87.2452,303.968,-260.529,60.1868,262.705,-257.868,86.6542,326.372,-315.999,74.471,296.693,-357.543,81.7629,329.446,-394.847,133.091,328.318,-432.228,94.0609,336.233,-259.351,114.637,323.711,302.804,140.873,321.363,-933.531,79.4169,339.221,475.386,147.384,331.637
16664,0,-244.148,159.439,374.396,-298.813,147.685,358.906,-291.312,110.64,340.085,-238.545,87.2457,303.968,-260.524,60.2073,262.694,-257.863,86.699,326.372,-315.99,74.613,296.683,-357.555,81.8396,329.436,-394.864,133.084,328.316,-432.239,94.1183,336.214,-259.45,114.57,323.689,302.799,140.878,321.362,-933.558,79.5705,339.229,475.385,147.383,331.622
16665,0,-244.076,159.61,374.417,-298.817,147.689,358.911,-291.243,110.74,340.051,-238.586,87.3131,303.963,-260.525,60.2207,262.666,-257.818,86.6733,326.373,-315.982,74.6547,296.645,-357.561,81.8534,329.439,-394.874,133.062,328.232,-432.224,94.1404,336.215,-259.394,114.648,323.703,302.805,140.875,321.362,-933.53,79.4323,339.216,475.385,147.383,331.622
