Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
6020,0,-159.666,-197.811,158.671,-230.937,-200.907,156.7,-312.413,-210.45,152.862,-387.226,-184.823,167.055,-469.894,-211.789,158.27,-555.205,-197.995,167.708,,,,,,,,,,,,,-128.945,-185.254,144.186,172.678,-177.131,148.203,-827.287,-218.808,159.601,345.844,-180.456,158.517
6021,0,-157.876,-197.935,158.494,-229.291,-200.418,157.02,-310.611,-210.868,152.364,-385.141,-184.839,166.908,-468.055,-210.781,158.261,-553.468,-199.268,167.618,-637.021,-200.423,168.433,,,,,,,-813.489,-213.263,172.455,-128.917,-185.237,144.187,172.676,-177.111,148.201,-827.287,-218.808,159.601,345.859,-180.462,158.503
6022,0,-155.717,-197.428,158.419,-227.486,-199.741,156.724,-308.991,-211.05,151.898,-383.138,-185.607,166.667,-466.215,-210.032,158.804,-555.789,-216.814,170.466,-635.421,-199.253,168.398,,,,,,,,,,-128.922,-185.251,144.16,172.675,-177.11,148.201,-827.287,-218.808,159.601,345.842,-180.459,158.504
6023,0,-153.68,-197.134,158.038,-225.647,-199.665,157.078,-307.344,-211.735,151.56,-381.533,-185.951,166.635,,,,-554.193,-217.837,170.117,-633.362,-198.838,168.371,,,,,,,-808.492,-212.859,171.977,-128.923,-185.254,144.159,172.675,-177.111,148.201,-827.287,-218.808,159.601,345.847,-180.443,158.498
6024,0,-151.79,-197.169,157.922,-224.129,-199.438,157.132,-305.601,-212.196,151.415,-379.543,-186.239,166.641,,,,,,,-631.533,-198.958,168.648,,,,,,,,,,-128.923,-185.253,144.16,172.675,-177.111,148.201,-827.376,-218.844,159.592,345.842,-180.458,158.504
6025,0,-149.964,-197.262,157.831,-222.28,-199.019,157.058,-303.512,-212.928,151.251,-377.396,-186.521,166.555,-466.578,-225.386,162.851,,,,-629.892,-197.663,168.862,,,,-746.158,-201.146,166.176,-805.31,-212.102,171.829,-128.9,-185.298,144.161,172.688,-177.124,148.2,-827.417,-218.889,159.54,345.845,-180.447,158.485
6026,0,-147.921,-197.383,157.678,-220.375,-198.646,157.1,-301.893,-213.222,150.995,-375.886,-186.753,166.484,,,,-548.721,-219.288,168.717,-627.843,-197.642,168.783,,,,-744.562,-202.144,165.965,,,,-128.899,-185.304,144.161,172.688,-177.125,148.2,-827.439,-218.907,159.505,345.842,-180.458,158.504
6027,0,-146.069,-197.302,157.437,-218.669,-198.787,157.345,-300.55,-213.302,150.901,-374.094,-187.049,166.502,-455.117,-219.895,161.829,-546.883,-219.6,168.123,-626.015,-197.791,168.963,,,,-742.761,-203.072,165.95,-801.934,-212.138,172.643,-128.891,-185.256,144.165,172.676,-177.111,148.201,-827.433,-218.9,159.578,345.842,-180.459,158.504
