Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.9703,597.875,222.391,117.208,595.92,-855.132,-37.2215,623.131,,,
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.9703,597.875,222.374,117.207,595.878,-855.178,-37.2462,623.143,,,
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.9703,597.875,222.372,117.208,595.881,-855.169,-37.1751,623.128,,,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.9703,597.875,222.383,117.201,595.877,-855.156,-37.2077,623.132,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.9703,597.875,222.385,117.199,595.876,-855.155,-37.2113,623.132,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.9703,597.875,222.386,117.196,595.878,-855.155,-37.2106,623.132,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.55,58.9865,597.877,222.383,117.202,595.874,-855.119,-37.2167,623.154,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188.558,58.971,597.875,222.364,117.232,595.858,-855.119,-37.2172,623.155,,,
