Trajectories
150
,,Snake_94:Head_M1,,,Snake_94:M2,,,Snake_94:M3,,,Snake_94:M4,,,Snake_94:M5,,,Snake_94:M6,,,Snake_94:M7,,,Snake_94:M8,,,Snake_94:M9,,,Snake_94:Vent_M10,,,Branch_1:OriginEnd,,,Branch_1:TargetEnd,,,Branch_1:OriginOther,,,Branch_1:TargetOther,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
7458,0,-109.498,241.796,538.933,-187.687,238.81,533.289,-267.622,248.855,558.35,-347.596,268.446,553.824,,,,-480.549,255.978,560.077,-552.355,245.601,564.392,,,,-714.297,246.343,560.585,-797.651,197.728,551.238,-249.083,246.497,538.381,294.451,260.521,533.795,-923.623,221.229,561.297,690.426,278.352,542.85,,,,,,,,,,,,
7459,0,-109.392,241.243,539.181,-187.742,238.556,533.431,-267.636,248.801,558.361,-347.596,268.477,553.819,-408.794,225.713,559.366,-480.171,255.755,560.373,-551.971,245.803,564.348,,,,-713.477,246.63,560.348,-797.249,197.591,551.617,-249.068,246.48,538.384,294.451,260.522,533.794,-923.634,221.266,561.312,690.426,278.353,542.85,,,,,,,,,,,,
7460,0,-109.434,240.557,539.165,-187.717,238.473,533.58,-267.716,248.78,558.418,-347.557,268.49,553.825,-408.562,225.578,559.339,-479.797,255.329,560.397,-551.555,245.856,564.303,,,,-712.683,247.339,560.263,-796.059,197.876,551.623,-249.059,246.476,538.385,294.47,260.534,533.861,-923.632,221.259,561.307,690.426,278.352,542.85,,,,,,,,,,,,
7461,0,-109.274,240.113,539.439,-187.692,238.406,533.584,-267.618,248.683,558.402,-347.486,268.434,553.843,,,,,,,-551.24,245.967,564.253,,,,-711.761,247.931,560.219,-795.066,198.129,551.734,-249.058,246.476,538.385,294.47,260.54,533.853,-923.625,221.241,561.301,690.425,278.359,542.84,,,,,,,,,,,,
7462,0,-109.305,239.163,539.651,-187.594,238.268,533.695,-267.602,248.583,558.407,-347.439,268.433,553.859,,,,,,,-551.054,246.105,564.288,,,,-711.557,247.59,560.171,-794.283,198.193,551.802,-249.065,246.467,538.379,294.469,260.545,533.842,-923.625,221.24,561.301,690.425,278.359,542.84,,,,,,,,,,,,
7463,0,-109.267,238.518,540.01,-187.616,238.081,533.763,-267.613,248.528,558.404,-347.427,268.471,553.878,-408.201,225.401,558.999,-478.899,254.898,560.808,-550.668,246.184,564.427,,,,-710.629,247.945,560.003,-793.353,198.314,551.846,-249.066,246.466,538.378,294.448,260.516,533.788,-923.625,221.24,561.301,690.425,278.359,542.84,,,,,,,,,,,,
7464,0,-109.452,237.656,540.058,-187.535,237.635,533.838,-267.652,248.387,558.43,-347.368,268.446,553.889,-407.848,225.007,558.919,,,,-550.407,246.245,564.309,,,,-709.847,248.389,559.678,-792.49,198.232,552.28,-249.092,246.441,538.373,294.47,260.54,533.852,-923.625,221.24,561.294,690.425,278.359,542.84,,,,,,,,,,,,
7465,0,-109.558,237.308,540.204,-187.65,237.391,533.905,-267.709,248.276,558.419,-347.399,268.675,553.905,-406.738,223.502,558.537,,,,-550.636,246.763,563.991,,,,-709.141,248.749,559.612,-791.606,198.649,552.567,-249.12,246.415,538.4,294.485,260.571,533.851,-923.641,221.299,561.327,690.413,278.358,542.84,,,,,,,,,,,,
7466,0,-109.503,236.557,540.353,-187.699,237.165,533.908,-267.749,248.133,558.447,-347.353,268.674,553.951,-407.105,224.27,558.554,-477.773,254.132,561.262,,,,,,,-708.414,248.67,559.491,-790.767,198.622,552.612,-249.126,246.406,538.395,294.47,260.581,533.809,-923.618,221.226,561.294,690.426,278.353,542.85,,,,,,,,,,,,
7467,0,-109.745,236.252,540.628,-187.796,236.906,533.985,-267.809,248.008,558.426,-347.326,268.765,554.133,-407.11,224.364,558.521,-477.419,253.811,561.298,,,,,,,-707.672,249.172,559.419,-789.55,199.029,552.916,-249.152,246.381,538.389,294.47,260.535,533.861,-923.636,221.185,561.291,690.414,278.351,542.849,,,,,,,,,,,,
