Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
27910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.178,-137.046,250.274,,,,,,,704.591,-72.7849,259.723
27911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.181,-137.05,250.281,,,,,,,704.591,-72.7854,259.723
27912,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.172,-136.98,250.263,,,,,,,704.608,-72.7865,259.713
27913,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.161,-136.979,250.264,,,,,,,704.597,-72.7688,259.712
27914,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.169,-136.938,250.263,,,,,,,704.589,-72.7864,259.718
27915,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.18,-136.936,250.262,,,,,,,704.588,-72.7714,259.722
27916,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.178,-136.896,250.253,,,,,,,704.596,-72.7662,259.703
27917,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.189,-136.898,250.261,,,,,,,704.595,-72.7608,259.711
