Trajectories
150
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
4692,0,-156.873,64.9658,265.968,-208.008,54.456,267.864,-275.063,47.2169,269.219,,,,-402.579,19.866,271.438,-466.622,7.44622,271.59,-543.673,22.0918,277.046,-627.96,3.74388,278.606,,,,-772.284,-20.8647,262.557,-160.595,72.5154,249.242,199.53,122.9,248.973,,,,,,
4693,0,-156.235,65.3037,265.749,-207.07,54.6793,267.951,-273.845,46.6791,269.296,,,,-401.487,20.7674,271.418,-465.334,7.66245,271.439,-542.596,21.9469,277.02,-627.159,3.91825,278.575,,,,-770.83,-20.4462,262.592,-160.584,72.4157,249.235,199.531,122.906,248.964,,,,,,
4694,0,-155.25,65.188,265.704,-206.212,54.8864,268.093,-272.846,46.2828,269.149,,,,-400.385,21.4056,271.44,-464.924,7.81912,271.336,-541.75,22.1042,277.14,-626.196,4.12268,278.399,,,,-770.427,-19.8922,262.603,-160.549,72.3331,249.179,199.531,122.911,248.978,,,,,,
4695,0,-154.509,65.1924,265.733,-205.322,55.0932,267.927,-271.239,45.1264,268.696,-336.632,55.8866,269.647,-399.295,21.9307,271.537,-463.736,7.78623,271.335,-540.849,22.3678,277.242,-625.121,4.28065,278.539,,,,-768.759,-19.0634,262.73,-160.558,72.1176,249.016,199.531,122.906,248.964,,,,,,
4696,0,-153.745,65.547,265.812,-204.603,55.4672,268.062,-269.717,44.4589,268.663,-335.806,57.7916,268.561,-398.495,22.2313,271.635,-461.869,7.01271,271.095,-540.097,22.3507,277.398,-624.184,4.4292,278.491,,,,-768.767,-18.9465,262.68,-160.52,71.9199,248.936,199.53,122.905,248.988,,,,,,
4697,0,-152.961,65.3259,265.663,-203.51,55.3787,267.942,-269.321,44.7951,268.573,-334.867,57.2831,269.439,-397.646,22.1329,271.567,-461.675,7.48275,270.995,-539.107,22.5808,277.564,-623.068,4.91091,278.509,,,,-801.168,-0.347991,259.768,-160.082,71.3421,248.369,199.531,122.906,248.964,,,,,,
4698,0,-152.226,65.4747,265.524,-202.729,56.0221,268.099,-269.546,45.4244,268.614,-332.897,55.7225,269.006,-396.769,22.7579,271.88,-460.353,7.41689,270.918,-538.346,22.4789,277.636,-622.208,4.95922,278.44,,,,-800.407,-0.312046,259.597,-160.05,71.1958,248.361,199.531,122.906,248.964,,,,,,
4699,0,-151.54,65.7129,265.624,-201.859,55.9671,267.92,-269.183,45.6808,268.624,-330.664,54.5641,268.932,-395.876,22.8468,272.013,-458.99,7.19954,270.819,-537.459,22.5089,277.654,-621.349,4.99743,278.482,,,,-800.792,0.706471,259.401,-160.062,71.241,248.366,199.531,122.906,248.964,,,,,,
4700,0,-150.694,65.787,265.441,-200.893,56.4537,268.235,-268.692,45.6675,268.315,-330.026,54.8868,268.679,-394.875,23.4802,272.015,-458.677,7.37767,270.699,-536.66,22.6058,277.79,-620.088,4.8392,278.467,,,,-801.123,1.97854,258.786,-160.078,71.3104,248.354,199.554,122.893,248.963,,,,,,
