Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
24409,0,-309.241,214.454,627.794,-323.84,257.705,602.776,-366.901,261.589,597.087,,,,-478.027,290.343,603.907,-521.207,240.934,590.562,-575.149,226,563.697,-612.584,277.979,608.27,-689.445,295.172,601.465,-749.678,304.772,578.036,-285.757,263.204,579.575,355.642,278.78,582.327,,,,752.661,278.011,596.374
24410,0,,,,-323.803,258.473,602.945,-366.7,261.454,596.964,-428.274,286.566,600.1,-477.845,290.103,603.944,-521.053,240.798,590.633,-574.954,226.347,563.572,-612.378,277.624,608.216,-689.254,295.112,601.436,-749.625,304.689,578.215,-285.751,263.153,579.536,355.645,278.777,582.312,,,,752.661,278.01,596.373
24411,0,,,,-323.527,258.252,602.898,-366.483,261.306,596.787,-427.924,286.194,600.131,-477.535,290.02,603.91,-520.918,240.602,590.857,-574.826,226.416,563.572,-612.137,277.167,608.252,-689.043,295.018,601.43,-749.622,304.627,578.401,-285.694,263.231,579.479,355.645,278.77,582.325,,,,752.661,278.011,596.374
24412,0,-307.042,214.084,628.531,-322.774,257.365,602.885,-366.367,261.234,596.555,-427.615,285.807,600.16,-477.177,290.174,603.866,-520.822,240.597,590.902,-574.732,226.421,563.44,,,,,,,-749.297,303.999,578.343,-285.695,263.192,579.521,355.634,278.761,582.332,,,,752.661,278.011,596.374
24413,0,-307.288,213.027,628.629,-321.904,256.84,602.774,-366.215,261.158,596.524,,,,-476.823,290.33,603.804,-520.726,240.654,590.992,-574.595,226.329,563.218,,,,,,,-749.39,304.246,578.491,-285.689,263.148,579.485,355.64,278.764,582.325,,,,752.661,278.011,596.374
24414,0,-306.901,212.701,628.709,-322.067,258.249,602.829,-366.246,260.27,597.083,,,,-476.652,290.23,603.784,-520.597,240.666,591.172,-574.387,226.126,563.003,,,,,,,-749.396,304.288,578.64,-285.728,263.107,579.465,355.645,278.77,582.325,,,,752.66,278.027,596.359
24415,0,-306.133,212.424,629.077,-320.942,257.185,602.717,-366.193,259.555,596.169,-427.124,285.226,600.223,-476.606,290.15,603.847,-520.474,240.826,591.343,-574.237,225.839,562.805,,,,,,,-749.282,304.151,578.793,-285.71,263.122,579.507,355.645,278.771,582.325,,,,752.661,278.012,596.374
24416,0,,,,-320.008,256.762,602.678,-364.914,260.198,596.043,-426.851,284.768,600.209,-476.542,290.188,603.769,-520.374,240.8,591.547,-574.092,226.079,562.896,-611.611,276.789,608.513,,,,,,,-285.709,263.04,579.536,355.645,278.77,582.325,,,,752.66,278.027,596.359
