Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_95:Head_M1,,,Snake_95:M2,,,Snake_95:M3,,,Snake_95:M4,,,Snake_95:M5,,,Snake_95:M6,,,Snake_95:M7,,,Snake_95:M8,,,Snake_95:M9,,,Snake_95:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20587,0,-78.39,61.3994,112.011,-131.024,66.3071,123.712,-166.512,30.6102,111.363,-215.735,40.8158,152.841,-268.742,49.0578,154.996,-324.005,23.7307,142.057,-382.847,16.7782,132.409,-443.651,27.9933,147.307,-496.431,25.3334,145.333,-557.119,18.1821,124.43,-193.628,62.3334,136.136,324.723,82.8735,117.468,-867.956,36.7227,156.662,1064.72,108.151,129.064
20588,0,-77.4702,61.9133,112.026,-130.58,66.2708,123.326,-166.27,30.4992,110.911,-215.1,40.4556,152.495,-268.277,48.7328,155.148,-323.663,24.172,142.35,-382.517,16.4112,132.025,-443.56,27.7138,147.67,-496.38,24.9306,145.14,-556.679,17.884,124.482,-193.618,62.2747,136.161,324.723,82.87,117.466,-867.959,36.6993,156.667,1064.72,108.151,129.064
20589,0,-76.7772,62.4474,111.953,-130.212,66.013,122.429,-166.018,30.9071,110.513,-214.682,40.4866,152.425,-267.637,48.3553,155.117,-323.421,24.7667,142.451,-382.257,16.4215,131.85,,,,-496.308,24.9452,145.059,-556.327,17.5388,124.552,-193.62,62.2516,136.164,324.755,82.8307,117.438,-867.959,36.6985,156.667,1064.72,108.157,129.097
20590,0,-75.7933,63.1954,111.884,-129.896,66.2206,121.834,-165.249,31.0547,109.982,-214.19,40.443,152.093,-266.918,48.7063,155.173,-323.216,25.1331,142.598,-381.895,16.7056,131.754,,,,-496.187,25.2111,144.383,-556.127,17.7014,124.53,-193.643,62.281,136.162,324.738,82.8567,117.476,-867.956,36.7233,156.662,1064.7,108.115,129.084
20591,0,-74.8183,63.6926,111.791,-129.3,67.3304,120.699,-165.264,30.6054,109.228,-213.62,39.8322,151.796,-266.546,48.459,155.194,-322.827,25.6606,143.385,-381.403,16.8422,131.587,-442.856,28.2421,148.585,-496.217,25.3105,144.058,-555.848,18.1471,124.55,-193.621,62.2564,136.164,324.722,82.8777,117.473,-867.924,36.7328,156.66,1064.71,108.142,129.088
20592,0,-74.0901,64.1787,111.305,-128.688,67.2872,119.769,-164.82,31.0223,108.78,-213.182,39.9423,151.657,-265.616,47.9417,155.071,-322.514,25.8901,143.764,-381.069,16.1775,131.495,-442.554,28.4843,148.909,-496.228,25.0399,143.968,-555.495,17.9137,124.898,-193.625,62.2619,136.122,324.723,82.8814,117.474,-867.903,36.7142,156.658,1064.7,108.115,129.084
20593,0,-73.1083,64.9277,111.014,-128.025,66.7508,119.031,-164.639,30.535,107.729,-212.102,40.5605,151.667,-264.924,48.2522,155.24,-322.159,26.4335,143.865,-380.747,15.8654,131.448,-442.196,28.9798,149.156,-496.07,24.1152,143.8,-554.992,17.7208,125.191,-193.606,62.2963,136.088,324.722,82.8772,117.473,-867.908,36.7056,156.639,1064.68,108.126,129.081
20594,0,-72.1249,64.9865,110.164,-127.15,66.483,118.061,-164.515,30.7466,107.243,,,,-264.641,48.1591,155.267,-321.859,26.9307,144.037,-380.32,15.9806,130.93,-442.065,29.5587,149.479,-495.843,23.383,143.221,-554.55,17.7833,125.709,-193.597,62.2355,136.139,324.717,82.8832,117.485,-867.908,36.7058,156.639,1064.72,108.156,129.096
