Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
11241,0,,,,-347.304,227.536,224.228,-337.53,249.572,168.835,-377.412,215.015,172.253,-370.69,199.44,219.597,-335.556,206.297,275.055,,,,,,,,,,,,,-270.35,185.881,271.545,278.642,249.862,258.026,-940.702,110.168,289.434,,,
11242,0,,,,-347.633,227.234,225.061,-337.225,249.902,169.94,-377.075,215.49,172.239,-370.633,199.605,219.43,-335.306,205.924,275.012,,,,,,,,,,,,,-270.363,185.95,271.588,278.648,249.854,258.028,-940.702,110.168,289.434,,,
11243,0,,,,-347.895,227.052,226.281,-336.76,250.302,171.272,,,,-370.674,199.757,219.236,-335.111,205.652,274.974,,,,,,,,,,,,,-270.351,185.888,271.545,278.642,249.862,258.026,-940.724,110.204,289.432,,,
11244,0,,,,-348.116,226.464,227.506,-336.374,250.431,172.411,-376.523,216.751,172.08,-370.731,200.006,219.123,-334.97,205.419,274.898,,,,,,,,,,,,,-270.35,185.894,271.568,278.641,249.862,258.026,-940.725,110.206,289.431,,,
11245,0,,,,-347.974,225.778,228.794,-335.877,250.547,173.814,-376.012,217.338,172.096,-370.692,200.095,219.109,-335.548,205.956,274.929,,,,,,,,,,,,,-270.363,185.965,271.612,278.642,249.869,258.013,-940.704,110.252,289.425,,,
11246,0,,,,-347.893,225.186,229.825,-335.509,250.948,175.295,-375.638,217.613,172.186,-370.66,200.238,219.121,-335.363,205.883,274.976,-321.965,145.05,284.617,,,,,,,,,,-270.351,185.889,271.546,278.642,249.869,258.013,-940.703,110.273,289.423,,,
11247,0,-303.158,198.833,287.086,-347.964,224.84,230.887,-334.98,250.885,176.395,-374.888,217.808,172.38,-370.642,200.408,219.159,-335.249,205.824,275.03,-322.179,144.929,284.581,,,,,,,,,,-270.375,185.92,271.566,278.648,249.849,258.009,-940.703,110.272,289.423,,,
11248,0,-302.806,198.221,287.64,-347.923,224.722,231.973,-334.419,250.853,177.418,-374.577,218.355,172.409,-370.777,200.865,219.231,-335.144,205.731,275.038,-322.555,145.229,284.289,,,,,,,,,,-270.351,185.9,271.568,278.642,249.861,258.026,-940.695,110.249,289.414,,,
