Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:Origin_End,,,Branch:Target_End,,,Branch:Origin_Other,,,Branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.587,-243.135,177.414,502.535,-110.97,179.641,-829.749,-382.115,193.246,891.344,-30.3584,191.704
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.127,177.45,502.523,-110.982,179.651,-829.763,-382.096,193.254,891.345,-30.3192,191.685
33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.763,-382.095,193.254,891.344,-30.324,191.706
34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.763,-382.095,193.254,891.344,-30.3175,191.685
35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.749,-382.116,193.253,891.345,-30.3511,191.684
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.547,-110.974,179.647,-829.767,-382.09,193.254,891.342,-30.3114,191.683
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.547,-110.974,179.647,-829.749,-382.115,193.253,891.343,-30.3512,191.728
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.536,-110.972,179.653,-829.749,-382.117,193.253,891.343,-30.354,191.728
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.577,-243.107,177.47,502.536,-110.972,179.653,-829.763,-382.096,193.254,891.363,-30.333,191.729
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.125,177.451,502.534,-110.973,179.648,-829.749,-382.118,193.26,891.343,-30.3523,191.728
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.16,177.448,502.535,-110.97,179.641,-829.767,-382.09,193.254,891.324,-30.3737,191.727
