Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8079,0,-494.26,2.50865,617.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8080,0,-491.23,2.45606,618.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,0,-487.99,1.19034,617.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082,0,-485.562,1.20541,617.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8083,0,-483.646,2.50097,617.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8084,0,-481.344,3.23536,617.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8085,0,-478.935,3.79799,617.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086,0,-476.729,3.39582,617.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8087,0,-474.388,3.39863,617.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8088,0,-472.012,3.82514,617.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8089,0,-469.753,4.71784,616.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8090,0,-467.513,4.87499,616.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,0,-465.559,5.02166,616.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8092,0,-463.319,4.75845,616.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8093,0,-461.197,5.10254,617.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8094,0,-459.194,5.55414,617.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8095,0,-456.978,5.26378,616.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8096,0,-455.185,5.43046,616.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8097,0,-453.087,4.99067,616.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8098,0,-451.21,4.83975,616.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8099,0,-449.496,5.52192,616.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8100,0,-447.76,5.81096,616.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,0,-445.967,5.77635,616.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8102,0,-444.233,5.82625,615.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8103,0,-442.621,5.80289,615.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8104,0,-441.356,4.3747,616.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,0,-439.488,5.16854,615.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8106,0,-437.79,5.79446,615.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8107,0,-436.065,6.06508,615.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108,0,-434.383,5.45725,615.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8109,0,-432.393,6.82027,615.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8110,0,-431.005,7.5267,615.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8111,0,-429.156,7.20771,615.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8112,0,-427.868,5.9702,615.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8113,0,-425.913,8.41226,615.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,0,-424.625,6.92666,615.755,-492.302,-1.41123,615.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8115,0,-422.769,7.74344,615.816,-490.536,-1.95987,615.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8116,0,-421.269,7.75333,615.6,-488.523,-2.5172,613.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8117,0,-419.644,7.42574,615.779,-487.313,-2.4975,613.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8118,0,-417.803,8.18598,615.761,-485.726,-2.59898,613.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8119,0,-416.081,8.36842,615.674,-483.914,-3.39085,612.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
