Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1424,0,-158.321,254.249,653.345,-230.663,246.411,650.091,-306.569,252.71,653.865,-380.904,223.385,649.658,-449.673,227.301,655.31,-526.195,227.623,658.603,,,,,,,-666.861,223.373,661.901,,,,-135.327,257.114,632.929,428.067,279.195,631.08,,,,,,
1425,0,-156.048,253.761,652.839,-228.779,244.827,649.8,-304.948,253.22,654.041,-379.48,224.296,650.03,-448.25,226.515,655.091,,,,-592.768,206.556,650.224,-665.121,222.432,661.889,,,,,,,-135.326,257.113,632.929,428.084,279.199,631.081,,,,,,
1426,0,,,,-226.897,243.506,649.935,-303.228,253.073,653.923,-377.954,224.795,650.216,-446.639,225.798,654.808,,,,-591.019,207.068,650.595,,,,,,,,,,-135.353,257.076,632.93,428.087,279.193,631.08,,,,,,
1427,0,-152.849,254.89,652.555,,,,-301.554,253.053,653.837,-376.333,225.43,650.443,-445.109,225.054,654.336,-521.153,228.576,659.094,-589.514,207.423,650.843,,,,,,,-787.693,220.835,658.722,-135.329,257.046,632.932,428.096,279.215,631.085,,,,,,
1428,0,-151.266,255.183,652.392,-223.497,245.722,649.354,-299.781,253.015,653.899,-374.806,226.399,650.85,-443.541,223.86,654.062,-519.42,229.008,658.856,-587.746,207.957,651.347,-660.172,220.25,661.837,,,,-785.796,221.579,658.36,-135.349,257.137,632.927,428.077,279.212,631.082,,,,,,
1429,0,-149.725,255.6,652.305,-221.621,243.548,648.927,-298.129,253.455,654.103,-373.367,226.888,651.069,-442.546,223.293,653.92,,,,-586.363,208.626,651.418,-658.549,219.415,661.638,,,,-783.996,222.218,658.066,-135.351,257.069,632.917,428.084,279.198,631.081,,,,,,
1430,0,-147.919,255.684,652.165,-219.773,243.234,648.951,-296.458,253.634,654.122,-371.842,227.794,651.415,-440.759,222.122,653.565,,,,-584.756,208.738,651.602,-657.056,218.613,661.466,,,,-782.095,222.903,657.772,-135.352,257.134,632.874,428.101,279.146,631.061,,,,,,
1431,0,-146.003,255.714,651.921,-217.785,242.848,648.906,-294.75,253.456,653.926,-370.335,228.677,651.808,-439.494,221.467,652.944,-514.344,231.472,659.047,-583.078,209.494,652.48,-655.519,217.628,661.324,,,,-780.217,223.656,657.479,-135.329,257.115,632.875,428.084,279.191,631.077,,,,,,
