Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:OriginOther,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.26,-8.25795,273.028,283.035,28.3148,276.737,-816.754,-53.9061,287.397,679.018,57.947,291.627
31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.267,-8.27604,273.045,283.043,28.3131,276.729,-816.797,-53.8911,287.409,679.018,57.9473,291.627
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.289,-8.34605,273.054,283.035,28.3152,276.737,-816.814,-53.926,287.41,679.027,57.9532,291.628
33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.302,-8.32993,273.091,283.043,28.3127,276.73,-816.814,-53.9273,287.41,679.027,57.9514,291.634
34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.304,-8.40654,273.081,283.041,28.3188,276.715,-816.831,-53.9628,287.41,679.027,57.9532,291.629
35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.304,-8.46741,273.081,283.038,28.2927,276.726,-816.814,-53.999,287.407,679.017,57.9538,291.635
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.297,-8.511,273.081,283.029,28.2944,276.726,-816.83,-54.0357,287.408,679.017,57.9518,291.642
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.307,-8.61617,273.082,283.038,28.2921,276.73,-816.83,-54.0362,287.408,679.017,57.9537,291.635
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.298,-8.67732,273.11,283.035,28.3086,276.738,-816.831,-54.0469,287.395,679.011,57.9393,291.634
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.296,-8.73314,273.094,283.031,28.2932,276.743,-816.805,-54.1002,287.39,679.02,57.9601,291.623
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.28,-8.81536,273.095,283.029,28.2887,276.735,-816.805,-54.1017,287.39,679.023,57.9688,291.643
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.266,-8.84771,273.087,283.042,28.3121,276.725,-816.779,-54.1541,287.385,679.02,57.9605,291.623
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.27,-8.91076,273.079,283.042,28.313,276.725,-816.778,-54.1557,287.385,679.037,57.9706,291.631
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.256,-8.94159,273.071,283.035,28.3091,276.738,-816.753,-54.208,287.381,679.027,57.9754,291.63
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.246,-8.97741,273.054,283.034,28.3151,276.729,-816.761,-54.1919,287.382,679.027,57.9755,291.63
45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.243,-9.02953,273.037,283.029,28.2954,276.726,-816.761,-54.1905,287.382,679.027,57.9753,291.63
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.243,-9.03048,273.037,283.044,28.312,276.738,-816.734,-54.2422,287.371,679.02,57.9604,291.623
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.234,-9.06854,273.038,283.029,28.2955,276.726,-816.715,-54.2275,287.377,679.02,57.9603,291.623
48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.242,-9.0825,273.047,283.029,28.2888,276.735,-816.732,-54.2511,287.391,679.02,57.9603,291.623
49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.234,-9.07109,273.039,283.029,28.2947,276.726,-816.707,-54.2448,287.376,679.02,57.9603,291.623
50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.234,-9.06888,273.038,283.036,28.298,276.712,-816.723,-54.2804,287.376,679.027,57.9752,291.63
51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.234,-9.069,273.038,283.03,28.295,276.734,-816.726,-54.2731,287.357,679.027,57.9755,291.63
52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.234,-9.06903,273.038,283.029,28.2889,276.735,-816.735,-54.2547,287.358,679.02,57.9604,291.623
53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.229,-9.02619,273.066,283.046,28.303,276.722,-816.734,-54.2429,287.371,679.02,57.9602,291.623
54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.235,-8.98155,273.073,283.038,28.2924,276.73,-816.735,-54.2541,287.358,679.018,57.9558,291.615
55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.256,-8.941,273.071,283.037,28.2918,276.722,-816.761,-54.1919,287.382,679.025,57.9747,291.624
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.256,-8.90369,273.062,283.037,28.2919,276.722,-816.761,-54.1898,287.382,679.022,57.9664,291.643
57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.27,-8.91059,273.079,283.03,28.2889,276.743,-816.779,-54.1554,287.385,679.027,57.9733,291.637
58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.278,-8.81018,273.077,283.038,28.2919,276.73,-816.779,-54.1543,287.385,679.027,57.9754,291.63
59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.279,-8.755,273.068,283.037,28.292,276.722,-816.762,-54.1189,287.385,679.027,57.9754,291.63
60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.293,-8.72568,273.076,283.037,28.2919,276.722,-816.77,-54.1001,287.386,679.04,57.9537,291.638
61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.269,-8.65,273.067,283.03,28.2889,276.743,-816.788,-54.0647,287.389,679.049,57.9721,291.64
62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.269,-8.59257,273.084,283.038,28.2919,276.73,-816.788,-54.0638,287.389,679.045,57.9387,291.63
63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.282,-8.50356,273.065,283.035,28.3087,276.738,-816.796,-54.0467,287.391,679.044,57.9574,291.639
64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.301,-8.45963,273.063,283.051,28.3102,276.726,-816.813,-53.998,287.401,679.059,57.9552,291.639
65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.284,-8.39769,273.063,283.046,28.2895,276.722,-816.814,-53.9983,287.407,679.04,57.9553,291.632
66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.273,-8.35704,273.075,283.047,28.2968,276.736,-816.813,-53.9975,287.401,679.048,57.9589,291.633
67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.286,-8.3394,273.036,283.042,28.3124,276.725,-816.796,-53.9615,287.4,679.044,57.9451,291.638
68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.259,-8.31222,273.037,283.029,28.2896,276.735,-816.771,-53.9423,287.398,679.044,57.945,291.638
69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.267,-8.27286,273.036,283.03,28.2922,276.735,-816.739,-53.9331,287.375,679.035,57.9391,291.637
70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.258,-8.25418,273.028,283.042,28.3124,276.725,-816.739,-53.9332,287.375,679.034,57.9408,291.631
71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.258,-8.25415,273.028,283.036,28.2985,276.712,-816.722,-53.8973,287.374,679.035,57.9342,291.622
72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.232,-8.23094,273.028,283.037,28.2918,276.722,-816.722,-53.8963,287.374,679.034,57.9336,291.616
