Trajectories
150
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
19446,0,24.4163,236.919,622.881,-47.9217,231.557,617.824,-120.267,239.722,638.292,-196.72,228.543,644.158,-270.262,224.464,647.994,-331.221,222.302,646.819,-400.226,209.814,639.92,-472.377,224.029,657.755,-537.26,211.056,648.358,-595.947,215.651,652.666,-135.595,265.238,633.83,278.763,273.667,633.089,,,,,,
19447,0,24.9182,236.559,622.996,-47.4479,231.613,617.678,-120.207,239.559,637.919,-196.31,228.678,644.248,-270.009,224.609,648.12,-330.911,221.923,646.664,-399.503,209.568,639.836,-471.57,224.922,657.668,-536.834,210.581,648.003,-595.194,215.714,652.689,-135.598,265.225,633.818,278.763,273.665,633.089,,,,,,
19448,0,25.5409,236.681,623.071,-47.0203,231.784,617.583,-119.396,239.243,637.824,-195.936,228.659,644.257,-269.552,224.711,648.415,-330.703,221.943,646.544,-399.129,209.706,640.088,-470.878,224.2,657.665,-536.151,210.377,648.101,-594.504,215.855,652.648,-135.591,265.212,633.818,278.755,273.619,633.083,,,,,,
19449,0,25.8781,237.214,623.122,-46.3179,231.652,617.448,-119.076,239.023,637.622,-195.271,228.473,644.178,-268.951,224.784,648.468,-330.326,222.278,646.366,-398.574,210.151,640.294,-470.383,224.478,657.933,-535.577,210.34,648.146,-594.096,216.005,652.763,-135.573,265.263,633.844,278.756,273.621,633.088,,,,,,
19450,0,26.1419,237.299,623.197,-46.1563,232.085,617.471,-118.297,239.441,637.339,-194.465,228.553,644.251,-268.852,225.135,648.366,-329.856,221.587,645.806,-397.953,209.988,640.491,-469.849,225.057,657.978,-535.282,209.903,647.864,-593.812,216.605,652.845,-135.583,264.979,633.773,278.756,273.622,633.088,,,,,,
19451,0,27.0111,236.892,623.185,-45.5436,232.084,617.235,-117.747,239.972,637.328,-194.365,228.727,644.233,-268.138,225.272,649.004,-329.346,221.241,645.315,-397.358,209.922,640.586,-469.146,224.969,658.314,-534.772,209.822,647.784,-593.225,216.955,652.993,-135.567,265.376,633.83,278.756,273.623,633.072,,,,,,
19452,0,27.6321,237.296,623.226,-44.4318,231.961,617.06,-117.456,239.676,637.028,-193.709,228.786,644.452,-267.533,225.288,649.164,-329.093,221.382,644.936,-396.801,210.113,640.629,-468.551,224.864,658.427,,,,-592.511,216.568,653.018,-135.672,266.862,634.177,278.756,273.622,633.088,,,,,,
19453,0,27.925,237.459,623.095,-44.0404,232.101,617.011,-116.517,240.014,636.846,-192.906,228.751,644.432,-267.055,225.755,649.208,-328.634,221.452,644.829,-396.047,209.681,641.07,-467.866,225.199,658.503,-533.696,209.562,646.904,-591.819,216.975,652.994,-135.716,266.917,634.166,278.756,273.622,633.088,,,,,,
19454,0,28.9525,237.537,623.236,-43.5268,232.069,616.593,-116.852,245.422,637.856,-192.105,228.924,644.691,-266.422,226.156,649.376,-327.884,220.826,644.675,-395.928,210.498,640.969,-467.63,225.654,658.723,-533.194,209.939,646.521,-591.557,217.368,653.044,-135.697,266.858,634.138,278.755,273.623,633.073,,,,,,
