Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,brancho:OriginEnd,,,brancho:TargetEnd,,,brancho:OriginOther,,,brancho:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6231,261.883,398.786,-48.5216,259.063,-882.665,-152.836,277.761,794.446,-16.1577,272.286
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6163,261.868,398.791,-48.5112,259.06,-882.665,-152.836,277.761,794.444,-16.1797,272.288
33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6231,261.883,398.79,-48.5113,259.063,-882.665,-152.836,277.761,794.446,-16.1579,272.286
34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6234,261.883,398.775,-48.4973,259.064,-882.665,-152.836,277.761,794.446,-16.1571,272.286
35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7173,261.879,398.787,-48.4689,259.061,-882.664,-152.835,277.755,794.446,-16.1574,272.286
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.634,-98.7178,261.879,398.786,-48.4691,259.065,-882.664,-152.835,277.755,794.446,-16.1574,272.286
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.6,-98.6246,261.883,398.785,-48.4664,259.057,-882.664,-152.835,277.755,794.446,-16.1574,272.286
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.622,261.883,398.788,-48.4673,259.063,-882.664,-152.835,277.755,794.446,-16.1574,272.286
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6232,261.883,398.788,-48.4673,259.063,-882.665,-152.836,277.761,794.446,-16.1574,272.286
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.635,-98.7244,261.895,398.784,-48.472,259.047,-882.664,-152.835,277.755,794.446,-16.1574,272.286
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.619,261.867,398.785,-48.4665,259.057,-882.664,-152.835,277.755,794.446,-16.1574,272.286
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6217,261.883,398.787,-48.4623,259.057,-882.665,-152.836,277.761,794.446,-16.1574,272.286
