Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,brancho:OriginEnd,,,brancho:TargetEnd,,,brancho:OriginOther,,,brancho:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.776,-48.4922,259.067,-882.565,-152.822,277.722,794.446,-16.158,272.286
2087,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.4645,259.068,-882.565,-152.812,277.734,794.434,-16.1624,272.286
2088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.789,-48.4618,259.065,-882.566,-152.82,277.72,794.431,-16.1851,272.288
2089,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.794,-48.507,259.055,-882.565,-152.823,277.722,794.434,-16.1633,272.286
2090,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.789,-48.4629,259.065,-882.565,-152.823,277.722,794.434,-16.1625,272.286
2091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.8,-48.4841,259.065,-882.565,-152.823,277.722,794.446,-16.1574,272.286
2092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4615,259.06,-882.565,-152.82,277.72,794.434,-16.1627,272.286
2093,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4706,259.063,-882.568,-152.814,277.702,794.431,-16.1851,272.288
2094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4679,259.056,-882.566,-152.82,277.72,794.434,-16.1633,272.286
2095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5181,259.055,-882.565,-152.823,277.722,794.434,-16.1625,272.286
2096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.797,-48.4945,259.064,-882.565,-152.82,277.72,794.431,-16.1851,272.288
2097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4986,259.063,-882.565,-152.823,277.722,794.431,-16.1856,272.289
2098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.796,-48.4893,259.057,-882.565,-152.823,277.722,794.431,-16.1854,272.289
2099,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.797,-48.4936,259.064,-882.565,-152.823,277.722,794.428,-16.1862,272.288
2100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.798,-48.487,259.068,-882.565,-152.823,277.722,794.428,-16.1862,272.288
2101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4695,259.065,-882.565,-152.823,277.722,794.431,-16.1854,272.289
2102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4677,259.056,-882.565,-152.823,277.722,794.446,-16.1577,272.286
2103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5211,259.063,-882.565,-152.823,277.722,794.429,-16.1881,272.29
2104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.814,-48.4928,259.06,-882.548,-152.786,277.722,794.431,-16.1857,272.289
2105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.799,-48.4881,259.054,-882.565,-152.822,277.722,794.421,-16.2056,272.288
2106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.5191,259.061,-882.548,-152.787,277.722,794.424,-16.2051,272.288
2107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5189,259.055,-882.565,-152.822,277.722,794.424,-16.2049,272.288
2108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5186,259.055,-882.548,-152.787,277.722,794.424,-16.2049,272.288
2109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5186,259.055,-882.548,-152.785,277.722,794.421,-16.2059,272.288
2110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4962,259.055,-882.548,-152.786,277.722,794.42,-16.2059,272.288
2111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.5129,259.058,-882.548,-152.786,277.722,794.421,-16.2059,272.288
2112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.765,-48.5003,259.052,-882.548,-152.786,277.722,794.424,-16.2049,272.288
2113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5183,259.055,-882.548,-152.786,277.722,794.424,-16.2049,272.288
2114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5187,259.055,-882.565,-152.822,277.722,794.431,-16.1856,272.289
2115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5272,259.052,-882.565,-152.823,277.722,794.424,-16.2044,272.288
2116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4992,259.063,-882.548,-152.786,277.722,794.424,-16.2051,272.288
2117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5181,259.055,-882.565,-152.822,277.722,794.424,-16.2049,272.288
2118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.778,-48.4914,259.045,-882.565,-152.823,277.722,794.424,-16.2049,272.288
2119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4956,259.055,-882.565,-152.823,277.722,794.424,-16.2049,272.288
2120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.768,-48.5009,259.031,-882.565,-152.823,277.722,794.424,-16.2049,272.288
2121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5241,259.044,-882.565,-152.823,277.722,794.423,-16.1835,272.286
2122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5226,259.046,-882.565,-152.823,277.722,794.423,-16.1829,272.286
2123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5224,259.046,-882.565,-152.823,277.722,794.424,-16.2046,272.288
2124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4962,259.055,-882.565,-152.823,277.722,794.421,-16.2061,272.288
2125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.4964,259.034,-882.565,-152.823,277.722,794.426,-16.1825,272.286
2126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.773,-48.4998,259.046,-882.565,-152.823,277.722,794.42,-16.194,272.3
2127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.5014,259.043,-882.548,-152.786,277.722,794.424,-16.2049,272.289
2128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.4732,259.052,-882.565,-152.822,277.722,794.417,-16.1957,272.299
2129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.773,-48.501,259.044,-882.565,-152.823,277.722,794.416,-16.1953,272.299
2130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.773,-48.5001,259.046,-882.565,-152.823,277.722,794.424,-16.2048,272.288
2131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4963,259.047,-882.565,-152.823,277.722,794.422,-16.2105,272.297
2132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.78,-48.4975,259.04,-882.565,-152.823,277.722,794.429,-16.1753,272.311
2133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4683,259.048,-882.565,-152.823,277.722,794.433,-16.1625,272.286
2134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.776,-48.4932,259.053,-882.565,-152.823,277.722,794.434,-16.1626,272.286
2135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.466,259.066,-882.565,-152.823,277.722,794.423,-16.183,272.286
2136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.78,-48.47,259.05,-882.565,-152.823,277.722,794.422,-16.2104,272.297
2137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.79,-48.4667,259.052,-882.565,-152.823,277.722,794.423,-16.1839,272.286
2138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4708,259.063,-882.565,-152.823,277.722,794.426,-16.1819,272.286
2139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.799,-48.4914,259.061,-882.565,-152.823,277.722,794.425,-16.1895,272.289
2140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4682,259.056,-882.565,-152.823,277.722,794.423,-16.1834,272.286
2141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.778,-48.4901,259.062,-882.565,-152.823,277.722,794.423,-16.1831,272.286
2142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4713,259.064,-882.565,-152.823,277.722,794.423,-16.1832,272.286
2143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.792,-48.4635,259.051,-882.565,-152.823,277.722,794.42,-16.2056,272.288
2144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4686,259.061,-882.565,-152.823,277.722,794.427,-16.1828,272.286
2145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.78,-48.4884,259.06,-882.565,-152.823,277.722,794.423,-16.1829,272.286
2146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.778,-48.4911,259.045,-882.565,-152.823,277.722,794.423,-16.1832,272.286
2147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.469,259.061,-882.565,-152.82,277.72,794.426,-16.1822,272.286
2148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.79,-48.4655,259.053,-882.565,-152.823,277.722,794.426,-16.1822,272.286
2149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4686,259.061,-882.565,-152.823,277.722,794.434,-16.163,272.286
2150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4678,259.056,-882.565,-152.823,277.722,794.434,-16.1625,272.286
2151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.498,259.06,-882.565,-152.823,277.722,794.43,-16.1636,272.286
2152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.776,-48.4759,259.06,-882.565,-152.823,277.722,794.431,-16.1851,272.288
2153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4672,259.063,-882.565,-152.823,277.722,794.434,-16.1633,272.286
2154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4677,259.056,-882.565,-152.823,277.722,794.423,-16.1827,272.286
2155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.498,259.06,-882.565,-152.823,277.722,794.434,-16.1632,272.286
2156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.79,-48.4664,259.053,-882.565,-152.823,277.722,794.431,-16.1849,272.288
2157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.798,-48.4846,259.059,-882.565,-152.823,277.722,794.43,-16.1642,272.286
2158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.798,-48.4885,259.066,-882.565,-152.823,277.722,794.433,-16.1625,272.286
2159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.803,-48.4932,259.061,-882.565,-152.823,277.722,794.431,-16.1851,272.288
2160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.467,259.055,-882.565,-152.823,277.722,794.424,-16.2049,272.288
2161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4703,259.054,-882.565,-152.823,277.722,794.424,-16.2051,272.288
2162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4612,259.06,-882.565,-152.823,277.722,794.434,-16.1633,272.286
2163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.461,259.06,-882.565,-152.823,277.722,794.426,-16.1815,272.286
2164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.4624,259.058,-882.565,-152.823,277.722,794.431,-16.1855,272.289
2165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.798,-48.4849,259.059,-882.548,-152.786,277.722,794.428,-16.1863,272.288
2166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4668,259.057,-882.565,-152.822,277.722,794.431,-16.1854,272.289
2167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.797,-48.4933,259.064,-882.548,-152.787,277.722,794.431,-16.1853,272.289
2168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4678,259.063,-882.548,-152.785,277.722,794.428,-16.1862,272.288
2169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4671,259.063,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2170,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4721,259.052,-882.548,-152.786,277.722,794.429,-16.1888,272.29
2171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4912,259.064,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4691,259.061,-882.548,-152.786,277.722,794.431,-16.1853,272.288
2173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.799,-48.4911,259.061,-882.548,-152.786,277.722,794.428,-16.1862,272.288
2174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.779,-48.4957,259.074,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4703,259.077,-882.548,-152.786,277.722,794.431,-16.1853,272.289
2176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.789,-48.4953,259.065,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5186,259.055,-882.548,-152.786,277.722,794.428,-16.1862,272.288
2178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.765,-48.5005,259.052,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4942,259.057,-882.548,-152.786,277.722,794.428,-16.1862,272.288
2180,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4959,259.055,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.776,-48.4966,259.068,-882.548,-152.786,277.722,794.428,-16.1862,272.288
2182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.496,259.055,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4959,259.055,-882.548,-152.786,277.722,794.431,-16.1853,272.289
2184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.496,259.055,-882.548,-152.786,277.722,794.428,-16.1862,272.288
2185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.496,259.055,-882.548,-152.786,277.722,794.431,-16.1854,272.289
2186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4943,259.057,-882.548,-152.786,277.722,794.424,-16.2047,272.288
2187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.773,-48.5015,259.044,-882.548,-152.786,277.722,794.428,-16.1866,272.288
2188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.499,259.063,-882.566,-152.82,277.72,794.431,-16.1851,272.288
2189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.5045,259.052,-882.565,-152.821,277.72,794.431,-16.1853,272.289
2190,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.5194,259.061,-882.565,-152.823,277.722,794.431,-16.1854,272.289
2191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5217,259.063,-882.565,-152.823,277.722,794.424,-16.2047,272.288
2192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.776,-48.5027,259.05,-882.565,-152.823,277.722,794.431,-16.1858,272.289
2193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.776,-48.5292,259.05,-882.565,-152.823,277.722,794.428,-16.186,272.288
2194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.5151,259.055,-882.565,-152.823,277.722,794.428,-16.1862,272.288
2195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5184,259.055,-882.565,-152.823,277.722,794.431,-16.1854,272.289
2196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.5233,259.051,-882.565,-152.823,277.722,794.428,-16.1862,272.288
2197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5217,259.063,-882.565,-152.823,277.722,794.432,-16.1899,272.298
2198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5242,259.045,-882.565,-152.823,277.722,794.431,-16.1855,272.289
2199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4992,259.063,-882.565,-152.823,277.722,794.421,-16.2055,272.288
2200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5212,259.063,-882.565,-152.823,277.722,794.429,-16.1892,272.29
2201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5244,259.045,-882.565,-152.823,277.722,794.422,-16.2101,272.297
2202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.5165,259.053,-882.565,-152.823,277.722,794.424,-16.2052,272.289
2203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5271,259.052,-882.548,-152.786,277.722,794.436,-16.1995,272.288
2204,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.5286,259.041,-882.565,-152.822,277.722,794.434,-16.1632,272.286
2205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5243,259.044,-882.565,-152.823,277.722,794.429,-16.19,272.297
2206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.786,-48.5186,259.055,-882.548,-152.786,277.722,794.431,-16.1858,272.289
2207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.522,259.042,-882.565,-152.822,277.722,794.431,-16.1853,272.288
2208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.79,-48.5061,259.056,-882.548,-152.787,277.722,794.434,-16.1631,272.286
2209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.5252,259.043,-882.548,-152.785,277.722,794.432,-16.1893,272.298
2210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.5267,259.048,-882.565,-152.822,277.722,794.433,-16.1856,272.299
2211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4974,259.054,-882.548,-152.787,277.722,794.434,-16.163,272.286
2212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.495,259.043,-882.548,-152.785,277.722,794.431,-16.1848,272.288
2213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4907,259.058,-882.548,-152.786,277.722,794.424,-16.2049,272.288
2214,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.78,-48.4856,259.048,-882.565,-152.822,277.722,794.432,-16.1903,272.298
2215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.78,-48.4856,259.048,-882.565,-152.823,277.722,794.423,-16.1832,272.286
2216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.778,-48.4824,259.057,-882.565,-152.823,277.722,794.423,-16.206,272.298
2217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.78,-48.4856,259.048,-882.548,-152.786,277.722,794.423,-16.2068,272.299
2218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.779,-48.4854,259.065,-882.548,-152.785,277.722,794.428,-16.1872,272.296
2219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.782,-48.4831,259.036,-882.565,-152.822,277.722,794.424,-16.1877,272.295
2220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.781,-48.465,259.052,-882.565,-152.823,277.722,794.426,-16.2051,272.299
2221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.781,-48.4616,259.045,-882.548,-152.786,277.722,794.425,-16.2097,272.298
2222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.793,-48.4581,259.061,-882.565,-152.822,277.722,794.418,-16.2003,272.309
2223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.791,-48.4573,259.048,-882.548,-152.787,277.722,794.418,-16.2,272.309
2224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.779,-48.4674,259.067,-882.565,-152.822,277.722,794.431,-16.1575,272.307
2225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.783,-48.4656,259.065,-882.565,-152.823,277.722,794.427,-16.1743,272.3
2226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.791,-48.4932,259.075,-882.565,-152.823,277.722,794.425,-16.1807,272.309
2227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.803,-48.4641,259.07,-882.565,-152.823,277.722,794.429,-16.1528,272.298
2228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.4651,259.066,-882.565,-152.823,277.722,794.419,-16.195,272.31
2229,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.779,-48.4675,259.067,-882.565,-152.823,277.722,794.426,-16.2058,272.299
2230,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.789,-48.4661,259.078,-882.548,-152.786,277.722,794.429,-16.1753,272.311
2231,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.789,-48.4632,259.071,-882.565,-152.822,277.722,794.424,-16.1759,272.307
2232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.8,-48.4856,259.071,-882.565,-152.823,277.722,794.447,-16.2068,272.309
2233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.789,-48.4664,259.078,-882.548,-152.786,277.722,794.459,-16.2201,272.301
2234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.779,-48.4821,259.057,-882.548,-152.785,277.722,794.449,-16.2404,272.3
2235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.4955,259.054,-882.548,-152.786,277.722,794.461,-16.1981,272.298
2236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4909,259.058,-882.548,-152.786,277.722,794.461,-16.1969,272.298
2237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.4913,259.07,-882.565,-152.822,277.722,794.458,-16.1982,272.298
2238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4959,259.055,-882.548,-152.787,277.722,794.457,-16.1937,272.288
2239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.496,259.055,-882.565,-152.822,277.722,794.457,-16.2161,272.301
2240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.496,259.055,-882.565,-152.823,277.722,794.461,-16.1979,272.298
2241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4989,259.063,-882.565,-152.823,277.722,794.455,-16.2157,272.291
2242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.4968,259.061,-882.548,-152.786,277.722,794.457,-16.2166,272.301
2243,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.775,-48.4988,259.063,-882.548,-152.785,277.722,794.455,-16.2162,272.291
2244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.777,-48.4878,259.055,-882.548,-152.786,277.722,794.433,-16.1903,272.298
2245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.774,-48.4941,259.057,-882.548,-152.786,277.722,794.452,-16.2384,272.3
2246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.799,-48.4944,259.076,-882.565,-152.822,277.722,794.452,-16.2401,272.301
2247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.79,-48.4695,259.074,-882.548,-152.787,277.722,794.449,-16.2404,272.3
2248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.787,-48.4683,259.068,-882.565,-152.822,277.722,794.449,-16.2404,272.3
2249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.785,-48.4805,259.054,-882.548,-152.787,277.722,794.449,-16.2404,272.3
2250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.79,-48.4695,259.074,-882.565,-152.822,277.722,794.458,-16.2156,272.291
2251,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.798,-48.4997,259.065,-882.565,-152.823,277.722,794.457,-16.2161,272.301
2252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.788,-48.4638,259.071,-882.565,-152.823,277.722,794.459,-16.2198,272.301
2253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.8,-48.4853,259.071,-882.565,-152.823,277.722,794.456,-16.2208,272.3
