Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branchy:OriginEnd,,,branchy:TargetEnd,,,branchy:OriginOther,,,branchy:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33647,0,-230.481,171.768,393.543,-268.747,144.314,371.002,,,,-317.271,70.1492,322.314,-362.34,73.8728,328.575,-429.674,98.3737,343.035,-501.209,64.3697,321.673,-548.195,50.5703,291.953,-572.596,90.5035,343.084,,,,-260.109,109.571,324.666,235.836,128.807,320.453,-934.391,75.1472,339.529,408.664,133.523,330.784
33648,0,-229.949,171.179,392.634,-268.677,144.359,370.975,,,,-317.283,70.1111,322.383,-362.298,73.8815,328.516,-429.698,98.3065,343.058,-501.212,64.3615,321.673,-548.263,50.2307,292.169,-572.691,90.3552,343.159,,,,-260.099,109.535,324.669,235.729,128.891,320.56,-934.392,75.137,339.535,408.662,133.529,330.77
33649,0,-229.356,170.419,391.859,-268.966,143.959,370.958,,,,-317.339,70.0923,322.39,-362.34,73.8796,328.594,-429.692,98.4134,343.042,-501.213,64.3589,321.67,-548.268,50.1563,292.188,-572.691,90.3738,343.134,,,,-260.099,109.535,324.668,235.842,128.8,320.456,-934.419,75.1443,339.535,408.663,133.515,330.775
33650,0,-228.742,169.852,391.111,-269.093,143.867,370.837,,,,,,,-362.312,73.8714,328.573,-429.669,98.504,343.005,-501.184,64.3127,321.672,-548.266,50.177,292.182,-572.668,90.4027,343.083,,,,-260.125,109.517,324.666,235.847,128.801,320.454,-934.39,75.344,339.513,408.68,133.518,330.761
33651,0,-228.156,169.263,390.098,-269.171,143.739,370.826,,,,,,,-362.344,73.8578,328.516,-429.664,98.5308,342.982,-501.185,64.301,321.672,-548.265,50.1881,292.18,-572.715,90.3331,343.153,,,,-260.087,109.529,324.662,235.727,128.902,320.56,-934.363,75.3454,339.511,408.672,133.493,330.765
33652,0,-227.898,168.594,389.367,-269.201,143.805,370.808,,,,,,,-362.347,73.914,328.527,-429.671,98.5078,342.925,-501.211,64.3601,321.664,-548.263,50.1942,292.177,-572.635,90.4189,343.083,,,,-260.112,109.459,324.661,235.835,128.809,320.454,-934.366,75.3257,339.516,408.705,133.383,330.777
33653,0,-227.321,168.001,388.43,-269.32,143.713,370.79,,,,,,,-362.35,73.9291,328.527,-429.679,98.4824,342.913,-501.213,64.3707,321.616,-548.265,50.1884,292.18,-572.646,90.3789,343.158,,,,-260.114,109.457,324.661,235.731,128.888,320.559,-934.359,75.3506,339.534,408.724,133.37,330.767
33654,0,-227.033,167.245,387.635,-269.468,144.543,370.858,,,,,,,-362.352,73.949,328.587,-429.689,98.483,342.914,-501.187,64.3117,321.624,-548.24,50.1346,292.158,-572.601,90.3823,343.138,,,,-260.113,109.459,324.66,235.855,128.797,320.455,-934.399,75.1239,339.561,408.702,133.381,330.785
33655,0,-226.448,166.781,386.868,-269.589,144.69,370.829,,,,-317.428,70.2233,322.498,-362.354,73.9694,328.646,-429.679,98.48,342.929,-501.189,64.2935,321.628,-548.243,50.1203,292.131,-572.611,90.3683,343.116,,,,-260.113,109.459,324.66,235.73,128.891,320.561,-934.391,75.3293,339.528,408.693,133.476,330.779
33656,0,-226.004,166.216,386.062,-269.653,144.626,370.845,,,,-317.428,70.2233,322.498,-362.37,73.9777,328.588,-429.688,98.4605,342.844,-501.193,64.2875,321.596,-548.24,50.1292,292.156,-572.585,90.3778,343.111,,,,-260.113,109.459,324.66,235.722,128.899,320.56,-934.388,75.3475,339.539,408.674,133.488,330.779
33657,0,-225.479,165.837,385.295,-269.711,144.511,370.858,,,,-317.461,70.2571,322.529,-362.374,74.0011,328.598,-429.692,98.4501,342.814,-501.189,64.2984,321.626,-548.221,50.1771,292.148,-572.576,90.3853,343.112,,,,-260.113,109.459,324.66,235.726,128.902,320.56,-934.428,75.1251,339.549,408.674,133.487,330.779
33658,0,-225.177,165.28,384.7,-269.781,143.964,371.171,,,,-317.457,70.2762,322.528,-362.359,73.9904,328.632,-429.692,98.4483,342.815,-501.188,64.2985,321.641,-548.239,50.1395,292.157,-572.522,90.4192,343.118,,,,-260.113,109.459,324.66,235.723,128.898,320.56,-934.39,75.3332,339.524,408.694,133.468,330.8
33659,0,-224.659,164.957,384.035,-269.717,143.746,371.081,,,,-317.422,70.3417,322.557,-362.369,73.9764,328.587,-429.692,98.449,342.816,-501.188,64.297,321.641,-548.151,50.0028,292.151,-572.532,90.4217,343.126,,,,-260.121,109.446,324.655,235.723,128.898,320.56,-934.389,75.3436,339.523,408.673,133.498,330.774
33660,0,-224.311,164.507,383.594,-269.79,144.211,371.004,,,,-317.394,70.411,322.623,-362.336,73.9874,328.568,-429.691,98.4502,342.816,-501.188,64.2966,321.64,-548.235,50.1135,292.197,-572.557,90.3618,343.14,,,,-260.121,109.445,324.655,235.725,128.9,320.553,-934.362,75.3439,339.523,408.717,133.395,330.777
33661,0,-223.831,164.201,382.844,-269.773,144.545,370.876,,,,-317.38,70.4492,322.671,-362.332,73.9977,328.598,-429.688,98.4591,342.853,-501.158,64.249,321.68,-548.241,50.1209,292.191,-572.607,90.3075,343.122,,,,-260.121,109.445,324.655,235.726,128.902,320.56,-934.364,75.3314,339.526,408.693,133.474,330.779
33662,0,-223.43,163.924,382.594,-269.739,144.627,370.86,,,,-317.383,70.4416,322.774,-362.354,73.9824,328.634,-429.687,98.4612,342.854,-501.16,64.2352,321.684,-548.241,50.1136,292.192,-572.613,90.3211,343.139,,,,-260.121,109.445,324.655,235.725,128.9,320.553,-934.336,75.3297,339.541,408.682,133.512,330.775
33663,0,-222.971,163.813,382.064,-269.649,144.684,370.873,,,,-317.433,70.4331,322.777,-362.334,73.9926,328.603,-429.691,98.4532,342.816,-501.162,64.2279,321.695,-548.153,50.3773,291.962,-572.608,90.3278,343.14,,,,-260.121,109.445,324.655,235.722,128.896,320.553,-934.364,75.3388,339.499,408.682,133.512,330.775
33664,0,-222.599,163.396,381.502,-269.55,144.862,370.855,,,,-317.428,70.4454,322.908,-362.224,73.8619,328.727,-429.691,98.4507,342.815,-501.16,64.2374,321.683,-548.224,50.1927,292.166,-572.624,90.3708,343.139,,,,-260.113,109.459,324.66,235.725,128.9,320.553,-934.356,75.3512,339.498,408.683,133.5,330.786
33665,0,-222.017,163.498,381.362,-269.45,145.073,370.843,,,,,,,-362.097,73.6984,328.762,-429.692,98.4499,342.816,-501.213,64.0876,321.707,-548.238,50.1044,292.24,-572.597,90.3877,343.137,,,,-260.121,109.446,324.655,235.723,128.898,320.56,-934.363,75.3428,339.513,408.691,133.481,330.768
33666,0,-221.55,163.399,381.116,-269.406,144.575,371.154,,,,,,,-362.052,73.6159,328.772,-429.655,98.3199,342.638,-501.167,64.1941,321.704,-548.23,50.13,292.216,-572.595,90.3896,343.137,,,,-260.113,109.458,324.661,235.722,128.896,320.553,-934.366,75.3263,339.52,408.683,133.499,330.786
33667,0,-220.994,163.454,380.749,-269.283,144.385,371.392,,,,,,,-362.057,73.6217,328.771,-429.695,98.2968,342.631,-501.183,64.3044,321.687,-548.118,50.3598,291.991,-572.582,90.4052,343.113,,,,-260.113,109.458,324.661,235.723,128.898,320.56,-934.363,75.3416,339.512,408.682,133.511,330.775
33668,0,-220.357,163.493,380.554,-269.226,144.365,371.566,,,,,,,-362.078,73.6609,328.764,-429.697,98.3078,342.635,-501.207,64.3741,321.69,-548.226,50.1913,292.216,-572.594,90.3907,343.136,,,,-260.113,109.458,324.661,235.704,128.907,320.551,-934.407,75.1074,339.517,408.69,133.485,330.765
33669,0,-219.955,163.556,380.51,-269.056,144.448,371.757,,,,,,,-362.093,73.6902,328.759,-429.742,98.6627,342.927,-501.181,64.3204,321.697,-548.216,50.173,292.226,-572.623,90.4264,343.084,,,,-260.098,109.512,324.661,235.705,128.909,320.558,-934.387,75.3398,339.48,408.693,133.466,330.79
33670,0,-219.433,163.598,380.341,-268.538,145.372,371.325,,,,,,,-362.097,73.6981,328.758,-429.754,98.7781,342.766,-501.184,64.299,321.688,-548.143,50.4268,291.981,-572.638,90.4158,343.058,,,,-260.098,109.514,324.661,235.712,128.9,320.558,-934.324,75.37,339.505,408.693,133.477,330.779
33671,0,-218.724,163.857,380.255,-268.4,145.941,371.631,,,,,,,-362.094,73.6926,328.759,-429.707,98.8342,342.909,-501.225,64.1843,321.701,-548.227,50.3504,292.196,-572.676,90.4448,343.071,,,,-260.098,109.513,324.661,235.712,128.9,320.558,-934.391,75.145,339.534,408.693,133.466,330.79
33672,0,-218.271,164.007,380.21,-268.364,145.052,372.028,,,,,,,-362.09,73.6849,328.76,-429.698,98.6117,342.644,-501.233,64.149,321.705,-548.238,50.2854,292.243,-572.705,90.44,343.077,,,,-260.11,109.515,324.66,235.718,128.894,320.559,-934.392,75.137,339.535,408.693,133.466,330.79
33673,0,-217.589,164.31,380.123,-268.123,144.58,372.344,,,,,,,-362.088,73.6809,328.761,-429.774,98.6583,342.966,-501.233,64.1516,321.705,-548.233,50.3048,292.221,-572.723,90.4158,343.055,,,,-260.111,109.515,324.66,235.719,128.893,320.559,-934.391,75.1405,339.534,408.692,133.491,330.765
33674,0,-216.892,164.51,380.13,-267.94,144.611,372.496,,,,,,,-362.103,73.7497,328.76,-429.729,98.513,342.669,-501.211,64.2178,321.695,-548.213,50.2896,292.232,-572.692,90.4474,343.084,,,,-260.111,109.515,324.66,235.716,128.895,320.558,-934.393,75.1616,339.557,408.691,133.489,330.765
33675,0,-216.383,164.796,380.174,-267.612,145.404,372.415,,,,,,,-362.184,73.8317,328.748,-429.735,98.4604,342.647,-501.21,64.3573,321.679,-548.225,50.3345,292.244,-572.629,90.4718,343.057,,,,-260.11,109.566,324.66,235.716,128.895,320.557,-934.358,75.3799,339.515,408.691,133.489,330.765
33676,0,-215.836,165.094,380.232,-267.3,145.955,372.762,,,,,,,-362.201,73.8181,328.741,-429.767,98.4998,342.652,-501.206,64.3872,321.674,-548.225,50.3447,292.243,-572.625,90.4765,343.056,,,,-260.11,109.568,324.66,235.715,128.904,320.559,-934.396,75.1609,339.534,408.692,133.491,330.765
33677,0,-215.216,165.333,380.378,-267.078,145.932,373.188,,,,,,,-362.195,73.8428,328.745,-429.731,98.4954,342.651,-501.187,64.4409,321.645,-548.208,50.39,292.202,-572.672,90.4484,343.056,,,,-260.11,109.567,324.66,235.722,128.897,320.555,-934.358,75.3761,339.515,408.694,133.486,330.779
33678,0,-214.324,165.871,380.446,-266.923,145.813,373.263,,,,,,,-362.199,73.8566,328.744,-429.708,98.5412,342.629,-501.194,64.4267,321.62,-548.228,50.3471,292.196,-572.679,90.4405,343.056,,,,-260.11,109.567,324.66,235.715,128.904,320.559,-934.423,75.165,339.535,408.683,133.516,330.774
33679,0,-214.116,165.851,380.549,-266.429,146.023,373.317,,,,,,,-362.202,73.86,328.743,-429.746,98.654,342.86,-501.193,64.4242,321.618,-548.206,50.4182,292.195,-572.667,90.4979,343.053,,,,-260.11,109.566,324.661,235.715,128.904,320.559,-934.355,75.3852,339.537,408.689,133.5,330.751
33680,0,-213.588,166.304,380.954,-266.174,145.685,373.439,,,,,,,-362.143,73.8228,328.747,-429.721,98.6464,342.878,-501.193,64.4254,321.616,-548.207,50.4325,292.162,-572.671,90.4521,343.056,,,,-260.103,109.576,324.676,235.724,128.928,320.558,-934.385,75.3922,339.515,408.692,133.491,330.765
33681,0,-213.116,166.593,381.085,-265.948,145.785,373.57,,,,,,,-362.118,73.7825,328.754,-429.845,98.8031,342.835,-501.187,64.4455,321.6,-548.206,50.4379,292.16,-572.623,90.5217,343.054,,,,-260.117,109.605,324.64,235.731,128.921,320.56,-934.385,75.389,339.515,408.683,133.516,330.774
33682,0,-212.35,167.098,381.268,-265.648,145.668,373.949,,,,,,,-362.113,73.7702,328.756,-429.824,98.8907,342.812,-501.186,64.452,321.598,-548.202,50.4493,292.195,-572.657,90.5129,343.053,,,,-260.117,109.606,324.64,235.724,128.928,320.558,-934.385,75.3887,339.515,408.683,133.518,330.774
33683,0,-212.207,167.114,381.665,-265.391,145.904,374.063,,,,,,,-362.174,73.8122,328.751,-429.685,98.6706,342.613,-501.186,64.4505,321.598,-548.206,50.4456,292.17,-572.692,90.4909,343.059,,,,-260.117,109.605,324.64,235.724,128.928,320.558,-934.396,75.1574,339.534,408.681,133.512,330.772
33684,0,-211.797,167.411,381.983,-264.882,147.051,374.244,,,,,,,-362.203,73.8594,328.743,-429.72,98.5001,342.642,-501.212,64.5057,321.591,-548.202,50.4533,292.199,-572.684,90.4781,343.032,,,,-260.117,109.605,324.64,235.724,128.928,320.558,-934.358,75.375,339.511,408.692,133.492,330.765
33685,0,-211.384,167.788,382.393,-264.561,146.946,374.014,,,,,,,-362.21,73.8751,328.74,-429.753,98.517,342.882,-501.185,64.4641,321.596,-548.205,50.4495,292.17,-572.637,90.5049,343.032,,,,-260.117,109.605,324.64,235.724,128.928,320.558,-934.371,75.2923,339.545,408.681,133.522,330.761
33686,0,-211.168,167.954,382.555,-264.521,146.694,374.362,,,,-317.767,71.8335,323.64,-362.206,73.8682,328.741,-429.744,98.5603,342.889,-501.187,64.446,321.599,-548.206,50.4375,292.161,-572.634,90.5114,343.049,,,,-260.11,109.618,324.662,235.725,128.901,320.556,-934.348,75.2754,339.522,408.681,133.512,330.772
33687,0,-210.718,168.364,382.808,-264.232,146.6,374.468,,,,-317.828,71.9181,323.64,-362.2,73.857,328.743,-429.76,98.6899,342.971,-501.193,64.4271,321.612,-548.206,50.4479,292.175,-572.662,90.5058,343.053,,,,-260.116,109.609,324.647,235.725,128.901,320.556,-934.378,75.6676,339.568,408.692,133.492,330.765
33688,0,-210.425,168.782,383.206,-263.988,146.69,374.513,,,,-317.838,72.0156,323.659,-362.197,73.8512,328.744,-429.711,98.5755,342.65,-501.19,64.4325,321.611,-548.206,50.4425,292.166,-572.636,90.5068,343.032,,,,-260.116,109.609,324.646,235.712,128.9,320.558,-934.374,75.2947,339.521,408.695,133.481,330.789
33689,0,-210.026,169.446,383.544,-263.656,146.93,374.513,,,,-317.842,72.1077,323.653,-362.197,73.851,328.744,-429.74,98.7465,342.917,-501.187,64.4473,321.599,-548.206,50.4406,292.166,-572.649,90.4934,343.043,,,,-260.117,109.605,324.64,235.715,128.904,320.559,-934.358,75.3759,339.515,408.702,133.473,330.778
33690,0,-210.051,169.559,383.828,-263.405,147.328,374.444,,,,-317.824,72.1658,323.643,-362.198,73.8531,328.744,-429.718,98.686,342.625,-501.218,64.4888,321.604,-548.206,50.4442,292.17,-572.647,90.5153,343.059,,,,-260.117,109.605,324.64,235.723,128.898,320.56,-934.357,75.3836,339.512,408.681,133.522,330.761
33691,0,-209.756,169.962,384.034,-263.264,147.703,374.393,,,,-317.833,72.2525,323.682,-362.257,73.8899,328.74,-429.726,98.7457,342.83,-501.212,64.5155,321.59,-548.206,50.4452,292.17,-572.671,90.4873,343.05,,,,-260.116,109.609,324.647,235.711,128.898,320.551,-934.358,75.3833,339.514,408.681,133.513,330.772
33692,0,-209.682,170.316,384.213,-263.126,148.168,374.319,,,,-317.848,72.3356,323.671,-362.281,73.9278,328.733,-429.728,98.8239,342.975,-501.214,64.5089,321.598,-548.206,50.437,292.161,-572.641,90.5032,343.049,,,,-260.106,109.571,324.641,235.723,128.898,320.56,-934.358,75.3832,339.514,408.693,133.478,330.779
33693,0,-209.551,170.641,384.452,-263.124,148.164,374.358,,,,,,,-362.285,73.9383,328.731,-429.714,98.7723,342.832,-501.183,64.4643,321.629,-548.206,50.4354,292.161,-572.635,90.5099,343.049,,,,-260.106,109.57,324.641,235.715,128.904,320.559,-934.348,75.2793,339.523,408.694,133.494,330.788
33694,0,-209.749,170.967,384.74,-263.095,148.193,374.374,,,,-317.94,72.2316,323.74,-362.281,73.9311,328.733,-429.726,98.7548,342.826,-501.183,64.4528,321.632,-548.201,50.452,292.15,-572.594,90.5311,343.049,,,,-260.106,109.574,324.648,235.851,128.81,320.455,-934.331,75.3743,339.513,408.692,133.507,330.773
33695,0,-209.563,171.575,384.98,-263.049,148.313,374.363,,,,-318.007,72.1855,323.797,-362.276,73.9216,328.734,-429.712,98.5632,342.645,-501.183,64.4558,321.631,-548.205,50.4488,292.169,-572.604,90.5167,343.029,,,,-260.105,109.574,324.648,235.727,128.901,320.559,-934.358,75.3846,339.514,408.704,133.474,330.78
33696,0,-209.63,171.882,385.183,-263.007,148.423,374.373,,,,-318.04,72.1055,323.905,-362.16,73.8479,328.746,-429.772,98.637,342.972,-501.186,64.4498,321.599,-548.209,50.4289,292.132,-572.582,90.5003,343.056,,,,-260.105,109.574,324.648,235.726,128.903,320.561,-934.358,75.3833,339.514,408.705,133.464,330.792
33697,0,-209.592,172.347,385.396,-262.986,148.502,374.364,,,,-318.125,72.0129,323.958,-362.269,73.8056,328.747,-429.728,98.5162,342.669,-501.187,64.4491,321.598,-548.185,50.3673,292.125,-572.61,90.4664,343.05,,,,-260.119,109.573,324.64,235.723,128.898,320.56,-934.4,75.149,339.512,408.692,133.518,330.762
33698,0,-209.802,172.617,385.615,-262.947,148.6,374.356,,,,-318.149,71.9555,324.137,-362.365,73.8836,328.736,-429.732,98.4709,342.645,-501.187,64.4491,321.599,-548.131,50.5337,291.964,-572.63,90.4695,343.056,,,,-260.108,109.538,324.643,235.723,128.898,320.56,-934.397,75.1496,339.535,408.692,133.509,330.773
33699,0,-209.545,173.286,385.682,-262.906,148.704,374.316,,,,-318.173,71.8993,324.223,-362.404,73.9614,328.723,-429.737,98.4617,342.655,-501.211,64.3773,321.614,-548.153,50.6353,291.943,-572.6,90.4762,343.036,,,,-260.112,109.534,324.661,235.726,128.902,320.56,-934.396,75.1534,339.535,408.692,133.51,330.774
33700,0,-209.845,173.695,385.83,-262.836,148.868,374.263,,,,-318.202,71.831,324.255,-362.414,73.9848,328.719,-429.771,98.6531,342.98,-501.187,64.4359,321.634,-548.161,50.5959,291.946,-572.596,90.4798,343.035,,,,-260.123,109.518,324.659,235.723,128.898,320.56,-934.376,75.2723,339.524,408.69,133.518,330.759
33701,0,-210.13,173.975,385.944,-262.779,149.032,374.203,,,,-318.232,71.762,324.306,-362.407,73.9716,328.722,-429.743,98.612,342.656,-501.21,64.3828,321.613,-548.188,50.3653,292.093,-572.601,90.4767,343.052,,,,-260.123,109.518,324.658,235.723,128.898,320.56,-934.408,75.1286,339.54,408.717,133.422,330.775
33702,0,-210.388,174.262,386.052,-262.743,149.103,374.133,,,,-317.941,72.3721,324.247,-362.396,73.9515,328.725,-429.777,98.7481,342.935,-501.241,64.4163,321.609,-548.196,50.2931,292.103,-572.538,90.5238,343.058,,,,-260.123,109.518,324.658,235.739,128.903,320.558,-934.388,75.2379,339.53,408.69,133.514,330.76
33703,0,-210.565,174.534,386.077,-262.721,149.411,374.096,,,,-318.142,72.0469,324.367,-362.391,73.9406,328.727,-429.771,98.7935,342.933,-501.213,64.3756,321.614,-548.136,50.5166,291.936,-572.529,90.5353,343.058,,,,-260.123,109.518,324.658,235.725,128.9,320.553,-934.396,75.1567,339.534,408.689,133.519,330.759
33704,0,-210.716,174.957,386.223,-262.992,149.87,373.957,,,,-318.274,71.6712,324.55,-362.391,73.9399,328.731,-429.772,98.8015,342.92,-501.214,64.3609,321.617,-548.134,50.5354,291.953,-572.531,90.532,343.058,,,,-260.123,109.518,324.658,235.712,128.9,320.558,-934.376,75.1069,339.538,408.69,133.518,330.759
33705,0,-210.941,175.43,386.166,-263.253,150.575,373.883,,,,-318.29,71.599,324.688,-362.393,73.9436,328.727,-429.742,98.6173,342.636,-501.211,64.3704,321.648,-548.204,50.3009,292.14,-572.548,90.5094,343.036,,,,-260.123,109.518,324.658,235.723,128.898,320.56,-934.339,75.3169,339.52,408.69,133.518,330.759
33706,0,-210.948,175.749,386.202,-263.43,150.923,373.867,,,,-318.297,71.6014,324.761,-362.452,73.9796,328.726,-429.759,98.5288,342.632,-501.236,64.4303,321.641,-548.212,50.2439,292.14,-572.551,90.5054,343.036,,,,-260.149,109.498,324.657,235.728,128.905,320.556,-934.366,75.3294,339.52,408.692,133.508,330.773
33707,0,-211.081,176.086,386.094,-263.524,151.06,373.884,,,,-318.303,71.7009,324.861,-362.477,74.0196,328.72,-429.765,98.5119,342.644,-501.209,64.3892,321.645,-548.213,50.2364,292.131,-572.55,90.5068,343.036,,,,-260.126,109.461,324.66,235.726,128.902,320.56,-934.366,75.3265,339.52,408.692,133.507,330.773
33708,0,-211.41,176.065,385.898,-263.626,151.083,373.826,,,,-318.313,71.6962,324.94,-362.483,74.0334,328.717,-429.783,98.4745,342.653,-501.21,64.3706,321.648,-548.212,50.2396,292.145,-572.603,90.4271,343.038,,,,-260.126,109.46,324.66,235.719,128.911,320.56,-934.404,75.1124,339.526,408.692,133.507,330.773
33709,0,-211.728,176.151,385.74,-263.834,151.474,373.555,,,,-318.338,71.739,325.01,-362.301,73.8803,329.058,-429.789,98.4527,342.662,-501.21,64.3688,321.662,-548.213,50.2415,292.13,-572.602,90.3793,343.091,,,,-260.107,109.467,324.656,235.723,128.899,320.56,-934.403,75.108,339.54,408.703,133.476,330.778
33710,0,-211.907,176.25,385.573,-264.037,151.669,373.242,,,,-318.329,71.7702,325.069,-362.189,73.6946,329.148,-429.789,98.4494,342.669,-501.236,64.4269,321.655,-548.219,50.2155,292.12,-572.601,90.3804,343.092,,,,-260.126,109.461,324.66,235.723,128.898,320.56,-934.339,75.3217,339.516,408.703,133.475,330.778
33711,0,-212.024,176.264,385.402,-264.296,151.995,373.054,,,,-318.343,71.845,325.124,-362.204,73.6549,329.185,-429.812,98.5117,342.686,-501.208,64.3865,321.659,-548.22,50.2115,292.105,-572.565,90.4418,343.039,,,,-260.113,109.458,324.661,235.736,128.899,320.557,-934.377,75.1119,339.525,408.692,133.518,330.762
33712,0,-212.582,176.053,385.097,-264.469,152.193,372.571,-259.395,104.726,338.288,-318.339,71.8669,325.122,-362.222,73.6941,329.214,-429.828,98.4945,342.691,-501.235,64.4249,321.655,-548.219,50.2124,292.12,-572.558,90.4526,343.038,,,,-260.121,109.446,324.655,235.726,128.902,320.56,-934.341,75.3115,339.507,408.692,133.511,330.774
33713,0,-212.531,176.188,384.905,-264.447,152.506,372.328,-259.395,104.726,338.288,-318.359,71.9259,325.151,-362.276,73.6879,329.271,-429.838,98.4552,342.664,-501.22,64.3461,321.68,-548.219,50.2122,292.12,-572.594,90.3907,343.091,,,,-260.121,109.445,324.655,235.726,128.902,320.56,-934.366,75.3306,339.5,408.69,133.518,330.759
33714,0,-212.563,176.148,384.649,-264.453,152.653,372.208,-259.421,104.769,338.374,-318.357,71.9418,325.139,-362.265,73.669,329.314,-429.823,98.4826,342.667,-501.211,64.3542,321.68,-548.224,50.1788,292.118,-572.552,90.4418,343.033,,,,-260.113,109.459,324.66,235.728,128.905,320.556,-934.376,75.1114,339.538,408.702,133.485,330.766
33715,0,-212.829,176.063,384.431,-264.526,152.753,372.075,-259.469,104.922,338.462,-318.349,72.0511,325.164,-362.251,73.6466,329.319,-429.841,98.5656,342.657,-501.208,64.3665,321.692,-548.221,50.1963,292.1,-572.528,90.4663,343.033,,,,-260.113,109.459,324.66,235.726,128.902,320.56,-934.378,75.1013,339.526,408.693,133.509,330.774
33716,0,-212.75,175.927,384.136,-264.831,153.193,371.798,-259.539,105.106,338.484,-318.227,72.1237,325.143,-362.293,73.6598,329.355,-429.829,98.6159,342.642,-501.234,64.4247,321.684,-548.221,50.1857,292.145,-572.528,90.4571,343.018,,,,-260.113,109.459,324.66,235.725,128.901,320.556,-934.376,75.1072,339.538,408.691,133.519,330.762
33717,0,-212.784,175.652,383.625,-264.991,153.386,371.583,-259.598,105.27,338.457,-318.313,71.9336,325.307,-362.303,73.6854,329.331,-429.819,98.6395,342.682,-501.233,64.4387,321.681,-548.224,50.1743,292.12,-572.571,90.4971,343.16,,,,-260.113,109.459,324.66,235.726,128.902,320.56,-934.341,75.3148,339.507,408.691,133.519,330.762
33718,0,-212.793,175.48,383.284,-265.228,153.696,371.513,-259.634,105.344,338.44,-318.332,71.8376,325.374,-362.295,73.6854,329.364,-429.792,98.5902,342.688,-501.207,64.3785,321.689,-548.225,50.1892,292.157,-572.534,90.5423,343.176,,,,-260.113,109.458,324.661,235.726,128.902,320.56,-934.379,75.1061,339.515,408.691,133.519,330.762
33719,0,-212.474,175.584,382.96,-265.56,153.592,371.093,-259.646,105.394,338.469,-318.328,71.8397,325.414,-362.286,73.6703,329.369,-429.803,98.5449,342.688,-501.233,64.287,321.722,-548.217,50.2054,292.143,-572.509,90.4848,343.042,,,,-260.113,109.458,324.661,235.726,128.902,320.56,-934.337,75.3258,339.514,408.692,133.522,330.762
33720,0,-212.76,175.046,382.583,-265.319,153.979,370.986,-259.647,105.454,338.467,-318.324,71.8572,325.433,-362.275,73.5962,329.403,-429.837,98.5719,342.689,-501.208,64.2189,321.765,-548.228,50.1624,292.189,-572.47,90.4994,343.038,,,,-260.087,109.478,324.663,235.712,128.9,320.558,-934.366,75.3297,339.52,408.705,133.482,330.78
33721,0,-212.765,174.552,382.11,-265.295,154.193,370.911,-259.67,105.542,338.484,-318.32,71.8635,325.473,-362.316,73.5187,329.484,-430.132,99.1365,342.782,-501.233,64.2695,321.759,-548.217,50.1796,292.193,-572.503,90.4628,343.033,,,,-260.113,109.459,324.661,235.715,128.904,320.559,-934.366,75.3255,339.516,408.702,133.484,330.766
33722,0,-212.501,174.261,381.725,-265.29,154.318,370.793,-259.63,105.559,338.419,-318.319,71.8615,325.496,-362.334,73.5949,329.491,-429.794,98.983,342.629,-501.23,64.2912,321.769,-548.213,50.211,292.171,-572.472,90.4974,343.04,,,,-260.088,109.477,324.663,235.715,128.902,320.552,-934.363,75.3418,339.512,408.703,133.487,330.767
33723,0,-212.419,173.702,381.276,-265.278,154.441,370.658,-259.677,105.621,338.467,-318.318,71.8617,325.509,-362.348,73.6368,329.513,-430.084,99.2706,342.753,-501.23,64.2902,321.769,-548.23,50.1688,292.191,-572.455,90.5634,343.037,,,,-260.1,109.48,324.662,235.715,128.904,320.559,-934.403,75.1156,339.539,408.7,133.495,330.752
33724,0,-212.318,173.193,381.019,-265.277,154.613,370.485,-259.655,105.64,338.441,-318.312,71.8789,325.597,-362.343,73.5764,329.547,-430.074,99.4226,342.74,-501.234,64.2786,321.739,-548.226,50.1585,292.218,-572.561,90.5118,343.161,,,,-260.1,109.48,324.662,235.715,128.904,320.559,-934.404,75.1284,339.563,408.689,133.529,330.748
33725,0,-212.113,172.57,380.518,-265.24,154.695,370.405,-259.644,105.685,338.43,-318.308,71.8882,325.628,-362.223,73.1788,329.501,-430.053,99.4663,342.728,-501.26,64.3333,321.731,-548.229,50.1538,292.192,-572.547,90.4838,343.034,,,,-260.111,109.515,324.66,235.726,128.902,320.56,-934.392,75.6243,339.575,408.691,133.52,330.762
