Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branchy:OriginEnd,,,branchy:TargetEnd,,,branchy:OriginOther,,,branchy:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33503,0,-278.535,183.712,411.255,-257.975,143.485,366.82,,,,-318.415,65.9433,311.863,-367.801,82.1942,336.139,-443.464,96.1878,343.581,-506.217,57.7048,309.158,-555.928,53.2536,298.523,-578.441,100.78,342.158,,,,-260.103,109.473,324.703,235.711,128.87,320.56,-934.36,75.0229,339.586,408.674,133.515,330.776
33504,0,-278.267,184.735,411.397,-258.932,144.092,367.549,-264.882,102.746,338.016,-318.128,66.0425,312.303,-367.559,81.8629,335.993,-442.916,95.743,343.699,-505.951,57.7725,309.27,-555.674,53.2822,298.083,-577.887,100.805,342.591,,,,-260.102,109.525,324.703,235.711,128.87,320.56,-934.359,75.0228,339.586,408.685,133.483,330.78
33505,0,-277.935,185.392,412.168,-259.241,144.461,368.159,-264.48,103,338.173,-317.926,66.0273,312.786,-367.38,81.8109,335.975,-442.683,95.9996,343.773,-505.636,58.0097,309.607,-555.34,52.972,297.503,-577.809,99.9596,342.639,,,,-260.101,109.53,324.71,235.711,128.87,320.56,-934.36,75.3026,339.547,408.685,133.481,330.78
33506,0,-277.666,186.081,412.48,-259.761,145.393,368.383,-264.024,103.27,338.411,-317.857,66.1424,312.83,-367.146,81.6007,335.712,-442.227,96.733,343.506,-505.499,58.2653,310.12,-555.05,53.4268,297.161,-577.506,99.6168,342.531,,,,-260.117,109.53,324.714,235.711,128.87,320.56,-934.332,75.2972,339.553,408.685,133.482,330.78
33507,0,-277.223,187.208,412.826,-260.41,145.091,368.665,-263.387,103.619,338.459,-317.483,66.5581,313.001,-366.751,81.4514,335.478,-441.648,96.6422,343.557,-505.284,58.9597,310.369,-554.936,52.8053,296.73,-577.093,99.2652,342.667,,,,-260.128,109.563,324.713,235.711,128.87,320.56,-934.361,75.3054,339.554,408.672,133.527,330.762
33508,0,-277.016,187.05,413.268,-260.809,145.054,368.952,,,,-317.143,66.8011,313.438,-366.349,81.3098,335.188,-441.368,95.9074,343.724,-504.995,59.3282,310.589,-554.794,52.6873,296.377,-576.951,98.7534,342.981,,,,-260.116,109.582,324.714,235.711,128.87,320.56,-934.374,75.1893,339.568,408.672,133.529,330.761
33509,0,-276.738,186.856,413.854,-261.017,145.488,369.198,-263.121,103.847,338.61,-317.072,66.7214,313.97,-366.182,81.0138,334.909,-441.282,95.6865,343.716,-504.971,59.505,310.755,-554.517,52.7349,295.892,-576.758,98.4426,343.044,,,,-260.116,109.582,324.714,235.713,128.872,320.553,-934.379,75.0682,339.579,408.702,133.485,330.766
33510,0,-276.126,187.382,414.274,-261.125,145.748,369.456,-262.763,104.11,338.587,-316.851,66.8058,314.332,-366.126,80.8762,334.733,-440.808,96.7926,343.539,-504.902,59.548,311.208,-554.333,53.0776,295.58,-576.549,98.1058,343.098,,,,-260.117,109.626,324.723,235.713,128.872,320.553,-934.437,75.5079,339.566,408.692,133.517,330.762
33511,0,-275.65,187.24,414.381,-261.272,145.834,369.619,-262.149,104.576,338.446,-316.659,66.713,314.352,-366.127,80.8068,334.651,-440.511,96.624,343.489,-504.746,59.2779,311.604,-554.053,52.9565,295.185,-576.405,97.4235,342.893,,,,-260.125,109.635,324.702,235.71,128.868,320.553,-934.365,75.2368,339.561,408.698,133.437,330.753
33512,0,-275.49,187.651,415.017,-261.39,145.91,369.814,,,,-316.463,66.798,314.797,-366.005,80.5904,334.574,-440.003,96.9315,343.526,-504.685,59.2102,311.95,-553.818,52.9572,294.797,-576.121,97.2724,343.213,,,,-260.115,109.647,324.699,235.711,128.87,320.56,-934.393,75.2316,339.565,408.704,133.417,330.771
