Trial,ID,gsm,gsr,gs_bin,TNorm,x_torq,y_torq,res,hpt,svl,mass
77,89,0.499768154,69.89764391,70,0.019627003,0.001423163,0.009340264,0.009448064,24.62708022,0.715,0.0687
76,89,0.499353579,69.83966134,70,0.098554466,0.006080255,0.047050998,0.047442238,63.96291257,0.715,0.0687
75,89,0.499990644,69.92876144,70,0.093266233,0.005085451,0.044607638,0.044896583,60.41084862,0.715,0.0687
74,89,0.465693112,65.13190383,65,0.11937365,0.007972702,0.056908433,0.057464195,74.33440742,0.715,0.0687
73,89,0.465830482,65.1511164,65,0.1053345,0.008349811,0.050013806,0.050706016,70.36692301,0.715,0.0687
72,89,0.466091817,65.18766677,65,0.112614053,0.007147781,0.05373696,0.054210254,72.57574194,0.715,0.0687
71,89,0.423640363,59.25040035,60,0.084029092,0.008301929,0.039588893,0.04045,69.8725083,0.715,0.0687
70,89,0.423411796,59.21843307,60,0.103022562,0.007695426,0.048992401,0.049593094,77.25983556,0.715,0.0687
69,89,0.426675926,59.67495474,60,0.110349442,0.003741457,0.052988187,0.053120114,78.80748241,0.715,0.0687
68,89,0.394674908,55.19928786,55,0.116350072,0.002125108,0.055968372,0.056008702,87.97934413,0.715,0.0687
67,89,0.394302157,55.14715485,55,0.149460352,0.007215958,0.071584582,0.071947359,96.74710654,0.715,0.0687
61,89,0.339230104,46.1537557,45,0.017013573,0.004518557,0.006574947,0.007977925,35.07728945,0.735,0.0651
49,94,0.443644072,52.19342029,50,0.087739057,0.019380255,0.076894323,0.079298999,74.69498066,0.85,0.1085
48,94,0.445966432,52.46663909,50,0.026946118,-0.005607098,0.023699779,0.024354036,38.84714809,0.85,0.1085
47,94,0.437760149,51.50119404,50,0.017936528,-0.003984545,0.015713813,0.016211124,31.57619216,0.85,0.1085
44,94,0.387053797,45.53574082,45,0.076777922,-0.002336071,0.069352937,0.06939227,85.69893987,0.85,0.1085
