Trial,Date,ID,Mass,SVL,Spacings,LF,DP,Notes,Temp,Humidity,Behavior_guess,Attempted_gs_svl
90,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",26432,26004,,,,Not cantilever,90
91,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",19450,19181,,,,Not cantilever,95
92,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",45440,45191,,,,Not cantilever,95
93,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",53062,52305,,,,Not cantilever,95
94,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",12461,12211,no origin marker,,,Not cantilever,100
95,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",5857,5042,,,,Not cantilever,100
96,31-Aug-16,89,68.7,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",3318,2689,,,,Not cantilever,100
102,5-Sep-16,89,66.8,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",44406,44027,,,,Not cantilever,105
108,5-Sep-16,89,66.8,71.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7, 7",17564,17168,,,,Not cantilever,110
112,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",3113,N/A,,,,cantilever,35
113,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",1907,N/A,,,,cantilever,35
114,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",2619,N/A,,,,cantilever,35
115,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",9884,N/A,,,,cantilever,40
116,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",8933,N/A,,,,cantilever,40
117,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",6176,N/A,,,,cantilever,40
118,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",4875,N/A,,,,cantilever,45
119,7-Sep-16,95,33.7,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",8915,N/A,,,,cantilever,45
120,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",3266,N/A,,,,cantilever,45
122,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",4731,4545,,,,Not cantilever,50
123,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",3566,N/A,,,,Cantilever,50
124,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",9935,9761,,,,Not cantilever,55
125,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",9526,9499,,,,Borderline,55
126,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",24524,N/A,,,,Cantilever,55
127,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",5571,5475,,,,Not cantilever,60
128,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",21488,21350,,,,Not cantilever,60
129,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",21086,21027,,,,Not cantilever,60
130,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",24907,24714,,,,Not cantilever,65
131,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",20394,20280,,,,Not cantilever,65
132,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",18184,18112,,,,Not cantilever,65
133,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",14506,14288,,,,Not cantilever,70
134,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",13647,13387,,,,Not cantilever,70
135,9-Sep-16,95,33.3,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",37303,37020,,,,Not cantilever,70
139,14-Sep-16,95,35.4,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",3978,3686,,,,Not cantilever,75
140,14-Sep-16,95,35.4,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",8645,8337,,,,Not cantilever,75
141,14-Sep-16,95,35.4,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",8464,4923,,,,Not cantilever,75
142,14-Sep-16,95,35.4,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",20922,20587,,,,Not cantilever,80
143,14-Sep-16,95,35.4,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",2803,2350,,,,Not cantilever,80
144,14-Sep-16,95,35.4,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",7415,7062,,,,Not cantilever,80
145,15-Sep-16,95,33.1,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",1696,1370,,,,Not cantilever,85
146,15-Sep-16,95,33.1,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",11877,11448,,,,Not cantilever,85
147,15-Sep-16,95,33.1,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",15595,15318,,,,Not cantilever,85
148,15-Sep-16,95,33.1,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",5350,4891,,,,Not cantilever,90
149,15-Sep-16,95,33.1,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",14132,13707,,,,Not cantilever,95
151,15-Sep-16,95,33.1,66.7,".7, 7, 7, 7, 7, 8, 8, 7, 8, 7",25673,24781,,,,Not cantilever,100
157,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",1609,1555,,,,Not cantilever,55
158,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",23350,23040,,,,Not cantilever,
159,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",69766,69470,,,,Not cantilever,60
160,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",19011,18616,,,,Not cantilever,60
161,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",3941,3557,,,,Not cantilever,60
162,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",13645,11428,,,,Not cantilever,65
163,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",41724,41303,,,,Not cantilever,65
164,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",12910,8175,,,,Not cantilever,65
165,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",2461,1852,,,,Not cantilever,70
166,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",52961,52470,,,,Not cantilever,70
167,23-Sep-16,94,120.7,85,"1.5, 9, 9, 9, 9, 9, 9, 9, 10, 10",42907,42404,,,,Not cantilever,70
169,27-Sep-16,94,120.7,85,"2, 9.5, 9, 9.5, 9, 8, 9, 9, 10, 10",21575,18781,,,,Not cantilever,75
170,27-Sep-16,94,120.7,85,"2, 9.5, 9, 9.5, 9, 8, 9, 9, 10, 10",6631,5898,,,,Not cantilever,75
171,27-Sep-16,94,120.7,85,"2, 9.5, 9, 9.5, 9, 8, 9, 9, 10, 10",22435,22067,,,,Not cantilever,75
172,27-Sep-16,94,120.7,85,"2, 9.5, 9, 9.5, 9, 8, 9, 9, 10, 10",45991,45523,,,,Not cantilever,80
174,27-Sep-16,94,120.7,85,"2, 9.5, 9, 9.5, 9, 8, 9, 9, 10, 10",36913,36374,,,,Not cantilever,85
175,27-Sep-16,94,120.7,85,"2, 9.5, 9, 9.5, 9, 8, 9, 9, 10, 10",55909,55207,,,,Not cantilever,90
238,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",1819,N/A,,,,Cantilever,35
239,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",3709,N/A,,,,Cantilever,35
240,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",7236,N/A,,,,Cantilever,35
241,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",13151,N/A,,,,Cantilever,40
242,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",7549,N/A,,,,Cantilever,40
243,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",5898,N/A,,,,Cantilever,40
244,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",8633,8411,,,,Not cantilever,45
245,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",6717,N/A,,,,Cantilever,45
246,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",5038,N/A,,,,Cantilever,45
247,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",20348,20316,,,,Cantilever,50
248,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",37331,37177,,,,Not cantilever,50
249,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",10084,10053,,,,Cantilever,50
250,17-Oct-16,85,53.3,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",37912,37778,,,,Not cantilever,55
252,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",19255,19204,,,,Not cantilever,55
253,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",26816,26756,,,,Not cantilever,55
254,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",18972,18932,,,,Not cantilever,60
255,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",16433,16319,,,,Not cantilever,60
256,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",11137,10986,,,,Not cantilever,60
257,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",4750,4552,,,,Not cantilever,65
258,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",1768,1484,,,,Not cantilever,65
259,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",33253,33107,,,,Not cantilever,65
261,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",10425,10231,,,,Not cantilever,70
262,21-Oct-16,85,52,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",22776,22540,,,,Not cantilever,70
264,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",34370,33973,,,,Not cantilever,70
265,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",20497,19849,,,,Not cantilever,75
266,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",52844,52484,,,,Not cantilever,75
267,27-Oct-16,85,51.4,72.5,"1.5, 8, 8, 8, 8, 8, 8, 8, 7.5, 7.5",19873,19345,,,,Not cantilever,75
